Techies,6.4988,62.7416,33673
Ancient Apparition,3.3671,55.4429,49036
Silencer,2.8987,53.6566,88114
Crystal Maiden,2.7372,52.6309,103804
Lion,2.1199,59.1488,80081
Axe,1.6755,53.2796,138263
Rubick,1.4288,59.5059,74806
Enigma,1.3768,54.1625,46990
Arc Warden,1.3721,59.7552,21409
Queen of Pain,1.3006,60.8268,69803
Batrider,1.2177,62.198,22438
Legion Commander,1.1966,56.8962,169976
Skywrath Mage,1.1056,54.9961,49918
Warlock,1.0775,53.0099,36263
Storm Spirit,1.0707,56.7573,72269
Lifestealer,1.0435,58.5566,66901
Pudge,1.0219,53.4967,231812
Mirana,1.007,54.2837,107115
Bounty Hunter,0.9825,56.1157,71299
Chaos Knight,0.9809,50.6634,68430
Luna,0.9105,53.1835,85440
Slardar,0.9025,54.4433,81606
Spectre,0.8916,48.1868,80798
Vengeful Spirit,0.82,52.3456,55571
Disruptor,0.7336,55.0791,44496
Dragon Knight,0.7301,54.3871,53360
Clockwerk,0.7283,53.8094,51333
Ogre Magi,0.7173,52.6146,76359
Tidehunter,0.7034,54.1911,43795
Gyrocopter,0.6662,58.216,31907
Visage,0.6653,56.1506,15104
Phoenix,0.5929,55.1766,29324
Venomancer,0.5328,52.3006,82410
Centaur Warrunner,0.3802,49.9511,46091
Puck,0.356,61.0875,48568
Shadow Shaman,0.3421,50.9644,81184
Shadow Demon,0.3256,59.0055,20332
Templar Assassin,0.2935,58.5601,52382
Shadow Fiend,0.2724,55.9939,117259
Earth Spirit,0.2626,62.2891,20872
Huskar,0.1938,56.5089,70918
Ember Spirit,0.1837,57.2076,65451
Juggernaut,0.1356,55.4682,139386
Zeus,0.1308,47.5329,81554
Death Prophet,0.1294,57.284,33587
Winter Wyvern,0.1278,55.2461,27763
Spirit Breaker,0.1276,48.6253,116250
Magnus,0.118,59.1712,57582
Wraith King,0.1135,49.3753,92686
Terrorblade,0.0272,54.9722,37981
Jakiro,0.0189,50.4645,48430
Night Stalker,0.0081,54.0974,45479
Clinkz,-0.0003,54.6412,63388
Naga Siren,-0.1873,59.9989,18867
Sven,-0.2317,49.641,123410
Bane,-0.2368,58.7015,25168
Elder Titan,-0.3186,52.3397,20900
Tinker,-0.3457,56.2613,70432
Treant Protector,-0.4367,53.3325,34568
Windranger,-0.4632,55.3829,102304
Beastmaster,-0.4754,58.274,16304
Witch Doctor,-0.5412,53.2685,50803
Morphling,-0.5486,58.0005,40241
Necrophos,-0.5633,47.197,127489
Underlord,-0.57,46.6482,29328
Tiny,-0.577,58.293,53629
Riki,-0.5914,48.2962,113278
Leshrac,-0.6453,57.313,18638
Troll Warlord,-0.6962,50.7224,87963
Lich,-0.7668,49.0032,43942
Pugna,-0.7745,55.4942,41516
Sand King,-0.7779,54.4199,81086
Drow Ranger,-0.797,52.0685,87984
Viper,-0.8219,52.1606,98166
Faceless Void,-0.8641,52.7671,90507
Dark Seer,-0.8692,55.7743,23007
Sniper,-0.8735,51.8465,184315
Brewmaster,-0.8939,53.3424,17547
Weaver,-0.8977,52.2264,90190
Kunkka,-0.9069,55.0056,104033
Dazzle,-0.9376,52.8077,38144
Ursa,-0.9403,49.7258,79715
Meepo,-0.9688,57.6567,30829
Omniknight,-0.9994,48.7624,48767
Doom,-1.0088,57.533,36287
Tusk,-1.0272,60.5682,35758
Monkey King,-1.031,56.6219,82136
Timbersaw,-1.0916,56.5106,58550
Earthshaker,-1.0994,52.039,119812
Phantom Assassin,-1.1074,49.5486,198613
Nyx Assassin,-1.1266,53.4854,65156
Enchantress,-1.1285,59.2019,26364
Medusa,-1.1998,56.6376,44843
Razor,-1.2719,56.4595,41458
Bloodseeker,-1.2757,49.8704,179842
Broodmother,-1.3065,62.1459,22452
Bristleback,-1.3816,54.0001,109946
Alchemist,-1.4093,58.1613,48938
Lina,-1.4542,56.6658,96709
Io,-1.465,66.3357,16822
Chen,-1.52,59.6365,9630
Lone Druid,-1.6582,62.3357,18795
Oracle,-1.6768,61.5976,15861
Phantom Lancer,-1.7556,50.4006,61144
Invoker,-1.8754,54.279,199182
Nature's Prophet,-1.9174,58.7323,50582
Keeper of the Light,-1.9717,54.1115,40119
Lycan,-1.9957,51.6313,29546
Slark,-2.1378,54.6017,120540
Undying,-2.7715,50.3402,31597
Outworld Devourer,-3.5484,52.3154,59793
Anti-Mage,-3.8895,51.457,127934
