Visage,11.6003,60.6694,239
Tidehunter,10.9409,54.0019,1037
Chen,8.076,58.1196,234
Oracle,7.805,61.4864,296
Io,7.3779,65.8079,427
Lone Druid,6.2372,59.2511,454
Elder Titan,5.3387,47.6047,334
Meepo,5.0839,54.2772,678
Shadow Demon,4.7349,54.2328,378
Winter Wyvern,4.5932,50.9259,432
Underlord,4.4134,42.5389,449
Phoenix,4.2954,48.2352,595
Silencer,4.2528,43.7192,1425
Earth Spirit,4.1599,56.5853,410
Nature's Prophet,4.0729,55.6732,1322
Broodmother,3.8655,57.971,414
Templar Assassin,3.5818,50.0738,1354
Faceless Void,3.4623,45.7815,1529
Batrider,3.4511,53.0456,394
Enigma,3.4209,45.0304,986
Pugna,3.3726,49.0039,753
Zeus,3.2242,39.7119,1458
Treant Protector,3.1873,45.3086,810
Tinker,3.1847,49.367,1896
Arc Warden,3.1231,53.5714,392
Phantom Lancer,2.7844,47.2711,1136
Techies,2.6445,49.0015,651
Puck,2.4131,52.3648,888
Warlock,2.3115,43.45,771
Lion,2.2606,48.4365,1631
Naga Siren,2.2513,52.9411,425
Beastmaster,2.2198,48.5342,307
Skywrath Mage,2.0865,46.3714,813
Venomancer,2.0399,41.1545,1074
Dark Seer,1.5885,46.6119,487
Jakiro,1.5745,40.6504,861
Ember Spirit,1.4438,46.9696,1518
Disruptor,1.4062,44.774,708
Wraith King,1.3925,39.0793,2129
Tusk,1.3751,52.259,664
Outworld Devourer,1.3247,45.1841,1412
Drow Ranger,1.2987,43.2046,1891
Windranger,1.1439,47.5057,2185
Luna,1.124,41.135,2132
Centaur Warrunner,1.1013,39.9572,936
Spirit Breaker,1.0756,38.8513,2072
Sven,1.0414,39.296,2415
Storm Spirit,0.9459,45.8989,1841
Monkey King,0.9118,51.659,1537
Dazzle,0.8644,43.75,768
Timbersaw,0.7637,47.0553,1681
Kunkka,0.7545,47.806,1299
Medusa,0.6322,47.5177,987
Doom,0.6035,49.8233,566
Invoker,0.514,45.763,4567
Undying,0.3796,42.7631,608
Enchantress,0.3624,50.1543,648
Leshrac,0.3261,48.5013,367
Keeper of the Light,0.2285,46.0893,716
Abaddon,0.1717,37.935,862
Spectre,0.1701,37.4141,1601
Shadow Shaman,0.1556,39.8968,1163
Lina,0.109,46.1612,2071
Omniknight,0.009,39.0882,1031
Rubick,-0.0268,47.496,1278
Pudge,-0.0498,42.1291,4631
Queen of Pain,-0.1002,48.3736,1199
Lich,-0.2291,38.1916,741
Witch Doctor,-0.3385,42.6439,938
Bristleback,-0.3773,41.2765,2820
Dragon Knight,-0.4391,40.998,1022
Necrophos,-0.4482,36.274,2131
Weaver,-0.4802,42.4721,1707
Juggernaut,-0.4907,43.6369,3261
Riki,-0.5525,37.685,2635
Magnus,-0.6876,47.0774,1266
Morphling,-0.7354,47.9956,923
Sand King,-0.7722,43.3451,1405
Razor,-0.8429,44.9776,896
Axe,-0.9025,40.0448,3119
Earthshaker,-0.9465,41.0271,1694
Clinkz,-0.9591,43.3932,1279
Nyx Assassin,-1.0535,42.056,1177
Bounty Hunter,-1.0737,43.3522,1587
Terrorblade,-1.0893,43.027,925
Tiny,-1.0955,46.8867,1060
Night Stalker,-1.0983,41.0617,923
Bloodseeker,-1.1601,39.6932,2804
Gyrocopter,-1.1722,45.3183,534
Huskar,-1.212,44.4526,1361
Legion Commander,-1.3372,43.6183,4035
Ancient Apparition,-1.3372,40.6952,1467
Brewmaster,-1.4073,45.5108,323
Ursa,-1.5753,38.1627,1905
Ogre Magi,-1.6319,39.3026,1692
Sniper,-1.7175,40.7797,4078
Mirana,-1.7231,41.3737,1849
Vengeful Spirit,-1.8011,38.6473,1242
Lycan,-1.8414,40.0715,559
Troll Warlord,-1.8431,38.2303,2362
Viper,-2.002,39.5445,1449
Bane,-2.0099,46.2151,502
Clockwerk,-2.0872,38.7959,897
Slardar,-2.1054,40.4522,1990
Slark,-2.1084,44.5143,2862
Crystal Maiden,-2.3286,36.3746,2466
Phantom Assassin,-2.3545,37.0685,4694
Chaos Knight,-2.4393,37.9982,1129
Anti-Mage,-2.7716,42.3768,3004
Shadow Fiend,-2.7762,40.5617,3062
Lifestealer,-3.02,42.588,1646
Death Prophet,-3.9915,40.962,686
