Zeus,7.1334,47.8833,4252
Clockwerk,6.6626,52.4877,2452
Wraith King,4.8374,46.4009,7877
Abaddon,4.4788,46.7526,2017
Undying,4.4407,51.9078,1389
Pugna,4.0341,55.0618,1778
Venomancer,3.7577,47.3648,2979
Spectre,3.6794,44.8829,5296
Lich,3.2877,46.1702,1880
Sniper,2.8866,49.7163,12340
Underlord,2.8171,45.3296,1092
Silencer,2.7293,46.5533,5353
Morphling,2.6882,57.3795,2656
Tinker,2.663,54.3149,5562
Ember Spirit,2.4909,53.2669,4622
Storm Spirit,2.4194,52.6141,7230
Faceless Void,2.3031,49.4549,4770
Slark,2.2406,54.0031,9405
Winter Wyvern,2.1904,53.8395,1159
Tidehunter,2.1541,50.1388,2160
Elder Titan,2.0872,49.1071,784
Ancient Apparition,2.0762,49.6487,1281
Pudge,1.9371,48.5979,14122
Medusa,1.8981,54.5374,3405
Necrophos,1.8295,42.4846,5522
Bounty Hunter,1.6983,51.1605,4179
Alchemist,1.6801,57.6423,3003
Dark Seer,1.6731,51.8602,1317
Skywrath Mage,1.6589,51.0195,2305
Gyrocopter,1.5994,53.5094,1325
Bristleback,1.5747,47.7747,8044
Jakiro,1.5445,44.9415,2481
Juggernaut,1.5385,50.4881,10858
Weaver,1.4404,49.205,4843
Sand King,1.3768,50.4718,4133
Arc Warden,1.3719,57.5147,845
Phoenix,1.2661,50.1426,1402
Lifestealer,1.242,51.9823,4540
Ogre Magi,1.1494,46.5549,4833
Viper,1.1303,47.2681,3990
Timbersaw,1.1184,52.7368,3800
Razor,1.0769,52.1402,2196
Phantom Lancer,1.0084,50.5788,3369
Witch Doctor,0.9548,48.7845,2427
Enigma,0.9474,47.1785,2800
Nyx Assassin,0.9361,48.831,3764
Doom,0.8922,55.9186,1622
Beastmaster,0.8591,52.3947,689
Chen,0.7474,56.1181,474
Warlock,0.6255,46.3137,2116
Keeper of the Light,0.594,51.6853,2047
Treant Protector,0.5572,47.3455,2298
Chaos Knight,0.5448,45.4013,3077
Vengeful Spirit,0.5392,45.4404,3235
Nature's Prophet,0.4749,58.1578,3181
Death Prophet,0.383,50.5068,1677
Leshrac,0.3216,54.0112,885
Invoker,0.2631,50.6115,15372
Omniknight,0.2488,43.5742,2809
Shadow Shaman,0.1994,44.2409,3221
Brewmaster,0.1903,52.4682,709
Mirana,-0.0271,47.755,5813
Magnus,-0.0504,53.1258,3791
Techies,-0.2113,51.3873,1802
Earthshaker,-0.2537,46.2624,5311
Shadow Fiend,-0.3152,47.59,9212
Centaur Warrunner,-0.3945,42.6799,2418
Night Stalker,-0.4424,46.3052,2693
Rubick,-0.4723,52.4109,4127
Ursa,-0.4967,43.525,4556
Lina,-0.5319,50.6998,6144
Huskar,-0.5867,50.2072,3860
Luna,-0.5977,43.7417,6072
Puck,-0.6225,55.0798,2756
Batrider,-0.6571,54.4668,1041
Dazzle,-0.9236,46.6438,2041
Spirit Breaker,-0.9303,40.8189,6154
Sven,-0.9515,41.2975,7630
Riki,-0.9736,41.2409,8300
Bane,-0.9917,52.6711,1198
Crystal Maiden,-1.0054,41.6863,7602
Kunkka,-1.0076,51.3205,3597
Disruptor,-1.0236,46.996,2530
Bloodseeker,-1.0574,43.786,12842
Windranger,-1.0848,50.5587,6353
Queen of Pain,-1.2498,52.7253,3761
Lycan,-1.2742,45.2276,1362
Tusk,-1.301,55.281,1619
Dragon Knight,-1.4384,44.4528,2659
Naga Siren,-1.4591,54.8864,1013
Troll Warlord,-1.7212,42.4879,6849
Visage,-1.8083,52.1298,493
Drow Ranger,-1.8407,44.5709,5710
Terrorblade,-1.8897,46.9732,2957
Axe,-1.9678,43.3715,9497
Enchantress,-1.9707,53.3015,1469
Clinkz,-1.9785,47.1997,3464
Earth Spirit,-2.1416,56.0661,1088
Io,-2.2869,62.1686,830
Slardar,-2.3277,44.7483,5703
Lion,-2.35,48.9879,5138
Shadow Demon,-2.6131,52.2961,1067
Legion Commander,-2.8019,47.152,14835
Tiny,-2.8845,50.3832,2870
Oracle,-2.9585,56.042,571
Monkey King,-3.0889,53.4445,4195
Outworld Devourer,-3.1385,45.4233,4086
Phantom Assassin,-3.4395,40.0719,15295
Lone Druid,-3.7424,54.8858,1095
Templar Assassin,-4.1702,47.3752,3848
Broodmother,-5.1631,54.4742,894
Meepo,-5.532,48.804,1965
