Venomancer,3.5803,46.9517,51112
Silencer,2.9968,45.4844,54201
Ancient Apparition,2.6531,46.4163,23649
Phoenix,2.6214,48.8653,20051
Disruptor,2.5639,48.5618,32437
Outworld Devourer,2.3254,49.7427,35963
Necrophos,2.2482,41.6018,83441
Shadow Shaman,2.1488,44.4448,54310
Techies,2.088,49.94,18350
Lich,1.7214,43.2131,30979
Shadow Fiend,1.6422,48.9598,78595
Tidehunter,1.573,46.7423,26706
Mirana,1.3962,46.3584,74392
Invoker,1.3516,48.7318,158455
Viper,1.2381,45.8413,61691
Clockwerk,1.2307,46.0024,33883
Rubick,1.1828,50.907,53914
Puck,1.0424,53.3635,36420
Skywrath Mage,1.0249,46.6072,33454
Enigma,1.0127,45.5151,33435
Jakiro,0.9872,43.161,33989
Keeper of the Light,0.9375,48.6588,26918
Crystal Maiden,0.8939,42.6385,70305
Ogre Magi,0.8389,44.4617,53311
Earthshaker,0.8383,45.5744,86882
Sniper,0.8374,45.1139,125378
Lion,0.7149,49.4441,51276
Pugna,0.7117,48.6268,28583
Windranger,0.6775,48.1366,73632
Templar Assassin,0.6736,50.5683,35892
Earth Spirit,0.6314,54.2544,16712
Underlord,0.6064,39.62,18685
Pudge,0.5311,44.8222,161884
Witch Doctor,0.4897,45.9844,34790
Dazzle,0.4688,45.9063,27689
Winter Wyvern,0.4332,47.2279,20346
Lina,0.4319,50.1141,62637
Sven,0.4183,42.0153,80047
Slardar,0.3438,45.6132,46914
Visage,0.3079,47.4478,11990
Dragon Knight,0.2964,45.6597,31185
Tinker,0.29,48.54,55002
Drow Ranger,0.2804,44.8257,59506
Shadow Demon,0.2728,50.5681,14345
Morphling,0.2678,50.4345,28532
Luna,0.2676,44.2864,55290
Warlock,0.2501,43.9027,23691
Medusa,0.1642,49.6214,27079
Io,0.1544,59.4915,12980
Undying,0.1413,44.9592,18410
Elder Titan,0.1182,44.4825,13430
Troll Warlord,0.0564,43.1902,59011
Batrider,0.0478,52.5703,14434
Nyx Assassin,0.0454,46.3196,41328
Sand King,0.0374,46.8904,54188
Vengeful Spirit,-0.0013,43.2678,38049
Omniknight,-0.0084,41.5017,31030
Razor,-0.0478,49.3026,24522
Zeus,-0.0583,39.1428,51989
Doom,-0.1251,50.0157,22183
Ember Spirit,-0.1347,48.5529,40945
Axe,-0.1728,43.2879,77488
Queen of Pain,-0.1749,51.0114,47605
Oracle,-0.1923,54.6606,11758
Timbersaw,-0.2074,49.0269,38230
Bane,-0.3243,50.2113,16327
Enchantress,-0.3383,51.5892,17430
Magnus,-0.3703,50.3206,40071
Monkey King,-0.3892,48.8902,58390
Ursa,-0.4302,41.971,51202
Bloodseeker,-0.4337,42.3344,101650
Faceless Void,-0.4752,44.8507,59212
Spectre,-0.506,38.6258,49863
Terrorblade,-0.5307,46.0884,24364
Wraith King,-0.5777,40.4735,55498
Lifestealer,-0.6193,48.596,42238
Death Prophet,-0.6555,48.138,19845
Juggernaut,-0.6676,46.4269,90342
Bristleback,-0.7807,46.2703,63773
Dark Seer,-0.8177,47.4793,15651
Treant Protector,-0.844,44.6251,24038
Night Stalker,-0.8442,44.9397,26876
Kunkka,-0.8975,46.6909,73404
Weaver,-0.948,43.9036,59954
Tiny,-1.0341,49.4721,33530
Clinkz,-1.0599,45.3045,44618
Gyrocopter,-1.1,48.0674,20232
Brewmaster,-1.2042,44.7077,11224
Spirit Breaker,-1.2209,39.1344,73296
Nature's Prophet,-1.2214,51.0262,37614
Centaur Warrunner,-1.2638,40.0873,27490
Huskar,-1.453,46.5849,42254
Abaddon,-1.5202,40.2447,21409
Tusk,-1.5375,51.6311,22868
Legion Commander,-1.6508,46.0267,104800
Storm Spirit,-1.7119,45.7507,47997
Bounty Hunter,-1.7287,45.1767,45457
Riki,-2.0045,38.756,73942
Chen,-2.0568,50.6864,7138
Anti-Mage,-2.1775,44.78,92990
Phantom Assassin,-2.2087,40.3401,127652
Leshrac,-2.3667,47.1954,12230
Lone Druid,-2.4622,53.0832,13703
Beastmaster,-2.4817,47.8348,10392
Slark,-2.7756,45.696,78160
Chaos Knight,-2.8264,38.7209,39950
Alchemist,-3.0304,48.1889,31694
Lycan,-3.1843,42.1513,19634
Meepo,-3.7047,46.6118,24792
Naga Siren,-3.7982,47.9369,12118
Phantom Lancer,-4.9906,38.9904,38253
Broodmother,-5.1344,49.865,15937
