Beastmaster,5.3348,62.0641,717
Phantom Lancer,3.6293,58.331,3667
Chaos Knight,3.6285,53.5066,3807
Lycan,3.2372,54.9196,1555
Troll Warlord,2.9614,52.062,7541
Terrorblade,2.454,56.5425,2713
Phantom Assassin,2.4365,50.2223,17542
Visage,2.3524,61.4503,524
Vengeful Spirit,1.8578,51.5444,3626
Anti-Mage,1.8221,56.6284,9497
Faceless Void,1.2712,53.1326,4517
Earthshaker,1.2231,52.5509,6135
Night Stalker,1.1132,52.7589,2809
Sven,1.0647,48.0423,8403
Lion,0.9748,57.2639,5190
Ogre Magi,0.9602,51.0483,5628
Clinkz,0.88,55.0318,3607
Drow Ranger,0.8622,52.1908,5637
Enchantress,0.7994,61.2369,1633
Meepo,0.7723,60.8951,2212
Omniknight,0.7585,48.7111,3414
Windranger,0.7008,57.2327,6678
Slardar,0.6959,52.6682,7027
Shadow Fiend,0.5669,53.2116,10244
Slark,0.555,57.1745,9903
Weaver,0.4652,52.9499,5356
Dragon Knight,0.4284,51.1823,3087
Necrophos,0.4138,45.473,6892
Nyx Assassin,0.3884,53.0131,4497
Viper,0.3824,51.1955,4893
Luna,0.3815,49.47,6133
Dazzle,0.3427,52.9411,3621
Tusk,0.3053,62.0521,1842
Riki,0.29,47.1524,9113
Mirana,0.2441,52.8059,6005
Bloodseeker,0.148,50.0419,9536
Shadow Shaman,0.1234,48.8656,3350
Winter Wyvern,0.1026,56.4122,1310
Broodmother,0.0638,65.6165,1111
Templar Assassin,-0.0182,56.661,4151
Centaur Warrunner,-0.0625,47.5054,3227
Dark Seer,-0.0681,54.8138,1558
Juggernaut,-0.074,53.7144,11738
Lina,-0.0932,55.9953,6897
Crystal Maiden,-0.1017,47.2097,8494
Gyrocopter,-0.148,56.3994,1422
Legion Commander,-0.1689,54.4924,14402
Oracle,-0.2174,64.0949,674
Storm Spirit,-0.2683,54.5347,5954
Huskar,-0.3357,55.3796,4359
Nature's Prophet,-0.3811,62.0433,3230
Undying,-0.3874,51.4018,1926
Bristleback,-0.4257,50.4586,11556
Naga Siren,-0.4425,60.7707,1012
Bounty Hunter,-0.4716,53.6575,4812
Sniper,-0.4876,51.2036,13210
Ursa,-0.5861,48.0212,5635
Bane,-0.5917,57.8947,1254
Sand King,-0.652,53.1628,5122
Lich,-0.6561,46.4814,2160
Alchemist,-0.6717,59.9551,3119
Spirit Breaker,-0.6734,45.6555,7147
Keeper of the Light,-0.6743,55.0934,2140
Rubick,-0.682,56.9063,4047
Abaddon,-0.6895,45.5691,2697
Underlord,-0.8271,45.7592,1462
Tinker,-0.8507,55.408,5575
Tiny,-0.8696,57.3677,2986
Tidehunter,-1.0024,51.4881,2923
Invoker,-1.0796,54.1182,14278
Treant Protector,-1.1178,50.2272,2640
Brewmaster,-1.1982,55.8579,845
Pudge,-1.2265,50.3679,16848
Puck,-1.2524,59.2643,2909
Queen of Pain,-1.2685,57.5481,3948
Jakiro,-1.27,46.4656,2985
Wraith King,-1.2843,44.9313,6915
Morphling,-1.301,57.7889,2587
Pugna,-1.3319,54.0737,2062
Enigma,-1.3977,49.3555,3181
Clockwerk,-1.5343,48.3338,3091
Razor,-1.5354,54.1537,2576
Leshrac,-1.5885,56.6401,881
Silencer,-1.6081,46.6915,5637
Spectre,-1.6082,43.9941,5453
Arc Warden,-1.6544,59.0712,926
Magnus,-1.6768,56.4436,4842
Ember Spirit,-1.8108,53.6178,5694
Outworld Devourer,-1.8504,51.5821,4614
Disruptor,-1.8967,50.839,2622
Lifestealer,-1.9192,53.5167,5488
Zeus,-1.9644,42.8327,4688
Phoenix,-2.0645,51.2777,1800
Skywrath Mage,-2.1343,51.6625,2406
Venomancer,-2.3334,45.3681,3681
Witch Doctor,-2.368,49.9192,3095
Chen,-2.425,57.3248,471
Medusa,-2.5734,54.2715,2821
Earth Spirit,-2.6229,60.502,1195
Warlock,-2.7167,47.2988,2647
Kunkka,-2.7477,54.3369,4185
Techies,-2.7644,53.3558,1773
Monkey King,-2.8529,58.5833,4433
Doom,-2.8644,56.6128,1671
Death Prophet,-3.0236,51.5789,1900
Shadow Demon,-3.2389,56.4198,1067
Batrider,-3.5048,56.2763,1187
Io,-3.7854,65.5737,915
Ancient Apparition,-3.859,47.8571,1540
Timbersaw,-4.5165,51.6765,5070
Elder Titan,-4.6272,46.3861,927
Lone Druid,-5.3367,57.8754,1092
