Io,4.2476,63.1011,14659
Tidehunter,2.5488,47.155,30510
Oracle,2.4996,56.8523,13426
Keeper of the Light,2.0919,49.2624,27932
Timbersaw,1.8635,50.5189,38346
Shadow Demon,1.731,51.4944,16126
Earth Spirit,1.3859,54.4754,16110
Visage,1.3752,47.9792,12693
Phoenix,1.3399,47.0494,20810
Lifestealer,1.3091,49.9099,50503
Templar Assassin,1.3016,50.6476,38059
Legion Commander,1.2632,48.1041,118362
Ancient Apparition,1.1856,44.4132,25999
Troll Warlord,1.1578,43.6931,63566
Lich,1.0308,41.9817,33405
Omniknight,1.0188,41.9569,34676
Techies,0.969,48.2881,19336
Phantom Assassin,0.954,42.6106,151143
Lycan,0.951,45.7206,21592
Storm Spirit,0.9453,47.7742,50837
Winter Wyvern,0.9354,47.1877,21033
Shadow Fiend,0.9054,47.7461,79198
Skywrath Mage,0.8475,45.8863,37157
Windranger,0.8314,47.734,81135
Invoker,0.8245,47.8152,144615
Disruptor,0.7667,46.254,34771
Clinkz,0.7067,46.4721,48330
Batrider,0.7058,52.6968,14925
Chen,0.6697,52.9121,7692
Tinker,0.6146,48.3287,53014
Faceless Void,0.6054,45.341,60464
Anti-Mage,0.602,46.7924,98033
Weaver,0.5969,44.8288,65527
Dazzle,0.5921,45.4801,30842
Warlock,0.5352,43.6345,26039
Rubick,0.4981,49.7053,60062
Juggernaut,0.487,46.9569,92836
Centaur Warrunner,0.3624,41.1384,29741
Ogre Magi,0.3318,43.428,57829
Arc Warden,0.3247,49.7886,16327
Nyx Assassin,0.2912,46.015,44555
Treant Protector,0.2649,45.1772,26126
Enchantress,0.264,51.658,19571
Lion,0.2623,48.4714,54529
Bounty Hunter,0.1736,46.4732,49323
Dragon Knight,0.1702,44.9902,34383
Abaddon,0.1081,41.2984,25168
Necrophos,0.1065,39.0681,90424
Crystal Maiden,0.106,41.3528,78841
Leshrac,0.0973,49.1317,13763
Ursa,0.0854,41.9197,58903
Queen of Pain,0.0791,50.7327,48036
Outworld Devourer,0.0435,46.976,37583
Shadow Shaman,0.0148,41.851,58584
Pugna,-0.0033,47.3799,31412
Slark,-0.0069,47.7394,83696
Lina,-0.038,49.1366,65210
Elder Titan,-0.0592,43.7565,14375
Ember Spirit,-0.0925,48.0582,42642
Viper,-0.1026,44.0231,67092
Monkey King,-0.1122,48.63,57847
Riki,-0.1227,39.968,78290
Brewmaster,-0.1542,45.215,12299
Puck,-0.1689,51.6537,36915
Zeus,-0.1897,38.4623,54864
Morphling,-0.2024,49.4366,29468
Witch Doctor,-0.2378,44.7245,39039
Slardar,-0.2661,44.4826,49181
Huskar,-0.2905,47.1649,48712
Nature's Prophet,-0.3029,51.3922,39683
Pudge,-0.319,43.5512,166273
Dark Seer,-0.3391,47.4162,17378
Spectre,-0.3547,38.2107,49965
Underlord,-0.3648,38.0981,19455
Mirana,-0.3654,44.1633,73715
Broodmother,-0.3659,54.11,17226
Bristleback,-0.4226,46.065,71004
Venomancer,-0.4481,42.5284,51890
Magnus,-0.4556,49.7092,40240
Clockwerk,-0.4911,43.7705,35236
Wraith King,-0.4981,40.0036,61047
Jakiro,-0.5099,41.1435,35505
Enigma,-0.519,43.4699,34341
Earthshaker,-0.6274,43.6697,82556
Silencer,-0.6516,41.4495,63330
Tiny,-0.6995,49.2632,36171
Sven,-0.7312,40.4115,89858
Axe,-0.7573,42.1959,81285
Alchemist,-0.7808,49.8623,34148
Spirit Breaker,-0.7977,38.9956,82304
Vengeful Spirit,-0.9151,41.8259,41063
Gyrocopter,-0.9157,47.7117,21567
Tusk,-0.9602,51.6724,24574
Sniper,-0.9662,42.9676,128371
Bloodseeker,-0.9715,41.3193,115256
Drow Ranger,-0.9765,43.0826,62011
Medusa,-1.1681,47.7686,29243
Kunkka,-1.2306,45.8403,74657
Undying,-1.2694,43.0016,20955
Doom,-1.2705,48.342,23433
Night Stalker,-1.326,43.9184,29129
Lone Druid,-1.3363,53.682,14109
Terrorblade,-1.3883,44.6969,25259
Death Prophet,-1.4215,46.8358,22186
Luna,-1.4357,42.1071,56513
Sand King,-1.4495,44.9246,54745
Beastmaster,-1.5163,48.2688,11264
Meepo,-1.5544,48.2058,23437
Razor,-1.5838,47.2428,27329
Naga Siren,-2.6912,48.5118,12700
Chaos Knight,-3.1602,37.8454,42367
Phantom Lancer,-3.6628,39.7342,40031
