Techies,17.798,65.0691,17569
Ancient Apparition,15.7426,58.9421,20381
Visage,8.4873,55.3196,8243
Lion,8.156,56.2001,35612
Rubick,6.4018,55.5021,38085
Tidehunter,6.2181,50.9777,21784
Io,5.9653,64.856,10457
Crystal Maiden,5.2366,46.4572,46475
Chen,4.8829,57.3239,5994
Oracle,4.7882,59.2532,8678
Shadow Demon,4.1146,54.0567,10082
Arc Warden,2.5083,52.1651,10392
Skywrath Mage,2.401,47.6657,21227
Brewmaster,1.9234,47.5464,9048
Earth Spirit,1.7873,55.0282,10620
Treant Protector,1.7305,46.8867,16269
Elder Titan,1.6251,45.7074,10425
Bane,1.5418,51.7311,11264
Meepo,1.3479,51.2824,14699
Broodmother,1.3343,55.9385,11257
Warlock,1.2207,44.598,16059
Monkey King,1.1473,50.0231,38834
Batrider,1.1326,53.2931,9960
Keeper of the Light,0.7582,48.1765,17330
Pugna,0.5852,48.1954,18481
Winter Wyvern,0.5371,47.037,13264
Silencer,0.5153,42.8515,33245
Enchantress,0.5026,52.0723,12932
Clinkz,0.5015,46.5307,27758
Templar Assassin,0.4812,50.0543,23011
Bounty Hunter,0.4335,46.9714,29569
Omniknight,0.4299,41.6929,20284
Riki,0.4139,40.7818,46712
Tinker,0.3364,48.2992,30133
Night Stalker,0.306,45.7869,19392
Ogre Magi,0.2528,43.6371,31778
Abaddon,0.2188,41.7259,16304
Tusk,0.1984,52.9815,16451
Storm Spirit,0.1488,47.2476,30374
Lifestealer,0.0816,48.9513,28800
Ursa,0.0611,42.1953,32897
Pudge,0.0572,44.132,93193
Nyx Assassin,0.0525,46.0397,26703
Outworld Devourer,0.0416,47.2138,23114
Dazzle,0.0332,45.2008,17451
Huskar,0.0182,47.701,28905
Nature's Prophet,0.0168,51.8854,23947
Lich,0.0066,41.2935,19744
Slardar,-0.0615,44.9443,29937
Shadow Shaman,-0.13,42.0091,32512
Lycan,-0.1392,44.9038,14511
Anti-Mage,-0.1922,46.322,53359
Undying,-0.2214,44.3214,14185
Windranger,-0.256,46.9735,43401
Dragon Knight,-0.2603,44.8331,22809
Juggernaut,-0.2615,46.5143,54452
Zeus,-0.2783,38.7111,32665
Phoenix,-0.2928,45.6799,13715
Wraith King,-0.2955,40.5105,36356
Leshrac,-0.298,48.9488,9371
Doom,-0.2982,49.5123,15689
Witch Doctor,-0.3444,44.8918,22552
Clockwerk,-0.347,44.1887,21768
Morphling,-0.39,49.4569,18966
Lone Druid,-0.4322,54.7283,9443
Lina,-0.4617,48.9547,38603
Dark Seer,-0.467,47.5222,11119
Puck,-0.475,51.5494,21040
Razor,-0.514,48.5201,17434
Naga Siren,-0.5486,50.8552,9179
Spirit Breaker,-0.5737,39.5042,45704
Magnus,-0.6589,49.7139,25172
Troll Warlord,-0.6632,42.2486,36645
Faceless Void,-0.7126,44.3515,36948
Viper,-0.7575,43.677,38922
Legion Commander,-0.7819,46.5237,63675
Death Prophet,-0.891,47.592,14473
Mirana,-0.8994,43.932,43977
Vengeful Spirit,-0.9658,42.0795,24361
Drow Ranger,-0.9863,43.3522,36757
Underlord,-1.0328,37.7846,13217
Disruptor,-1.0585,44.7313,18819
Tiny,-1.0951,49.0816,23139
Enigma,-1.1074,43.1758,21922
Chaos Knight,-1.1982,40.0733,27542
Invoker,-1.2494,46.2566,80983
Weaver,-1.3016,43.3016,38405
Centaur Warrunner,-1.338,39.7904,19849
Terrorblade,-1.5466,44.8009,16801
Sven,-1.6458,39.8453,49672
Queen of Pain,-1.6531,49.2648,28769
Slark,-1.6616,46.4406,47663
Shadow Fiend,-1.6632,45.5891,47156
Bloodseeker,-1.7034,40.9138,62023
Necrophos,-1.7287,37.6449,48049
Alchemist,-1.8164,49.0452,22414
Timbersaw,-1.8372,47.1282,25664
Ember Spirit,-1.9202,46.5165,26554
Gyrocopter,-1.9579,46.9042,14762
Jakiro,-1.9838,40.0155,20522
Phantom Assassin,-2.0073,40.2497,78798
Venomancer,-2.1364,41.2048,32103
Spectre,-2.1745,36.808,31178
Earthshaker,-2.2103,42.4755,50502
Luna,-2.2287,41.6441,35155
Medusa,-2.3331,46.848,19258
Sand King,-2.5669,44.1142,33921
Sniper,-2.7106,41.679,73339
Phantom Lancer,-2.7735,40.9037,25714
Bristleback,-3.0347,43.8557,41299
Kunkka,-3.2738,44.1734,44821
Axe,-4.3153,39.189,50606
