Underlord,2.0418,47.7435,129540
Omniknight,1.8464,50.4976,254475
Centaur Warrunner,1.7625,50.2128,214941
Weaver,1.7152,54.4247,526281
Anti-Mage,1.4836,56.8319,1151008
Silencer,1.2997,51.2495,418614
Abaddon,1.2462,50.1295,179842
Riki,1.0953,48.439,775746
Spectre,1.0804,46.7622,373896
Undying,1.037,53.7337,132481
Lich,0.9427,49.5462,227113
Tidehunter,0.935,54.0441,191229
Jakiro,0.8967,50.3404,236869
Necrophos,0.8215,46.8232,714072
Timbersaw,0.8006,58.8706,289681
Lycan,0.7726,54.113,144152
Phoenix,0.7601,55.2006,135819
Dark Seer,0.7032,57.6258,107247
Night Stalker,0.6383,54.4664,202229
Disruptor,0.6321,54.7688,225654
Drow Ranger,0.3975,52.6845,499782
Phantom Lancer,0.3393,51.7532,346239
Sand King,0.3158,55.4326,414478
Spirit Breaker,0.203,47.0807,727722
Vengeful Spirit,0.1852,50.8776,261614
Kunkka,0.1738,56.0866,514135
Dazzle,0.1467,53.5602,222064
Slark,0.1033,57.2612,835802
Crystal Maiden,0.0927,48.9233,553425
Enigma,0.0859,52.3151,262593
Mirana,0.0619,52.91,573730
Phantom Assassin,0.0392,49.5342,1277716
Zeus,0.0285,45.6608,427907
Razor,0.0247,58.2721,193602
Faceless Void,0.0133,53.1883,464102
Clinkz,0.0048,54.5332,367543
Invoker,-0.0358,55.9175,1247236
Warlock,-0.0729,51.0753,165201
Ogre Magi,-0.1135,51.0155,409056
Treant Protector,-0.1196,53.2687,175634
Beastmaster,-0.1312,59.0861,62023
Venomancer,-0.1604,50.7843,366121
Bristleback,-0.1753,55.1665,642028
Elder Titan,-0.2159,51.7909,90564
Witch Doctor,-0.2425,53.165,264990
Ancient Apparition,-0.263,51.0276,167566
Outworld Devourer,-0.2733,55.5797,298551
Death Prophet,-0.274,57.228,158597
Luna,-0.3075,51.2682,424056
Shadow Shaman,-0.3134,49.2183,433802
Ursa,-0.3149,49.1541,492046
Viper,-0.3236,52.0612,566052
Bounty Hunter,-0.3789,54.737,397343
Earthshaker,-0.4332,52.0777,649433
Sniper,-0.4583,51.5815,1176539
Terrorblade,-0.4924,54.2569,173705
Troll Warlord,-0.5118,49.9293,528943
Sven,-0.5642,48.0537,736111
Axe,-0.5812,50.2892,794715
Slardar,-0.6405,52.4352,386311
Alchemist,-0.6676,59.7535,245234
Windranger,-0.704,55.2561,645696
Leshrac,-0.7319,57.5657,78069
Rubick,-0.7401,57.8639,425624
Gyrocopter,-0.7449,57.0876,136089
Shadow Demon,-0.7471,58.4581,95482
Magnus,-0.77,58.9064,288274
Doom,-0.823,58.2212,155287
Pugna,-0.8564,55.4655,207572
Winter Wyvern,-0.858,54.1128,150552
Keeper of the Light,-0.8784,55.1852,189846
Bane,-0.902,58.681,115257
Skywrath Mage,-0.9036,52.5652,256038
Pudge,-0.9048,51.1578,1398758
Clockwerk,-0.9059,51.561,247301
Nyx Assassin,-0.9592,53.307,303673
Dragon Knight,-1.0283,52.1408,264750
Chaos Knight,-1.0465,47.2588,371797
Arc Warden,-1.1169,57.6655,101650
Earth Spirit,-1.2388,61.8243,100365
Templar Assassin,-1.2785,57.5605,288939
Lina,-1.3842,57.1546,503112
Shadow Fiend,-1.3857,54.3557,670509
Brewmaster,-1.4908,52.2907,78161
Queen of Pain,-1.4917,58.9156,381690
Juggernaut,-1.5145,53.7807,800420
Naga Siren,-1.5686,59.3027,78396
Lion,-1.6065,55.7039,399223
Chen,-1.6266,60.4309,43064
Wraith King,-1.7857,45.8535,559693
Batrider,-1.8649,59.8336,91370
Nature's Prophet,-1.9166,59.7842,282469
Visage,-1.932,53.2788,72511
Ember Spirit,-1.9577,55.2278,324065
Lone Druid,-2.026,63.4161,85669
Huskar,-2.0601,54.4326,416465
Morphling,-2.0719,56.95,206228
Oracle,-2.0972,62.5062,74287
Medusa,-2.1361,55.9442,207301
Legion Commander,-2.1738,53.7896,1044696
Enchantress,-2.3011,58.963,136087
Meepo,-2.3932,56.6769,183745
Monkey King,-2.4844,55.5214,479881
Tusk,-2.5367,60.0173,161250
Tiny,-2.5401,56.9006,276823
Broodmother,-2.5536,62.4046,108117
Puck,-2.6055,59.0306,271918
Tinker,-2.6783,54.008,434796
Lifestealer,-2.8928,54.9502,377705
Storm Spirit,-3.1674,52.4337,435838
Techies,-3.2081,52.8704,161054
Io,-3.9004,65.9562,81689
