Elder Titan,5.6771,53.5874,446
Riki,4.5043,47.5757,8580
Beastmaster,4.2218,56.3157,380
Underlord,3.9806,47.5535,654
Jakiro,3.4331,47.9584,1347
Silencer,3.0101,47.9287,2414
Keeper of the Light,2.9923,54.5722,1017
Bane,2.8293,56.9182,636
Warlock,2.7891,49.4496,1181
Templar Assassin,2.5952,54.8341,2110
Clinkz,2.308,52.3093,2728
Visage,2.1471,56.6978,321
Tidehunter,2.1335,50.7692,1300
Shadow Fiend,2.0953,50.6391,4850
Troll Warlord,1.8885,47.2743,3357
Timbersaw,1.7204,53.7173,2031
Doom,1.5983,56.6467,835
Luna,1.4867,46.9452,3159
Broodmother,1.4667,61.7647,680
Skywrath Mage,1.4398,51.3425,1229
Disruptor,1.4277,50.3502,1142
Dark Seer,1.4187,52.0775,722
Treant Protector,1.322,48.9226,1578
Ogre Magi,1.3095,47.6609,2501
Earthshaker,1.2724,48.697,2571
Lone Druid,1.0887,59.826,575
Necrophos,1.007,43.0362,2872
Mirana,1.005,49.5632,3091
Winter Wyvern,0.9436,52.8619,594
Spectre,0.9318,43.5146,2390
Gyrocopter,0.8945,53.1442,811
Alchemist,0.8196,56.6477,1587
Lina,0.7913,52.4681,3221
Death Prophet,0.7858,51.4689,919
Weaver,0.7843,49.2532,2879
Invoker,0.7515,51.5923,6751
Spirit Breaker,0.6828,43.8254,3231
Ancient Apparition,0.6796,48.8946,769
Drow Ranger,0.6687,48.1118,2860
Leshrac,0.571,54.5279,519
Bristleback,0.545,47.6246,4252
Kunkka,0.5042,53.2514,1953
Morphling,0.4496,54.9577,1301
Ember Spirit,0.3969,51.5599,2436
Centaur Warrunner,0.3926,44.6727,1314
Shadow Shaman,0.3817,45.5681,1681
Shadow Demon,0.3235,55.4655,494
Chen,0.2971,55.8219,292
Crystal Maiden,0.2284,44.1714,3989
Windranger,0.1542,52.2235,3238
Chaos Knight,0.1499,46.081,1480
Nyx Assassin,0.1387,48.7311,2522
Witch Doctor,0.1128,48.6486,1369
Sniper,0.0992,47.9089,6456
Oracle,0.0716,59.3495,369
Vengeful Spirit,0.0538,45.9598,1745
Venomancer,0.0232,44.5217,1725
Axe,0.0093,46.3424,4812
Pudge,0.0026,47.6653,7196
Lich,-0.0099,43.8149,1059
Wraith King,-0.0917,43.0096,2997
Nature's Prophet,-0.1529,57.3067,1656
Terrorblade,-0.1698,49.5468,1324
Enigma,-0.1942,46.9322,1255
Juggernaut,-0.2053,49.46,5000
Dragon Knight,-0.2151,46.7213,1464
Earth Spirit,-0.3494,57.8313,581
Enchantress,-0.4116,55.1605,872
Sven,-0.4299,43.2634,3340
Omniknight,-0.4397,44.0549,1455
Monkey King,-0.4398,56.1812,2273
Pugna,-0.4719,50.7561,1058
Lion,-0.4883,51.3829,2567
Abaddon,-0.5362,42.5971,1209
Bloodseeker,-0.5809,45.6807,4341
Puck,-0.6864,55.0387,1419
Night Stalker,-0.7002,46.9541,1461
Ursa,-0.7335,44.4308,2451
Tusk,-0.7608,55.8823,884
Phantom Assassin,-0.7667,43.8174,6769
Medusa,-0.7774,51.7882,1398
Batrider,-0.8591,54.3795,548
Sand King,-0.8875,48.7858,2265
Dazzle,-0.9968,47.4025,1078
Phoenix,-1.0429,48.383,804
Outworld Devourer,-1.1308,48.3169,1931
Storm Spirit,-1.189,49.4074,2700
Zeus,-1.1991,40.6068,2406
Viper,-1.2453,45.7513,2236
Razor,-1.3744,50.0768,1302
Clockwerk,-1.399,44.8979,1470
Lifestealer,-1.4179,49.7664,2355
Tiny,-1.6139,52.0807,1586
Slardar,-1.6758,46.3365,3999
Rubick,-1.6772,51.5043,1961
Arc Warden,-1.7734,54.3478,552
Slark,-1.7922,50.4306,4412
Anti-Mage,-1.8021,48.8516,4180
Legion Commander,-1.8819,48.6921,5964
Techies,-1.9181,50.0,846
Tinker,-1.9191,50.0365,2736
Undying,-1.9277,45.9183,882
Lycan,-2.1871,45.2107,783
Brewmaster,-2.1957,50.3649,411
Io,-2.2354,61.811,508
Queen of Pain,-2.3251,51.865,1957
Magnus,-2.3263,51.0964,1824
Faceless Void,-2.4519,45.4464,2240
Naga Siren,-3.4009,52.8998,569
Phantom Lancer,-3.4715,46.5695,1647
Huskar,-3.6556,47.6143,2012
Meepo,-3.6794,51.0514,856
