Arc Warden,5.1343,50.1349,15937
Visage,4.9302,47.0881,12226
Io,3.5152,57.8658,13476
Warlock,3.466,42.1097,22230
Lich,2.9146,39.4063,29480
Oracle,2.8117,52.676,11472
Skywrath Mage,2.7625,43.3256,32872
Silencer,2.7024,40.2437,46447
Clinkz,2.686,43.9207,49093
Invoker,2.6661,45.014,129184
Ancient Apparition,2.6563,41.4401,22401
Huskar,2.6092,45.505,48465
Drow Ranger,2.4917,41.9454,60736
Tidehunter,2.4722,42.6444,26463
Wraith King,2.3476,38.2937,56944
Faceless Void,2.3314,42.5492,57061
Witch Doctor,2.2051,42.6902,32005
Riki,2.1505,37.679,77218
Techies,2.1021,44.9598,19553
Treant Protector,2.0002,42.4539,23562
Earth Spirit,1.9209,50.5473,14159
Phoenix,1.7293,42.9938,18605
Nyx Assassin,1.6918,42.9478,38130
Lifestealer,1.6351,45.8025,41489
Clockwerk,1.6273,41.4216,29965
Zeus,1.5977,35.7581,53585
Outworld Devourer,1.5491,44.0167,32808
Anti-Mage,1.53,43.2372,82748
Lycan,1.4906,41.8003,21062
Shadow Demon,1.4633,46.767,13687
Luna,1.4498,40.4324,56373
Undying,1.4472,41.2616,19546
Medusa,1.4366,45.8772,29143
Weaver,1.4031,41.1574,60995
Templar Assassin,1.3992,46.279,37544
Pudge,1.283,40.4986,136597
Shadow Shaman,1.2445,38.603,49851
Mirana,1.17,41.1893,62674
Elder Titan,1.14,40.5103,13678
Abaddon,1.1056,37.8568,22453
Night Stalker,1.0978,41.8608,28406
Ursa,1.0315,38.3923,54839
Winter Wyvern,0.9207,42.7304,18832
Windranger,0.8839,43.3495,72266
Chaos Knight,0.8522,37.319,41172
Disruptor,0.8421,41.9036,27778
Rubick,0.8019,45.6176,42306
Enigma,0.7276,40.2636,30273
Underlord,0.6789,34.7033,18661
Nature's Prophet,0.5324,47.7459,37178
Morphling,0.4838,45.6584,27559
Tinker,0.4592,43.7469,46993
Keeper of the Light,0.441,43.1781,26928
Venomancer,0.4397,38.9527,47288
Viper,0.3835,40.0486,63660
Bane,0.3545,45.8899,17226
Death Prophet,0.2792,44.0706,21672
Juggernaut,0.2678,42.327,83247
Dazzle,0.1111,40.5757,25705
Spectre,0.0805,34.2098,45218
Enchantress,0.0709,46.9973,19516
Monkey King,0.062,44.3311,58645
Lion,-0.0181,43.7808,44636
Ember Spirit,-0.0289,43.6637,42612
Brewmaster,-0.0364,40.8747,12049
Puck,-0.0459,47.3367,31259
Sniper,-0.1689,39.2505,117769
Vengeful Spirit,-0.1779,38.1122,36605
Omniknight,-0.1786,36.358,29446
Bloodseeker,-0.1968,37.5953,108117
Ogre Magi,-0.2209,38.4705,46173
Chen,-0.2563,47.5066,8262
Doom,-0.3298,44.8199,22104
Lone Druid,-0.3511,50.2001,14237
Gyrocopter,-0.4479,43.7063,23079
Tusk,-0.5043,47.661,23237
Queen of Pain,-0.5122,45.7165,43621
Pugna,-0.5713,42.3749,28236
Terrorblade,-0.6032,41.0199,25512
Necrophos,-0.6276,33.9369,76701
Magnus,-0.6383,45.0965,34404
Phantom Lancer,-0.6929,38.1935,40732
Spirit Breaker,-0.7455,34.6161,74419
Phantom Assassin,-0.8186,36.6084,128309
Jakiro,-0.8303,36.4,31728
Centaur Warrunner,-0.8716,35.4936,26940
Troll Warlord,-0.9591,37.246,60240
Dragon Knight,-0.9682,39.4301,33903
Leshrac,-1.2277,43.3304,13884
Slark,-1.2426,42.1578,73073
Beastmaster,-1.2576,44.0614,11257
Meepo,-1.3128,43.9932,23665
Storm Spirit,-1.3352,41.1405,44647
Shadow Fiend,-1.3577,41.1917,73891
Lina,-1.3979,43.4022,59679
Razor,-1.6741,42.6944,27486
Batrider,-1.747,45.7776,14293
Sven,-1.8763,34.9652,93038
Timbersaw,-1.8946,42.3901,40257
Crystal Maiden,-1.9807,34.9357,62738
Bounty Hunter,-2.0471,39.8659,59379
Tiny,-2.0583,43.4733,36167
Dark Seer,-2.7189,40.5825,16411
Legion Commander,-2.7586,40.052,107570
Sand King,-3.0783,38.9215,52778
Kunkka,-3.1779,39.5651,68300
Earthshaker,-3.2186,36.8986,108481
Naga Siren,-3.375,43.358,13889
Slardar,-3.5767,36.8619,51663
Axe,-3.6826,35.1074,91804
Bristleback,-4.0394,38.2183,68106
Alchemist,-4.3514,41.8923,36737
