Tusk,4.3187,66.3176,573
Storm Spirit,3.9943,59.932,1767
Beastmaster,3.8756,61.4379,306
Huskar,3.2635,59.9812,1067
Meepo,3.1262,63.2829,463
Brewmaster,2.6436,60.8391,286
Skywrath Mage,2.6379,58.0381,734
Bane,2.5733,61.9753,405
Mirana,2.5688,56.6279,1720
Techies,2.5188,59.9601,502
Legion Commander,2.3573,58.0159,3518
Windranger,2.2398,59.6463,1923
Sniper,1.9956,55.189,3517
Faceless Void,1.8579,55.3235,1437
Luna,1.7877,52.9058,1996
Arc Warden,1.7087,63.1901,326
Magnus,1.4823,60.2964,1282
Morphling,1.4671,61.3138,822
Anti-Mage,1.3611,57.32,2418
Lina,1.3457,58.424,1929
Enchantress,1.3332,62.2047,508
Enigma,1.3043,54.0393,916
Clinkz,1.2346,56.6854,1062
Shadow Shaman,1.2021,52.0853,1031
Night Stalker,1.0285,54.3388,968
Weaver,0.7841,54.8188,1463
Phantom Lancer,0.6837,56.2719,853
Outworld Devourer,0.6807,55.6646,1324
Phantom Assassin,0.6479,50.7544,3844
Sand King,0.5769,55.7823,1470
Dragon Knight,0.5372,53.1346,973
Axe,0.537,52.4945,3227
Warlock,0.5316,52.7872,879
Batrider,0.3824,61.0389,385
Zeus,0.3299,48.0056,1404
Slark,0.329,57.8636,2537
Spirit Breaker,0.3093,49.2451,1921
Lich,0.2697,49.8591,710
Elder Titan,0.2675,53.5593,295
Gyrocopter,0.2405,57.8838,482
Doom,0.2263,60.5902,576
Ogre Magi,0.154,52.1659,1639
Monkey King,0.1175,61.9402,1206
Visage,0.1144,59.8984,197
Earthshaker,0.0278,53.0719,1709
Tiny,-0.0056,59.0762,931
Lone Druid,-0.032,63.8586,368
Troll Warlord,-0.1097,51.0152,1970
Nyx Assassin,-0.1383,54.054,1406
Spectre,-0.1493,48.2537,1718
Phoenix,-0.1514,54.8611,576
Tinker,-0.1623,57.2052,1603
Bounty Hunter,-0.1799,55.3272,1314
Pudge,-0.1829,53.0849,4295
Chaos Knight,-0.2807,51.3157,912
Kunkka,-0.3301,57.8378,1295
Ursa,-0.3684,50.505,1485
Rubick,-0.3799,58.2145,1333
Vengeful Spirit,-0.3823,51.211,1156
Shadow Fiend,-0.4408,53.8135,2832
Viper,-0.4724,52.1839,1305
Terrorblade,-0.5129,54.7479,853
Invoker,-0.5406,55.9047,3946
Clockwerk,-0.5476,51.4553,1065
Medusa,-0.6216,57.3932,913
Slardar,-0.6225,53.0168,2022
Razor,-0.7357,56.2281,859
Queen of Pain,-0.7573,58.8034,1170
Crystal Maiden,-0.7614,48.9837,2460
Bloodseeker,-0.7872,51.1494,2436
Dark Seer,-0.8053,55.3061,490
Riki,-0.9506,48.4157,2367
Pugna,-0.9583,55.7548,669
Drow Ranger,-0.9707,52.1164,1512
Bristleback,-1.0369,51.779,2951
Alchemist,-1.0381,60.0427,936
Ember Spirit,-1.0446,55.6135,1532
Winter Wyvern,-1.0704,56.2653,407
Timbersaw,-1.1466,56.3025,1309
Necrophos,-1.1752,46.7622,2023
Abaddon,-1.2483,47.6885,822
Nature's Prophet,-1.3349,61.3277,949
Silencer,-1.3374,49.3467,1684
Sven,-1.3637,48.1252,2107
Juggernaut,-1.5076,53.7739,2875
Oracle,-1.5795,62.8205,234
Lion,-1.6947,55.6504,1522
Jakiro,-1.7533,48.4304,892
Puck,-1.8376,59.2017,902
Templar Assassin,-1.9059,55.7286,1091
Omniknight,-1.9572,48.2724,1013
Naga Siren,-1.9904,59.5959,297
Earth Spirit,-2.0035,61.425,407
Tidehunter,-2.0763,52.114,1017
Undying,-2.315,51.1904,588
Venomancer,-2.3513,47.9202,1154
Underlord,-2.4421,46.68,497
Wraith King,-2.5776,46.4013,1834
Treant Protector,-2.6127,50.5952,840
Dazzle,-2.7019,51.282,702
Disruptor,-2.8275,51.6245,831
Death Prophet,-2.8395,53.3132,664
Broodmother,-3.0891,61.8461,325
Keeper of the Light,-3.2926,53.6392,632
Lifestealer,-3.3813,53.3734,1660
Leshrac,-3.6382,55.5555,306
Lycan,-4.0687,48.9837,492
Chen,-4.344,56.3535,181
Witch Doctor,-4.7122,49.4079,929
Ancient Apparition,-5.7274,47.9757,494
Io,-6.5033,62.3728,295
Shadow Demon,-7.3975,52.9032,310
