Bane,6.9034,64.8192,415
Leshrac,6.5253,64.4314,343
Arc Warden,4.834,64.7975,321
Lycan,4.6944,56.3088,531
Viper,4.0869,55.092,1630
Huskar,3.9543,59.1651,1653
Ursa,3.9033,53.0776,1982
Chen,3.7059,63.0434,184
Vengeful Spirit,3.5817,53.5519,1098
Undying,3.2901,55.2816,568
Skywrath Mage,2.8811,56.7105,760
Clockwerk,2.8793,53.2766,824
Pudge,2.8719,54.1841,4529
Enchantress,2.6974,62.1236,631
Visage,2.6521,60.9523,210
Wraith King,2.5746,49.7563,2257
Nyx Assassin,2.5403,55.0966,1138
Tusk,2.5295,62.9921,635
Alchemist,2.423,62.0017,1129
Earth Spirit,2.4078,64.2441,344
Morphling,2.392,60.6699,806
Faceless Void,2.3046,54.183,1530
Dark Seer,2.2723,56.8421,475
Broodmother,2.1858,65.7534,365
Pugna,2.1535,57.3015,630
Templar Assassin,2.1209,58.1749,1315
Drow Ranger,2.0997,53.5324,2109
Lone Druid,1.9813,64.4646,439
Bloodseeker,1.8585,52.0556,3089
Juggernaut,1.8145,55.2752,3251
Death Prophet,1.7234,56.3311,616
Spirit Breaker,1.7119,48.9888,2423
Lina,1.6771,57.1922,2023
Clinkz,1.6477,55.5375,1237
Shadow Shaman,1.6395,50.9242,1082
Witch Doctor,1.4018,53.926,866
Techies,1.3852,57.2847,604
Storm Spirit,1.3825,55.8426,1703
Phantom Assassin,1.3811,49.8878,5350
Luna,1.3154,50.8537,2167
Rubick,1.2746,58.2551,1066
Slardar,1.191,53.163,1723
Gyrocopter,1.1721,57.2953,562
Lifestealer,1.1391,56.211,1763
Winter Wyvern,0.9787,56.8134,477
Shadow Demon,0.7972,59.6226,265
Windranger,0.7697,56.6842,2087
Night Stalker,0.6918,52.4053,977
Tinker,0.6625,56.4534,1782
Disruptor,0.6407,53.4985,686
Io,0.575,68.0272,294
Sniper,0.5191,52.2982,4547
Slark,0.4889,56.4642,2800
Shadow Fiend,0.4784,53.0888,3027
Doom,0.4133,59.1943,571
Dazzle,0.3558,52.77,722
Tiny,0.353,57.9304,1179
Centaur Warrunner,0.29,48.6842,912
Mirana,0.1921,52.7426,1659
Anti-Mage,0.1236,54.5986,3077
Elder Titan,0.1178,51.8181,330
Puck,-0.0102,59.4257,801
Bounty Hunter,-0.0195,53.9189,1480
Keeper of the Light,-0.0859,55.2805,606
Zeus,-0.1454,45.9123,1529
Meepo,-0.1717,58.4717,602
Brewmaster,-0.1912,56.3694,314
Queen of Pain,-0.2518,57.7487,1226
Oracle,-0.2732,62.555,227
Silencer,-0.2886,48.7394,1428
Legion Commander,-0.3061,54.0546,4279
Ember Spirit,-0.3495,54.726,1661
Ogre Magi,-0.3522,50.0649,1540
Troll Warlord,-0.4337,49.1213,2447
Jakiro,-0.505,48.0746,857
Venomancer,-0.5308,48.118,983
Monkey King,-0.5615,59.7693,1474
Dragon Knight,-0.8362,50.1652,1210
Batrider,-0.8365,58.1661,349
Warlock,-0.8891,49.7512,804
Riki,-0.9119,46.8651,2855
Razor,-0.9767,54.3962,853
Nature's Prophet,-1.03,60.1123,1068
Ancient Apparition,-1.0977,51.0775,464
Omniknight,-1.2092,47.4038,1040
Beastmaster,-1.2775,54.5138,288
Treant Protector,-1.322,50.291,859
Underlord,-1.3322,46.2222,450
Weaver,-1.4787,51.0356,1738
Terrorblade,-1.587,52.092,956
Lion,-1.8074,53.963,1514
Invoker,-1.953,53.0894,4127
Spectre,-1.9707,44.8339,1626
Tidehunter,-2.1036,50.4629,864
Abaddon,-2.1229,45.1984,781
Bristleback,-2.4112,48.9223,3387
Outworld Devourer,-2.4536,50.9875,1367
Phantom Lancer,-2.7329,51.3675,1499
Sand King,-2.9251,50.7482,1470
Kunkka,-3.1075,53.5101,1282
Crystal Maiden,-3.2411,44.9673,2295
Enigma,-3.3142,47.826,989
Earthshaker,-3.3499,48.3348,3213
Lich,-3.3898,44.4893,989
Necrophos,-3.3912,42.9434,1821
Timbersaw,-3.874,52.0687,1571
Medusa,-3.9656,52.5462,1296
Axe,-4.3085,46.4933,3807
Magnus,-4.4363,52.8744,1235
Sven,-5.1801,43.1428,3850
Phoenix,-6.13,47.1953,517
Naga Siren,-6.3522,53.6992,419
