Tidehunter,15.4463,57.5715,14997
Visage,12.8245,57.2095,6859
Io,12.1645,68.4702,8871
Oracle,9.2297,61.2156,6482
Shadow Demon,6.9487,54.4594,7187
Winter Wyvern,5.6409,49.6998,9330
Warlock,5.071,46.0317,10962
Techies,4.9345,50.0587,8510
Earth Spirit,4.0615,54.8606,7643
Keeper of the Light,3.381,48.3637,12712
Ancient Apparition,3.0745,44.2004,11432
Spectre,2.969,39.4112,19804
Meepo,2.9502,50.4504,11544
Clockwerk,2.375,44.4966,13401
Underlord,2.3188,38.7899,8644
Skywrath Mage,2.265,45.1733,14679
Silencer,2.1529,42.0752,21540
Treant Protector,2.1522,44.9501,10327
Arc Warden,2.043,49.3135,7138
Timbersaw,2.0102,48.4859,16347
Riki,1.8202,39.779,33495
Storm Spirit,1.7455,46.4139,20524
Zeus,1.697,38.2807,21917
Morphling,1.6909,49.1168,12173
Necrophos,1.5698,38.3949,32348
Centaur Warrunner,1.5131,40.2534,11917
Monkey King,1.4697,47.9766,23945
Rubick,1.4152,48.4562,20631
Elder Titan,1.2734,43.0174,6416
Lich,1.2552,40.1861,13430
Abaddon,1.1947,40.3634,9630
Pudge,1.163,42.7363,66489
Omniknight,1.1508,40.0671,12806
Dazzle,1.1424,43.9373,11612
Lion,1.1165,47.1488,21290
Shadow Shaman,1.0114,40.7676,22405
Witch Doctor,0.9852,43.8324,15379
Puck,0.7246,50.3232,14538
Disruptor,0.7169,44.1157,12304
Dark Seer,0.6383,46.2506,7228
Dragon Knight,0.6379,43.3611,14144
Batrider,0.6261,50.3875,6708
Phoenix,0.5803,44.1909,8590
Tusk,0.3985,50.7865,10107
Nyx Assassin,0.3832,44.0087,16883
Broodmother,0.313,52.4933,8262
Invoker,0.1912,45.1353,58524
Wraith King,0.1482,38.6009,23559
Spirit Breaker,0.073,37.7903,30955
Queen of Pain,0.024,48.5014,18985
Windranger,-0.1442,44.7152,29784
Enchantress,-0.15,49.0264,9142
Brewmaster,-0.1894,43.0901,5579
Doom,-0.2193,47.2097,10483
Anti-Mage,-0.279,43.884,36781
Enigma,-0.3227,41.5979,14544
Ember Spirit,-0.4147,45.6083,17260
Templar Assassin,-0.5557,46.6727,15358
Mirana,-0.5568,41.9071,28797
Magnus,-0.5805,47.4238,15663
Undying,-0.6237,41.5856,8539
Bloodseeker,-0.6274,39.569,43064
Night Stalker,-0.6509,42.5055,11295
Ogre Magi,-0.6664,40.4242,22489
Juggernaut,-0.6805,43.7748,35742
Bane,-0.7351,47.0878,7692
Bounty Hunter,-0.7652,43.462,20687
Death Prophet,-0.795,45.3216,9234
Viper,-0.7969,41.2952,25262
Bristleback,-0.803,43.6044,26800
Tinker,-0.8435,44.7993,21382
Lina,-0.8596,46.2048,26244
Legion Commander,-0.8956,44.0597,43820
Pugna,-1.0163,44.2597,13536
Razor,-1.1126,45.5685,10606
Lifestealer,-1.1297,45.4273,17692
Crystal Maiden,-1.17,38.142,30743
Clinkz,-1.1709,42.5657,19760
Axe,-1.2717,39.6669,32846
Jakiro,-1.2997,38.3612,14499
Phantom Assassin,-1.3034,38.5684,55408
Outworld Devourer,-1.3156,43.5418,14354
Sand King,-1.3776,42.8976,21493
Weaver,-1.4239,40.8408,24642
Tiny,-1.4286,46.3876,14672
Earthshaker,-1.4721,40.8277,36027
Venomancer,-1.4954,39.4837,21153
Slark,-1.758,43.9914,31813
Shadow Fiend,-1.7883,43.1168,32456
Troll Warlord,-1.8652,38.7695,23699
Huskar,-1.8764,43.5214,18430
Naga Siren,-1.9367,47.0804,5994
Vengeful Spirit,-1.944,38.7998,16098
Sniper,-1.9696,40.0133,51088
Ursa,-1.9745,37.9176,21399
Faceless Void,-2.0878,40.6965,22884
Nature's Prophet,-2.1882,47.3292,19227
Sven,-2.1923,37.0168,33501
Gyrocopter,-2.2165,44.284,9281
Medusa,-2.2432,44.575,11484
Lycan,-2.3999,40.3319,9159
Leshrac,-2.5039,44.374,6790
Phantom Lancer,-2.6102,38.7233,16246
Drow Ranger,-2.6432,39.4449,25045
Slardar,-2.895,39.8786,19123
Chaos Knight,-2.9046,36.0921,17012
Terrorblade,-3.0046,41.0204,10368
Luna,-3.6051,38.0104,24367
Alchemist,-3.7173,44.8203,14721
Lone Druid,-4.3663,48.3995,6967
Beastmaster,-4.9536,42.676,5994
Kunkka,-7.8695,37.5655,33174
