Brewmaster,6.524,59.452,365
Earth Spirit,5.0771,63.3123,477
Oracle,4.5499,63.8225,293
Elder Titan,3.9005,51.7906,363
Ancient Apparition,3.8428,52.214,542
Disruptor,3.6625,52.6717,917
Chen,3.6471,59.3856,293
Keeper of the Light,3.4928,55.0758,857
Witch Doctor,3.2905,51.9357,1059
Dazzle,3.2566,51.8072,913
Underlord,3.2394,46.9348,522
Pugna,2.9926,54.3003,779
Visage,2.8432,57.317,246
Invoker,2.7869,53.4183,5251
Earthshaker,2.716,50.204,1960
Ember Spirit,2.6572,53.8046,1853
Undying,2.6517,50.7267,688
Treant Protector,2.52,50.2477,1009
Phoenix,2.4607,52.0312,640
Anti-Mage,2.3416,52.8002,3464
Abaddon,2.2608,45.6692,889
Magnus,2.252,55.6634,1545
Venomancer,2.1205,46.8167,1288
Sven,2.1033,45.8794,2803
Lycan,2.0804,49.7134,698
Kunkka,1.9906,54.7145,1559
Juggernaut,1.9814,51.5501,3806
Lich,1.9303,45.9613,879
Weaver,1.6231,50.1492,2345
Timbersaw,1.555,53.5398,1582
Shadow Fiend,1.4006,50.0552,3622
Omniknight,1.3646,46.0317,1197
Clockwerk,1.3455,47.8146,1144
Silencer,1.3249,46.4044,1780
Pudge,1.3136,48.917,5448
Rubick,1.2996,54.4561,1425
Bane,1.1823,55.1971,558
Lifestealer,1.0885,52.2776,1844
Storm Spirit,1.0183,51.6144,2137
Crystal Maiden,0.9219,45.0118,2957
Skywrath Mage,0.9029,50.8316,962
Alchemist,0.8704,56.6067,1279
Tidehunter,0.8704,49.5486,997
Enchantress,0.7198,56.25,704
Enigma,0.6997,47.9346,1041
Warlock,0.6359,47.3626,910
Puck,0.5208,56.1576,1015
Beastmaster,0.4542,52.4216,351
Luna,0.4009,46.0317,2394
Lion,0.2847,52.1545,2019
Spectre,0.2375,43.0372,1824
Death Prophet,0.2346,50.9386,799
Sand King,0.2033,49.9364,1574
Techies,0.1906,52.1923,707
Lina,0.1285,51.83,2377
Bristleback,-0.0471,47.1726,3307
Riki,-0.0581,43.7134,3587
Jakiro,-0.1204,44.5086,1038
Io,-0.1561,63.6597,388
Leshrac,-0.1724,53.6895,393
Monkey King,-0.2154,56.3034,1872
Troll Warlord,-0.2158,45.375,2746
Lone Druid,-0.2608,58.3333,492
Meepo,-0.2804,54.5569,790
Tiny,-0.3098,53.3799,1287
Night Stalker,-0.3981,47.3729,1161
Nyx Assassin,-0.4037,48.2892,1549
Ogre Magi,-0.4331,46.0618,2006
Dark Seer,-0.4557,50.176,568
Shadow Shaman,-0.5538,44.7772,1369
Queen of Pain,-0.5831,53.5829,1549
Zeus,-0.5841,41.4802,1878
Sniper,-0.5955,47.386,5069
Templar Assassin,-0.6438,51.5662,1660
Viper,-0.6726,46.4519,1832
Outworld Devourer,-0.7166,48.8025,1545
Razor,-0.7503,50.7448,1074
Slark,-0.8468,51.3375,3514
Windranger,-0.8798,51.2213,2702
Tinker,-0.9061,51.0548,2133
Necrophos,-0.9226,41.3675,2340
Bloodseeker,-0.9421,45.4861,3456
Mirana,-1.0763,47.6102,2176
Centaur Warrunner,-1.1132,43.3145,1062
Medusa,-1.1739,51.3796,1051
Drow Ranger,-1.3233,46.263,2395
Winter Wyvern,-1.339,50.5263,475
Batrider,-1.4207,53.7349,415
Gyrocopter,-1.5063,50.6666,675
Nature's Prophet,-1.5435,55.8172,1401
Huskar,-1.5603,49.7757,1784
Chaos Knight,-1.5844,44.4624,1237
Vengeful Spirit,-1.5891,44.4444,1476
Axe,-1.6145,44.9556,3608
Wraith King,-1.8648,41.4897,2497
Legion Commander,-2.0444,48.6039,4656
Tusk,-2.1039,54.4631,773
Doom,-2.1547,52.7131,645
Arc Warden,-2.2941,53.7444,454
Faceless Void,-2.3051,45.7142,1890
Bounty Hunter,-2.396,47.6906,2728
Phantom Lancer,-2.4427,47.6934,1344
Slardar,-2.6251,45.5536,2845
Terrorblade,-2.6255,47.118,1093
Dragon Knight,-2.6625,44.3697,1190
Ursa,-2.8049,42.5456,2247
Morphling,-2.9065,51.5123,1091
Phantom Assassin,-3.0125,42.0384,5514
Naga Siren,-3.2244,53.0303,462
Spirit Breaker,-3.7225,39.7645,2633
Broodmother,-5.2946,54.3103,464
Shadow Demon,-5.8277,49.0514,369
