Chaos Knight,2.742,55.0326,2295
Troll Warlord,2.5532,54.2098,5689
Lycan,2.0851,56.124,1290
Viper,1.5525,54.9546,3532
Brewmaster,1.4482,60.9939,664
Wraith King,1.3958,50.525,4952
Dazzle,1.2273,56.3122,2408
Chen,1.2235,64.2086,556
Necrophos,1.1728,49.1103,5508
Anti-Mage,1.1681,58.3059,7603
Leshrac,1.1124,62.0268,819
Phantom Lancer,1.0842,57.7383,2423
Slark,1.0193,59.9013,7903
Warlock,0.9105,53.9127,2543
Alchemist,0.7956,63.5995,2467
Templar Assassin,0.7814,59.7773,3324
Omniknight,0.7455,51.3764,2906
Faceless Void,0.7261,55.0497,3822
Phantom Assassin,0.7006,51.2312,11858
Dragon Knight,0.643,53.9479,2343
Centaur Warrunner,0.6306,51.0162,2460
Mirana,0.5756,55.6631,5368
Riki,0.5268,50.109,6879
Invoker,0.5262,58.0267,12801
Ursa,0.4902,51.8327,4065
Oracle,0.4668,67.4074,675
Legion Commander,0.4547,57.4151,10492
Sven,0.4493,50.1563,6077
Drow Ranger,0.3491,54.162,4505
Sand King,0.3069,56.6046,4088
Timbersaw,0.2445,59.0075,3708
Axe,0.2206,52.7902,8494
Skywrath Mage,-0.0087,56.4882,2204
Shadow Fiend,-0.0146,55.113,8713
Spirit Breaker,-0.0182,49.1243,5710
Naga Siren,-0.044,63.2627,803
Shadow Shaman,-0.0712,51.2624,3525
Weaver,-0.0904,54.8379,4320
Venomancer,-0.0948,50.5121,3124
Bloodseeker,-0.1013,52.3632,6728
Treant Protector,-0.1522,53.872,2673
Undying,-0.2193,54.1114,1508
Night Stalker,-0.2284,53.8264,2339
Monkey King,-0.2533,63.4201,3532
Windranger,-0.2916,58.5875,5933
Spectre,-0.2954,48.199,4442
Tiny,-0.3215,60.1897,2424
Ogre Magi,-0.3549,52.3051,6030
Earthshaker,-0.3887,53.418,5354
Storm Spirit,-0.4196,56.793,5064
Lich,-0.4603,49.3221,2139
Nature's Prophet,-0.4994,64.3157,3091
Shadow Demon,-0.5383,61.7136,922
Zeus,-0.5402,47.1425,4007
Disruptor,-0.6024,54.8826,2642
Gyrocopter,-0.7085,58.1138,1177
Bounty Hunter,-0.7143,55.8285,3989
Arc Warden,-0.7406,62.4856,869
Jakiro,-0.7451,49.6936,2938
Razor,-0.7677,57.3686,2151
Lone Druid,-0.7838,65.1282,975
Terrorblade,-0.8105,55.4096,2209
Huskar,-0.8485,56.9877,2855
Outworld Devourer,-0.8498,55.1258,3775
Slardar,-0.8955,53.5061,5362
Morphling,-0.9354,60.4349,2161
Dark Seer,-0.9588,56.3758,1490
Tidehunter,-0.9723,54.0507,2444
Tinker,-0.9831,57.6946,5023
Kunkka,-0.9889,58.6281,3703
Bristleback,-1.0135,52.4037,7738
Medusa,-1.0244,58.2238,2207
Elder Titan,-1.0544,52.9192,805
Keeper of the Light,-1.0698,57.2665,2195
Lion,-1.1482,57.6896,5774
Pudge,-1.1693,52.9753,14099
Sniper,-1.2263,53.0067,10593
Broodmother,-1.2813,65.6603,795
Bane,-1.3267,59.6698,1272
Juggernaut,-1.3824,54.8274,8897
Clockwerk,-1.4089,51.099,2957
Clinkz,-1.4275,54.9881,2957
Doom,-1.4518,60.4151,1397
Ember Spirit,-1.505,56.3015,4483
Enchantress,-1.5185,60.9824,1425
Nyx Assassin,-1.5343,53.5224,4159
Magnus,-1.5469,58.77,3740
Lifestealer,-1.5755,56.2278,4231
Visage,-1.6302,59.7517,564
Witch Doctor,-1.6315,53.3614,3079
Batrider,-1.6698,60.5449,991
Pugna,-1.6968,56.2186,1994
Meepo,-1.7108,59.9179,1462
Lina,-1.7633,56.6836,6097
Enigma,-1.9809,51.3415,2758
Queen of Pain,-2.1718,58.8996,3399
Silencer,-2.3536,48.5967,5416
Death Prophet,-2.5279,54.5573,1525
Luna,-2.5484,49.0676,5953
Ancient Apparition,-2.6483,51.7794,1433
Tusk,-2.9629,60.6472,1545
Techies,-3.0242,55.4285,1400
Phoenix,-3.1759,52.6346,1708
Winter Wyvern,-3.3318,55.1271,1219
Rubick,-3.377,56.8863,5068
Vengeful Spirit,-3.9816,47.872,3783
Puck,-4.2948,58.2598,2494
Earth Spirit,-5.9379,59.4166,1200
Abaddon,-6.3075,42.2334,2382
Io,-6.7644,64.9842,951
Underlord,-7.1666,41.2556,1561
Beastmaster,-16.7294,40.1459,959
