Templar Assassin,4.5942,56.1008,38593
Broodmother,2.6995,59.4174,16411
Treant Protector,2.4017,49.5403,25670
Terrorblade,2.3806,50.6736,25234
Phantom Lancer,2.3453,47.8329,38231
Tidehunter,2.1186,48.9735,30300
Chaos Knight,2.1079,45.2048,43805
Wraith King,2.062,44.6873,57410
Winter Wyvern,1.8723,50.3626,20545
Lifestealer,1.7542,52.5971,44702
Omniknight,1.7479,44.9172,34194
Venomancer,1.7216,46.8581,55318
Elder Titan,1.6129,47.6775,14338
Night Stalker,1.56,49.0071,30167
Meepo,1.4387,53.4088,23131
Io,1.4283,62.4847,13128
Dazzle,1.3543,48.4794,28575
Phantom Assassin,1.2076,45.0439,135250
Dragon Knight,1.2047,48.2459,33551
Visage,1.1653,50.0169,11786
Spectre,1.0724,41.8344,52311
Viper,0.9014,47.2154,65936
Underlord,0.8996,41.5954,20709
Naga Siren,0.8986,54.3609,12463
Necrophos,0.8644,42.0078,87355
Shadow Shaman,0.8256,44.8711,58278
Arc Warden,0.8141,52.5206,15651
Ogre Magi,0.8078,46.1262,59077
Shadow Fiend,0.7958,49.8716,80639
Storm Spirit,0.7905,49.8619,50327
Abaddon,0.7864,44.2256,23007
Spirit Breaker,0.6856,42.6166,78467
Lion,0.6848,51.1164,53427
Tusk,0.637,55.4972,24221
Sand King,0.6069,49.131,59150
Slark,0.5859,50.5412,77962
Puck,0.5266,54.5689,37197
Slardar,0.5245,47.4796,52077
Shadow Demon,0.5234,52.5268,14979
Riki,0.4688,42.7519,73337
Undying,0.463,46.973,20929
Beastmaster,0.4319,52.4777,11119
Lich,0.3637,43.5709,33162
Bane,0.3404,52.5837,17378
Centaur Warrunner,0.3321,43.3494,31223
Luna,0.3317,46.0431,58456
Silencer,0.3221,44.6208,62370
Brewmaster,0.3108,47.9311,11794
Razor,0.3042,51.3521,26957
Earth Spirit,0.2065,55.5396,16752
Juggernaut,0.1658,48.8902,94477
Ursa,0.1537,44.2241,52598
Faceless Void,0.1361,47.1306,60954
Warlock,0.1184,45.4643,26799
Vengeful Spirit,0.1025,45.065,39676
Mirana,-0.0193,46.7273,75641
Bounty Hunter,-0.0193,48.5276,47169
Tiny,-0.02,52.1691,34806
Monkey King,-0.0555,50.9173,58432
Magnus,-0.1361,52.2462,44629
Axe,-0.149,45.0066,84623
Medusa,-0.1704,50.9923,29273
Pudge,-0.2464,45.8512,165483
Jakiro,-0.2555,43.6369,36421
Nyx Assassin,-0.2563,47.722,45809
Rubick,-0.258,51.2147,61041
Morphling,-0.286,51.595,28683
Techies,-0.2864,49.2781,17870
Troll Warlord,-0.3488,44.4972,61615
Clockwerk,-0.4083,46.0913,38287
Earthshaker,-0.4116,46.1131,89712
Lycan,-0.4134,46.609,20702
Skywrath Mage,-0.4216,46.8872,35033
Disruptor,-0.4372,47.3124,36278
Crystal Maiden,-0.4451,43.0761,76258
Enchantress,-0.4944,53.14,18041
Ancient Apparition,-0.5856,44.9036,25214
Legion Commander,-0.5995,48.6754,108188
Zeus,-0.6071,40.3004,53059
Bristleback,-0.6116,48.1242,68161
Alchemist,-0.6614,52.2212,32077
Chen,-0.7164,53.7493,7228
Nature's Prophet,-0.7851,53.1649,36810
Windranger,-0.7896,48.4609,74658
Kunkka,-0.9382,48.353,76384
Tinker,-0.9609,49.0505,50870
Keeper of the Light,-0.9616,48.4842,28632
Witch Doctor,-0.9635,46.2584,37805
Phoenix,-0.9966,46.9647,21201
Pugna,-1.0071,48.6341,29872
Queen of Pain,-1.0176,51.904,48738
Outworld Devourer,-1.0753,48.1188,38673
Ember Spirit,-1.0966,49.3175,43370
Weaver,-1.1152,45.4383,61600
Death Prophet,-1.118,49.3788,21653
Huskar,-1.1402,48.587,42888
Batrider,-1.1788,53.0538,15407
Gyrocopter,-1.3403,49.5328,21087
Invoker,-1.3432,48.1507,147252
Timbersaw,-1.4598,49.5082,38737
Enigma,-1.5449,44.7042,35283
Lina,-1.5564,49.9276,65000
Drow Ranger,-1.5839,44.7431,61310
Sven,-1.6873,41.7417,82663
Doom,-1.7137,50.1439,23616
Leshrac,-1.7272,49.5444,13281
Clinkz,-1.8057,46.2795,43583
Anti-Mage,-2.0576,46.584,94790
Bloodseeker,-2.2563,42.3737,107248
Sniper,-2.3824,43.9312,121911
Lone Druid,-2.4096,54.8415,13446
Oracle,-2.8552,53.7538,16756
