Visage,8.6428,54.065,246
Broodmother,6.2787,59.8455,518
Lycan,6.2536,54.1044,536
Chen,5.3749,58.8571,175
Earth Spirit,5.3498,58.1395,473
Lone Druid,4.8481,59.8425,381
Phoenix,4.8451,50.3856,389
Io,4.6308,62.8482,323
Beastmaster,4.2029,54.7619,294
Weaver,3.731,47.3782,1602
Winter Wyvern,3.6897,48.0446,537
Centaur Warrunner,3.1543,42.6981,719
Riki,3.0801,43.0824,2219
Kunkka,3.0234,49.5882,1700
Enigma,2.9838,47.0205,923
Elder Titan,2.8611,45.8923,353
Meepo,2.7899,51.5109,728
Techies,2.6831,49.0875,548
Magnus,2.6689,52.6785,1232
Chaos Knight,2.6406,42.0256,1323
Omniknight,2.5591,43.0555,792
Oracle,2.3498,55.5214,326
Ember Spirit,2.1648,50.7407,1080
Mirana,2.0165,45.236,2330
Tidehunter,1.995,46.081,740
Dragon Knight,1.9598,46.5116,1075
Razor,1.8952,49.7084,686
Tinker,1.8718,49.1814,1527
Underlord,1.8062,39.0658,471
Clinkz,1.6862,47.3118,1395
Faceless Void,1.6741,46.2487,1946
Spectre,1.6002,38.8888,1368
Tiny,1.5662,49.4809,1156
Ogre Magi,1.5017,43.6349,1304
Vengeful Spirit,1.4852,43.376,936
Doom,1.428,50.6352,551
Undying,1.3789,44.1682,523
Bristleback,1.3718,46.9116,1959
Abaddon,1.341,41.6225,567
Earthshaker,1.2257,44.3275,3138
Disruptor,1.2128,45.3194,673
Zeus,1.1447,39.5997,1399
Storm Spirit,1.0709,47.8537,1258
Lina,1.0012,49.9267,1366
Rubick,0.9604,49.361,1252
Silencer,0.9279,42.0969,1259
Pugna,0.89,47.33,824
Ursa,0.8889,41.5273,1794
Arc Warden,0.8457,50.5102,392
Warlock,0.8178,42.4,500
Shadow Shaman,0.8079,41.6173,1521
Naga Siren,0.763,51.9402,335
Phantom Lancer,0.7419,44.4035,1358
Windranger,0.6921,45.7382,2147
Shadow Demon,0.6602,48.3695,368
Lion,0.6555,46.9934,1530
Jakiro,0.5692,41.7209,767
Sven,0.5334,41.9495,2975
Skywrath Mage,0.4785,44.0356,897
Death Prophet,0.2507,48.3108,592
Night Stalker,0.1779,44.7337,845
Queen of Pain,0.1216,50.6043,1241
Juggernaut,0.091,46.57,3105
Spirit Breaker,0.0875,38.7893,2065
Troll Warlord,0.0487,41.5509,2089
Invoker,0.0065,46.5615,4755
Templar Assassin,-0.0491,48.6457,923
Wraith King,-0.0627,38.3651,1835
Brewmaster,-0.0651,43.7308,327
Medusa,-0.1798,47.4477,862
Sniper,-0.2323,43.131,4433
Batrider,-0.2715,50.3875,387
Clockwerk,-0.3267,43.1034,696
Bane,-0.3435,47.9885,348
Legion Commander,-0.454,45.3521,3464
Enchantress,-0.4564,49.4824,483
Monkey King,-0.4759,46.6601,2051
Outworld Devourer,-0.5145,45.5428,1133
Tusk,-0.5435,51.4503,655
Nature's Prophet,-0.5882,51.0387,1444
Axe,-0.6287,41.2584,2511
Phantom Assassin,-0.7485,40.1927,4461
Bounty Hunter,-0.8273,45.6227,1405
Crystal Maiden,-0.8446,38.8451,1524
Necrophos,-0.8648,37.6752,3209
Luna,-0.8751,42.0924,1644
Keeper of the Light,-0.9684,44.8351,910
Nyx Assassin,-0.9962,43.6692,1161
Shadow Fiend,-1.0585,45.2495,2705
Viper,-1.0672,42.3484,2078
Puck,-1.0985,50.4123,970
Pudge,-1.1275,41.5927,4508
Slardar,-1.1645,42.5531,1551
Gyrocopter,-1.2612,46.351,507
Anti-Mage,-1.3699,43.9825,3440
Bloodseeker,-1.3824,40.4151,3276
Drow Ranger,-1.4597,42.0193,1654
Terrorblade,-1.6155,43.6507,756
Lich,-1.7394,38.8359,945
Venomancer,-1.8545,40.2507,1595
Sand King,-1.8811,43.3796,1367
Ancient Apparition,-2.0735,39.3719,2070
Treant Protector,-2.3625,42.1686,498
Leshrac,-2.7434,45.6953,302
Morphling,-2.8451,45.8788,1007
Witch Doctor,-2.9218,41.2911,821
Huskar,-2.9501,43.75,1472
Timbersaw,-3.1116,44.6459,1158
Lifestealer,-3.217,44.3074,1379
Dark Seer,-3.3654,43.8725,408
Dazzle,-3.4502,40.9282,711
Slark,-3.8456,43.0316,2210
