Huskar,3.9928,58.0901,52014
Necrophos,3.1816,49.0726,128214
Dazzle,3.1234,55.2112,33754
Bristleback,2.8425,56.1852,54064
Alchemist,2.0608,60.2141,86742
Omniknight,1.9052,49.7757,29878
Axe,1.7126,51.2496,68580
Morphling,1.3972,57.1622,46494
Dragon Knight,1.2297,53.3765,27928
Slark,1.2212,55.6587,62982
Timbersaw,1.2064,57.0043,31152
Undying,1.1799,51.9936,18208
Dark Seer,1.0959,56.1696,12683
Sand King,1.0844,54.1865,45360
Warlock,1.0531,50.9597,19327
Monkey King,0.8984,55.7064,63691
Witch Doctor,0.8533,52.9362,33206
Lifestealer,0.8343,56.2283,36069
Death Prophet,0.8027,56.5224,18375
Winter Wyvern,0.7593,53.3696,20032
Crystal Maiden,0.5412,48.4814,58575
Legion Commander,0.5232,54.187,87700
Disruptor,0.4339,53.0431,31563
Tidehunter,0.3902,51.9674,24296
Slardar,0.3811,51.7996,40369
Lich,0.3518,48.4823,38645
Venomancer,0.2453,50.4007,58509
Underlord,0.2117,46.3113,16754
Treant Protector,0.1899,52.0099,18160
Sven,0.161,49.4198,66022
Shadow Fiend,0.1396,54.2524,68266
Abaddon,0.1206,48.0141,23970
Gyrocopter,0.1007,55.6969,14613
Jakiro,0.093,49.0422,32001
Techies,0.0569,53.8552,14357
Bloodseeker,0.0563,49.0904,93346
Pugna,0.0461,54.0602,30355
Doom,0.0031,56.3319,20665
Medusa,-0.037,55.973,24192
Troll Warlord,-0.0826,49.6046,51602
Keeper of the Light,-0.097,53.6488,33641
Pudge,-0.113,50.3585,147381
Invoker,-0.1163,54.0853,123050
Spectre,-0.1233,44.942,42735
Earthshaker,-0.1374,51.0589,101138
Enigma,-0.1931,50.9304,25633
Outworld Devourer,-0.2601,53.8668,30141
Phoenix,-0.2607,52.5691,17613
Elder Titan,-0.2633,50.7939,10769
Chen,-0.3042,59.2651,5688
Oracle,-0.3985,60.5927,15284
Tiny,-0.4303,55.4256,31655
Ursa,-0.4322,48.2724,40346
Kunkka,-0.4353,53.7312,57326
Ogre Magi,-0.4661,49.7517,48131
Shadow Shaman,-0.5041,48.1759,54276
Wraith King,-0.5187,45.7637,48958
Faceless Void,-0.5298,52.0809,56873
Sniper,-0.5433,50.4609,109128
Bane,-0.5675,55.3316,14339
Razor,-0.5795,55.1502,17572
Clockwerk,-0.6328,50.5021,28478
Mirana,-0.654,50.6552,76691
Lina,-0.6713,55.9863,45520
Terrorblade,-0.6788,52.2825,20460
Rubick,-0.6865,55.5116,52652
Viper,-0.6922,50.3761,60618
Tusk,-0.7146,58.7675,19441
Lion,-0.7552,53.8031,50958
Spirit Breaker,-0.8149,45.762,68535
Vengeful Spirit,-0.8338,48.8775,30693
Windranger,-0.8517,51.9289,67600
Enchantress,-0.8667,57.0713,14976
Centaur Warrunner,-0.8689,46.4058,24693
Batrider,-0.8925,58.4601,12352
Magnus,-0.9257,56.515,32993
Puck,-0.9334,58.4679,28053
Juggernaut,-0.943,53.2294,79642
Drow Ranger,-0.965,49.7818,42634
Luna,-0.9793,49.7014,41703
Io,-0.9823,64.4666,10818
Queen of Pain,-1.0405,56.8582,37801
Shadow Demon,-1.0426,55.2687,13096
Tinker,-1.0456,53.9472,40573
Nyx Assassin,-1.0458,51.5138,41022
Silencer,-1.058,48.0726,51963
Bounty Hunter,-1.0653,52.1299,39649
Night Stalker,-1.095,51.4689,24677
Leshrac,-1.1816,55.074,10130
Riki,-1.1844,46.4257,61005
Phantom Assassin,-1.1889,47.4197,107449
Zeus,-1.2145,44.4246,47629
Skywrath Mage,-1.2235,49.9628,32306
Meepo,-1.3419,55.4344,17978
Templar Assassin,-1.3855,55.3312,26054
Naga Siren,-1.7103,56.5464,8982
Chaos Knight,-1.7319,45.4084,32908
Ember Spirit,-1.7398,54.164,33393
Earth Spirit,-1.8297,57.8185,18373
Weaver,-1.8437,49.4167,48435
Visage,-2.2262,50.3489,9170
Storm Spirit,-2.2633,52.043,37248
Lone Druid,-2.311,60.3405,10512
Nature's Prophet,-2.4472,56.4791,40314
Phantom Lancer,-2.4956,48.4038,33173
Lycan,-2.5741,52.0287,13629
Brewmaster,-2.5794,49.355,9458
Broodmother,-2.6388,58.22,13607
Arc Warden,-2.8671,53.5917,13336
Clinkz,-3.5533,49.3545,36021
Beastmaster,-4.1098,53.3783,9043
Anti-Mage,-5.3286,47.684,82061
