Zeus,5.677,47.6865,194453
Wraith King,5.2933,47.7841,270596
Clockwerk,5.2615,53.9166,81754
Ancient Apparition,4.9787,52.3159,82061
Spectre,4.3975,45.5925,175908
Abaddon,3.9234,48.8002,61598
Venomancer,3.2976,50.5607,183674
Phoenix,3.2206,53.6968,50502
Undying,3.1974,51.345,53491
Underlord,3.1542,45.9139,49571
Lich,2.8652,47.8205,120766
Pugna,2.8151,54.6267,96460
Necrophos,2.6011,44.8785,398678
Phantom Lancer,2.6003,50.6872,153512
Techies,2.5969,54.2699,65375
Storm Spirit,2.5015,54.767,178348
Winter Wyvern,2.4189,52.5803,62647
Sniper,2.1353,50.066,529560
Tinker,2.0667,55.0185,181246
Medusa,2.0436,56.5453,118977
Slark,1.9782,54.2778,264609
Morphling,1.9226,55.8711,130520
Elder Titan,1.7214,50.0481,35282
Weaver,1.6034,50.0028,190837
Tidehunter,1.5889,50.4749,77799
Brewmaster,1.5831,50.9558,31282
Jakiro,1.4889,47.2899,105238
Dark Seer,1.4626,54.4207,43443
Faceless Void,1.4388,51.4652,255489
Warlock,1.3616,48.2963,59694
Pudge,1.3271,48.6693,561620
Juggernaut,1.2353,52.9901,376204
Silencer,1.2298,47.059,195841
Ember Spirit,1.2064,55.085,119221
Chaos Knight,1.1831,44.7706,141758
Skywrath Mage,1.1794,49.5308,125013
Arc Warden,1.131,55.7503,47067
Sand King,1.0727,51.7045,158433
Bounty Hunter,0.9776,51.6581,149144
Bristleback,0.9527,51.9305,205534
Viper,0.9297,49.0956,236972
Nyx Assassin,0.8962,50.8276,128011
Mirana,0.853,49.2458,297804
Centaur Warrunner,0.8487,44.7087,79915
Keeper of the Light,0.7373,52.0962,114897
Enigma,0.7022,48.9602,103868
Nature's Prophet,0.5605,57.977,150658
Leshrac,0.5371,54.8368,35912
Visage,0.5322,50.5342,28357
Ogre Magi,0.5253,47.6772,168227
Razor,0.4859,54.0923,64290
Witch Doctor,0.4466,49.8241,107753
Omniknight,0.3511,44.8463,91546
Lifestealer,0.2792,53.5184,133296
Doom,0.2026,54.5486,71417
Invoker,0.1504,51.9473,611384
Gyrocopter,0.1283,53.5618,53301
Vengeful Spirit,0.0063,46.5653,106504
Treant Protector,-0.1317,48.8833,60360
Death Prophet,-0.136,53.4513,70088
Naga Siren,-0.2676,56.3243,34541
Luna,-0.2716,47.3663,181101
Queen of Pain,-0.356,55.8449,151396
Tusk,-0.4303,57.504,69369
Crystal Maiden,-0.4767,43.9591,208655
Earthshaker,-0.4781,47.8073,372405
Timbersaw,-0.4782,53.1526,107464
Dazzle,-0.541,48.7407,84970
Oracle,-0.5451,58.7549,33604
Disruptor,-0.6278,49.26,111557
Riki,-0.6289,43.3546,266569
Dragon Knight,-0.6516,48.7279,107382
Puck,-0.6678,57.2878,108784
Ursa,-0.6766,44.7043,155721
Beastmaster,-0.7124,54.8476,27560
Shadow Fiend,-0.7351,50.9971,298562
Batrider,-0.7875,56.9009,40400
Magnus,-0.8041,54.7814,126488
Windranger,-0.8329,49.2543,267469
Kunkka,-0.8487,50.878,199133
Alchemist,-0.8887,55.4066,131921
Night Stalker,-0.8964,48.926,85895
Spirit Breaker,-0.9142,41.9166,277572
Rubick,-0.9664,53.1472,175898
Bane,-1.0131,52.6748,47759
Lion,-1.0946,51.0941,199976
Lycan,-1.1201,51.0828,50929
Shadow Shaman,-1.1448,44.0687,206895
Lina,-1.2577,53.372,174331
Sven,-1.261,44.7091,357468
Enchantress,-1.2735,54.7546,52832
Earth Spirit,-1.2745,56.8878,64418
Chen,-1.3014,56.5593,18264
Axe,-1.6441,44.7872,306011
Slardar,-1.8996,46.5388,167937
Shadow Demon,-1.9217,52.3024,50120
Bloodseeker,-1.9771,43.6452,591712
Clinkz,-2.064,48.0398,156110
Drow Ranger,-2.1407,45.4446,212353
Monkey King,-2.2019,50.3241,252469
Huskar,-2.2606,49.4131,160508
Broodmother,-2.3943,56.8761,45912
Tiny,-2.578,50.9893,123267
Terrorblade,-2.755,47.3164,95341
Troll Warlord,-2.7578,43.591,234601
Templar Assassin,-2.8164,51.757,107025
Lone Druid,-2.9794,58.4746,38497
Outworld Devourer,-3.1753,48.3224,128375
Io,-3.181,61.2302,31847
Phantom Assassin,-3.5536,41.8405,572270
Legion Commander,-3.6975,47.6123,480829
Meepo,-6.9716,47.3003,85568
