Venomancer,3.9399,47.5888,28866
Silencer,3.0527,45.7314,24036
Ancient Apparition,2.7722,46.4082,13336
Techies,2.4405,49.8226,9020
Necrophos,2.0206,41.7163,54535
Outworld Devourer,1.9653,49.6294,16464
Rubick,1.9055,51.5385,23691
Shadow Shaman,1.8577,44.1436,28482
Disruptor,1.7976,47.9715,15603
Keeper of the Light,1.7869,49.0602,17132
Mirana,1.7867,46.5763,40600
Viper,1.6747,46.2769,33816
Phoenix,1.5213,47.932,9236
Lich,1.5193,43.3334,20333
Earthshaker,1.4851,46.176,52772
Winter Wyvern,1.3471,47.5384,9872
Sniper,1.322,45.7908,64847
Invoker,1.2121,48.7934,73475
Shadow Fiend,1.1274,48.7562,38795
Skywrath Mage,1.1067,45.9006,17649
Clockwerk,1.085,45.8422,13998
Crystal Maiden,1.0207,42.6545,30257
Lion,0.9946,49.0551,26566
Earth Spirit,0.96,54.023,10477
Sven,0.9552,43.872,39059
Ogre Magi,0.9502,44.7893,23874
Underlord,0.8977,40.7706,8798
Windranger,0.8086,47.1012,38931
Dazzle,0.6942,46.3755,13671
Pudge,0.6786,44.6987,73832
Tinker,0.6596,49.1613,24385
Warlock,0.5842,44.1512,9968
Jakiro,0.579,43.2169,16475
Puck,0.5767,53.4025,15694
Templar Assassin,0.544,50.7629,15598
Drow Ranger,0.4507,44.8225,27504
Enigma,0.385,45.1485,14645
Enchantress,0.3562,51.7824,8808
Io,0.2248,58.9061,6052
Ember Spirit,0.2197,49.6268,18087
Death Prophet,0.14,49.3952,10335
Spectre,0.1225,38.9769,22013
Zeus,0.1094,39.4909,25773
Medusa,0.0919,49.6274,13688
Witch Doctor,0.0546,45.7599,16910
Undying,0.0258,44.4734,9581
Vengeful Spirit,-0.0056,43.3775,17320
Morphling,-0.0244,49.2082,17745
Oracle,-0.033,54.1403,6171
Luna,-0.0546,44.271,25371
Slardar,-0.1403,44.9393,21756
Queen of Pain,-0.1559,51.211,21263
Pugna,-0.1566,47.4197,15289
Axe,-0.1572,43.1761,36138
Shadow Demon,-0.1826,49.6322,7070
Kunkka,-0.191,47.5333,30669
Ursa,-0.2167,42.1995,24050
Sand King,-0.2196,46.5099,23739
Monkey King,-0.2413,48.1807,35701
Night Stalker,-0.2453,45.9267,14055
Timbersaw,-0.2486,49.0926,17137
Nyx Assassin,-0.2756,45.878,19772
Lina,-0.2922,49.8709,25562
Visage,-0.3497,45.8561,5478
Elder Titan,-0.3707,44.324,6369
Troll Warlord,-0.4052,42.9941,30967
Tidehunter,-0.4063,44.8087,12810
Doom,-0.4521,49.3758,11295
Bane,-0.4718,48.9422,7989
Faceless Void,-0.5019,45.7276,31950
Nature's Prophet,-0.5073,51.8294,23176
Wraith King,-0.515,39.5461,27894
Magnus,-0.5269,50.4049,19016
Bloodseeker,-0.5272,42.2665,49997
Dragon Knight,-0.5574,45.2368,15578
Tiny,-0.6212,48.7801,18936
Omniknight,-0.6592,40.959,14556
Gyrocopter,-0.6692,48.4692,9505
Treant Protector,-0.7261,44.7131,10422
Juggernaut,-0.7658,46.9948,44441
Bristleback,-0.7759,46.3162,27798
Terrorblade,-0.8744,45.6945,12275
Clinkz,-1.0327,45.4576,23259
Tusk,-1.0737,51.8587,11271
Centaur Warrunner,-1.24,39.7932,13158
Bounty Hunter,-1.3025,45.5162,22526
Razor,-1.4107,47.877,10740
Legion Commander,-1.4518,45.9825,47866
Spirit Breaker,-1.4544,38.9379,37475
Weaver,-1.4546,43.4637,27508
Abaddon,-1.4968,40.1533,10176
Batrider,-1.5598,51.2264,7012
Huskar,-1.6851,46.1416,22082
Chen,-1.7132,51.2624,3406
Brewmaster,-1.7547,43.8314,5601
Dark Seer,-1.8607,46.7287,7199
Riki,-2.0986,39.3246,34294
Alchemist,-2.1148,49.3729,17862
Lifestealer,-2.1558,46.8584,19815
Lone Druid,-2.1662,53.8967,6839
Storm Spirit,-2.1693,45.7358,20168
Phantom Assassin,-2.1732,40.3101,61255
Anti-Mage,-2.2021,44.2496,47067
Leshrac,-2.7302,47.0457,6296
Chaos Knight,-2.9131,38.0254,18911
Beastmaster,-2.9271,48.0851,5170
Slark,-3.4161,44.844,33418
Lycan,-3.7695,44.4307,8951
Meepo,-4.2323,46.1112,11199
Naga Siren,-4.3825,47.3752,6153
Phantom Lancer,-4.8714,39.7971,20705
Broodmother,-6.1304,48.1846,9144
