Phantom Lancer,4.681,56.3591,148134
Chaos Knight,3.2388,50.4576,146071
Visage,2.5187,56.0289,23097
Terrorblade,2.4977,56.4367,64233
Phantom Assassin,2.4825,51.0849,553521
Troll Warlord,2.1918,52.302,200187
Anti-Mage,1.8535,55.2127,306011
Beastmaster,1.5245,60.5069,23789
Meepo,1.4429,59.9207,74465
Windranger,1.3922,54.9077,217576
Weaver,1.3588,53.1846,165074
Omniknight,1.1311,49.1952,85736
Mirana,1.1089,52.9426,224118
Brewmaster,1.0894,53.8267,28601
Clinkz,1.0859,54.8002,136826
Naga Siren,1.0303,60.848,28088
Faceless Void,0.9427,54.2878,172652
Broodmother,0.9202,63.9728,47070
Winter Wyvern,0.8389,54.2246,51709
Dazzle,0.7873,53.8799,132103
Vengeful Spirit,0.7444,50.8651,88422
Nyx Assassin,0.6769,53.9622,104764
Riki,0.6208,48.2674,224122
Rubick,0.558,57.8227,118533
Templar Assassin,0.4131,58.4799,89246
Drow Ranger,0.3406,51.5874,170778
Juggernaut,0.3006,55.397,318129
Bloodseeker,0.2841,49.6147,369644
Spirit Breaker,0.2801,46.7399,258537
Bounty Hunter,0.2715,54.276,128040
Centaur Warrunner,0.2436,47.5391,78855
Huskar,0.2269,55.5335,164425
Earthshaker,0.1913,51.925,318929
Sven,0.1707,49.7701,312209
Shadow Fiend,0.1548,55.2309,242469
Storm Spirit,0.1317,55.3883,120305
Lycan,0.1223,55.7869,44756
Lina,0.0583,57.9747,143314
Crystal Maiden,0.0198,48.111,166043
Luna,0.0185,51.1761,153212
Slark,-0.0778,55.4521,215788
Sniper,-0.1073,51.4134,454117
Night Stalker,-0.1598,53.1324,74350
Slardar,-0.2001,51.8316,151120
Ogre Magi,-0.21,50.4112,142857
Morphling,-0.2881,56.5024,86037
Legion Commander,-0.3014,54.3502,360026
Shadow Shaman,-0.3275,48.5425,167420
Tidehunter,-0.3765,51.8007,78607
Lion,-0.3866,55.1469,157869
Underlord,-0.3943,45.6023,45377
Dragon Knight,-0.4221,52.4515,110807
Bane,-0.4598,56.4829,37020
Dark Seer,-0.5118,55.5271,35262
Sand King,-0.5488,53.3783,137125
Enchantress,-0.6509,58.6786,46211
Chen,-0.6525,60.3669,14990
Nature's Prophet,-0.6721,59.7143,118747
Tinker,-0.692,55.2947,132745
Queen of Pain,-0.7068,58.5605,117212
Treant Protector,-0.7449,51.655,50934
Alchemist,-0.7536,58.6974,107020
Techies,-0.7537,53.9187,51917
Arc Warden,-0.7651,56.8238,36138
Bristleback,-0.7656,53.6606,239891
Ursa,-0.8148,48.0292,165622
Viper,-0.8507,50.7432,252138
Lich,-0.8509,47.4042,105402
Gyrocopter,-0.8768,55.762,45409
Tiny,-0.883,56.1287,108146
Puck,-0.925,59.9766,82212
Keeper of the Light,-0.9562,53.5776,84162
Enigma,-1.0041,50.6109,84132
Magnus,-1.0287,57.7736,107639
Disruptor,-1.0659,52.1935,77500
Pudge,-1.0735,49.9347,489635
Tusk,-1.0804,59.9592,59362
Kunkka,-1.1095,53.9539,165213
Silencer,-1.1915,48.146,142587
Oracle,-1.2381,61.1257,28834
Earth Spirit,-1.2413,59.8185,46738
Abaddon,-1.2731,46.6343,60732
Zeus,-1.3436,43.9975,166075
Invoker,-1.3522,53.8524,425695
Elder Titan,-1.3711,50.1236,31951
Skywrath Mage,-1.3945,50.2583,94241
Wraith King,-1.4108,44.6347,202797
Spectre,-1.4194,43.3302,128303
Clockwerk,-1.422,50.1687,72593
Razor,-1.4469,55.3536,59044
Undying,-1.5289,49.6634,53039
Jakiro,-1.5388,47.5748,93829
Medusa,-1.5394,55.5313,72984
Lone Druid,-1.5529,62.9608,30897
Ancient Apparition,-1.5677,48.7503,68580
Necrophos,-1.5803,44.4578,336305
Ember Spirit,-1.6189,55.391,106602
Warlock,-1.6496,48.5292,52016
Shadow Demon,-1.6743,55.692,34829
Leshrac,-1.6803,55.5978,27868
Witch Doctor,-1.719,50.9507,98234
Monkey King,-1.7676,54.1145,211045
Lifestealer,-2.0361,54.4739,130521
Io,-2.2514,65.1315,26230
Doom,-2.3524,54.9981,56931
Pugna,-2.5136,52.2385,79135
Outworld Devourer,-2.5829,52.3778,104592
Death Prophet,-2.936,53.797,64827
Batrider,-2.9797,57.6585,33492
Phoenix,-3.1469,50.1955,43715
Timbersaw,-3.1537,53.7351,108510
Venomancer,-3.2216,47.2479,157302
