Techies,2.3772,50.3445,9143
Io,2.0021,61.285,6101
Oracle,1.8986,56.6799,6759
Troll Warlord,1.6899,45.5631,32219
Timbersaw,1.2918,51.1927,16475
Lich,1.2606,43.6617,20755
Invoker,1.2406,49.4662,66225
Chen,0.953,54.5505,3560
Lifestealer,0.9491,50.4513,22156
Keeper of the Light,0.935,48.8141,16655
Legion Commander,0.9099,48.7086,51381
Phantom Assassin,0.9072,43.6364,68335
Shadow Fiend,0.85,49.0929,37649
Disruptor,0.7687,47.5408,16571
Nyx Assassin,0.7341,47.4424,20606
Abaddon,0.711,42.9165,11548
Clinkz,0.7012,47.7136,24471
Dark Seer,0.6983,49.8761,7671
Lion,0.6059,49.2663,27260
Storm Spirit,0.6039,49.0138,20890
Skywrath Mage,0.5925,45.9764,18988
Juggernaut,0.5855,48.8275,44350
Ember Spirit,0.5563,50.5435,18030
Shadow Demon,0.5555,50.959,7612
Bounty Hunter,0.5345,47.8747,23315
Weaver,0.5232,45.9362,28988
Anti-Mage,0.5224,47.3251,47759
Windranger,0.5141,47.4017,42182
Arc Warden,0.471,51.0577,7989
Tinker,0.458,49.5635,22799
Ancient Apparition,0.4244,44.6683,14339
Winter Wyvern,0.4093,47.1885,10155
Treant Protector,0.4048,46.4208,10687
Dazzle,0.4037,46.6675,14929
Ogre Magi,0.3881,44.8267,25545
Doom,0.3671,50.7746,11683
Templar Assassin,0.357,51.1648,16011
Slark,0.3467,48.9755,34897
Faceless Void,0.3338,47.1037,32180
Rubick,0.3286,50.5922,25919
Morphling,0.2646,50.0786,17796
Night Stalker,0.2582,47.0046,14773
Necrophos,0.1944,40.6334,54022
Queen of Pain,0.1944,52.1397,21498
Crystal Maiden,0.1693,42.4275,32453
Phoenix,0.1646,47.1621,9620
Omniknight,0.1525,42.3333,16037
Tidehunter,0.1489,45.9363,13793
Magnus,0.1368,51.6456,18321
Jakiro,0.1284,43.3541,17334
Riki,0.1062,41.9805,35495
Enchantress,0.0974,52.1125,9633
Ursa,0.0863,43.0728,26620
Puck,0.0718,53.4973,15526
Lina,0.0591,50.7947,26109
Bristleback,0.0015,47.6367,29578
Pugna,-0.0219,48.1347,15976
Kunkka,-0.0227,48.2807,30594
Shadow Shaman,-0.0418,42.9108,29806
Batrider,-0.0681,53.3103,7250
Centaur Warrunner,-0.0748,41.5219,13588
Mirana,-0.1341,45.372,38808
Earth Spirit,-0.1385,53.5169,9696
Tusk,-0.1569,53.3565,11798
Silencer,-0.2038,43.1776,27505
Monkey King,-0.2165,48.7959,34925
Viper,-0.2533,45.0403,35164
Enigma,-0.2632,45.0923,14885
Pudge,-0.2693,44.4609,74607
Wraith King,-0.3005,40.3334,29509
Lycan,-0.3186,48.4596,9154
Spectre,-0.3547,39.086,21074
Underlord,-0.3684,40.0881,8853
Brewmaster,-0.3885,45.7821,6105
Axe,-0.4114,43.517,37020
Sven,-0.4215,43.1759,41764
Witch Doctor,-0.4318,45.8623,18549
Zeus,-0.4844,39.4971,26250
Vengeful Spirit,-0.4988,43.4739,18296
Dragon Knight,-0.518,45.8569,16063
Earthshaker,-0.529,44.9298,49486
Alchemist,-0.5923,51.4484,17985
Tiny,-0.6198,49.3662,19408
Lone Druid,-0.6242,56.0302,6741
Huskar,-0.6925,47.6804,23970
Venomancer,-0.6978,43.7406,28070
Razor,-0.711,49.1549,11775
Clockwerk,-0.7181,44.6449,14631
Outworld Devourer,-0.7437,47.5592,16737
Gyrocopter,-0.7463,48.9783,9592
Visage,-0.7471,46.0383,5793
Slardar,-0.8273,44.8557,21451
Broodmother,-0.8537,54.0425,8893
Warlock,-0.9023,43.2495,10740
Nature's Prophet,-0.9213,52.0197,23245
Medusa,-0.9349,49.1991,14173
Spirit Breaker,-0.9367,40.0177,40597
Bloodseeker,-0.9637,42.4645,53852
Leshrac,-1.0464,49.3233,6650
Drow Ranger,-1.1422,43.878,27328
Sniper,-1.1942,44.1512,63219
Elder Titan,-1.3055,43.9712,6270
Undying,-1.3704,43.6618,10208
Sand King,-1.472,45.8842,23908
Luna,-1.6042,43.3596,24705
Meepo,-1.6974,49.2111,10205
Naga Siren,-1.9517,50.4021,5968
Death Prophet,-2.2209,47.6351,10973
Terrorblade,-2.2296,44.9368,12028
Beastmaster,-3.0777,48.5232,5688
Phantom Lancer,-3.1652,42.0318,20858
Chaos Knight,-3.2935,38.2314,19259
