Underlord,1.9894,48.6884,60918
Weaver,1.8727,54.6512,231294
Centaur Warrunner,1.7578,49.7984,98232
Anti-Mage,1.6961,56.3546,591715
Omniknight,1.6467,50.3825,114355
Tidehunter,1.4318,54.6156,93660
Spectre,1.2836,46.6228,163452
Silencer,1.2432,51.3902,184208
Undying,1.1846,53.4319,65736
Riki,1.1407,49.3166,341712
Lich,1.1092,50.1093,140876
Abaddon,0.9763,49.6554,83598
Timbersaw,0.8633,59.0698,124732
Jakiro,0.7835,50.7449,119007
Necrophos,0.6835,47.1179,441441
Dark Seer,0.6798,57.9738,47963
Night Stalker,0.5991,54.8993,99196
Disruptor,0.5332,54.8408,105983
Phoenix,0.5167,55.1109,60634
Phantom Lancer,0.3774,52.6201,177506
Mirana,0.3126,52.9855,306123
Drow Ranger,0.3108,52.3634,221712
Sand King,0.2828,55.2326,180330
Vengeful Spirit,0.2514,51.0722,115413
Slark,0.2471,57.156,346469
Crystal Maiden,0.2069,48.8879,226612
Clinkz,0.1623,54.8258,184588
Venomancer,0.0784,51.4108,208993
Phantom Assassin,0.0674,49.4725,597261
Razor,0.0451,58.1953,81467
Spirit Breaker,0.0366,46.9171,357899
Elder Titan,-0.0148,52.4114,41531
Enigma,-0.0293,52.4778,111971
Lycan,-0.0713,56.8286,66331
Treant Protector,-0.0763,53.2686,71864
Invoker,-0.1002,56.0434,570258
Zeus,-0.1191,45.691,213092
Warlock,-0.1669,50.8481,68559
Ogre Magi,-0.1747,51.1972,183090
Ancient Apparition,-0.2201,50.9095,93346
Dazzle,-0.2223,53.4243,105435
Witch Doctor,-0.2235,53.4182,125341
Bristleback,-0.2255,55.1639,272234
Kunkka,-0.2325,55.8833,216535
Earthshaker,-0.2509,52.2933,400785
Windranger,-0.2963,54.1937,318823
Faceless Void,-0.3079,53.9506,243810
Axe,-0.3134,50.3849,369646
Bounty Hunter,-0.3971,54.6042,185537
Shadow Shaman,-0.4129,49.0672,227973
Viper,-0.4194,51.9831,308531
Ursa,-0.458,49.0075,219662
Keeper of the Light,-0.4694,55.1103,117722
Skywrath Mage,-0.4774,52.0435,131240
Outworld Devourer,-0.4866,55.6347,134531
Terrorblade,-0.4943,54.1684,84156
Slardar,-0.53,52.2857,174078
Shadow Demon,-0.5845,58.0363,45985
Luna,-0.5928,51.3058,194705
Beastmaster,-0.6067,59.4192,31096
Bane,-0.6413,57.5354,53852
Rubick,-0.6623,57.8589,185985
Troll Warlord,-0.6753,50.0439,261902
Sniper,-0.7078,51.6379,591640
Nyx Assassin,-0.7115,53.4117,143871
Chaos Knight,-0.7385,46.7907,170305
Death Prophet,-0.7657,57.2696,82452
Magnus,-0.7814,59.1778,131708
Leshrac,-0.783,57.7616,38510
Doom,-0.8239,57.8467,77491
Sven,-0.8602,49.4005,358654
Winter Wyvern,-0.8649,53.3571,76569
Pugna,-0.8721,55.0061,109586
Pudge,-0.8864,50.8348,632115
Visage,-0.929,53.2373,33144
Gyrocopter,-0.942,56.8206,61409
Earth Spirit,-0.968,61.4725,62571
Arc Warden,-1.0355,57.7334,49997
Alchemist,-1.1146,59.5737,136394
Dragon Knight,-1.1481,52.5115,129977
Clockwerk,-1.2002,51.1876,103271
Templar Assassin,-1.2624,57.927,119433
Naga Siren,-1.2901,59.6318,37376
Batrider,-1.3982,60.6962,44441
Shadow Fiend,-1.4386,54.6313,321788
Lina,-1.469,57.6128,196458
Lion,-1.49,55.0153,205750
Oracle,-1.5046,62.3176,38806
Wraith King,-1.5069,44.8851,266246
Queen of Pain,-1.6622,58.9678,168592
Huskar,-1.7308,54.4688,203555
Nature's Prophet,-1.7415,60.0546,168370
Juggernaut,-1.8356,54.2541,393618
Meepo,-1.9349,57.1728,80617
Brewmaster,-1.9557,51.3467,39280
Tiny,-2.0101,56.0682,144604
Morphling,-2.0235,55.8099,121697
Lone Druid,-2.0553,64.0475,41872
Monkey King,-2.0638,54.8886,290222
Chen,-2.1144,60.1574,20325
Medusa,-2.1278,56.0685,102191
Enchantress,-2.1684,58.4306,65529
Broodmother,-2.2526,61.8085,56675
Legion Commander,-2.3507,53.3129,463756
Puck,-2.3771,59.8937,116316
Ember Spirit,-2.5532,55.5002,140338
Tusk,-2.6841,59.5989,79300
Tinker,-2.9087,54.0432,187883
Lifestealer,-2.9535,54.5634,168972
Techies,-2.9902,52.4925,75605
Storm Spirit,-3.2376,52.9006,181013
Io,-3.4581,65.6109,35837
