Riki,3.0554,46.8871,250819
Clinkz,2.4859,52.1425,109659
Shadow Fiend,1.9301,52.8353,131622
Mirana,1.7961,49.7308,138413
Silencer,1.7481,47.4999,74478
Spectre,1.6826,43.2382,69790
Invoker,1.6475,52.5362,218851
Weaver,1.5396,49.4498,106973
Templar Assassin,1.5367,55.281,53181
Monkey King,1.4938,53.1941,119562
Undying,1.4515,49.0146,28671
Winter Wyvern,1.2905,50.713,27208
Drow Ranger,1.2708,48.7024,94681
Keeper of the Light,1.2631,51.8549,48250
Nyx Assassin,1.2484,50.5827,76014
Night Stalker,1.1518,50.5331,42764
Ancient Apparition,1.1509,47.87,39649
Underlord,1.1398,43.8155,25758
Warlock,1.1375,47.7556,29496
Broodmother,1.1305,59.4474,31056
Doom,1.1116,54.4202,34353
Arc Warden,0.9975,54.4837,22526
Kunkka,0.9637,51.9637,88837
Jakiro,0.8777,46.5008,47655
Disruptor,0.8142,50.2249,42684
Lich,0.7923,45.5559,57290
Nature's Prophet,0.7139,56.658,68278
Witch Doctor,0.6271,49.4976,50766
Troll Warlord,0.5381,46.9025,99099
Death Prophet,0.5341,53.2007,33539
Centaur Warrunner,0.5291,44.4039,39483
Sniper,0.5124,48.1761,236609
Pugna,0.4694,51.3326,45435
Treant Protector,0.4664,49.0431,36423
Earth Spirit,0.3765,57.0697,26783
Medusa,0.3742,53.3382,43271
Timbersaw,0.3444,53.0782,50840
Chen,0.2999,56.9783,9551
Sand King,0.2986,50.2431,75055
Lina,0.2807,53.8907,81372
Shadow Shaman,0.2492,45.5475,88132
Lycan,0.2428,51.7805,26537
Bristleback,0.2092,50.4914,96866
Elder Titan,0.2078,48.0072,17764
Clockwerk,0.1453,48.0151,41641
Alchemist,0.1428,55.1307,56502
Venomancer,0.1372,46.9857,89906
Juggernaut,0.1149,51.0824,144302
Vengeful Spirit,0.0636,46.4411,52025
Pudge,0.0518,47.2142,244765
Ogre Magi,0.0517,46.9592,72318
Brewmaster,-0.0364,48.7059,16653
Wraith King,-0.0409,42.7815,93683
Dark Seer,-0.0591,51.8825,20637
Earthshaker,-0.1287,47.8078,151998
Abaddon,-0.1775,44.3211,32533
Skywrath Mage,-0.1893,47.7193,54655
Dazzle,-0.2025,48.6416,39127
Luna,-0.2075,47.1746,81175
Morphling,-0.2209,52.4092,51054
Outworld Devourer,-0.2359,50.7468,51280
Windranger,-0.2806,49.2732,121977
Necrophos,-0.3021,42.3651,163670
Viper,-0.309,47.4826,113749
Ember Spirit,-0.3346,52.4812,57089
Phoenix,-0.3424,49.2698,25541
Bloodseeker,-0.3573,45.3957,185537
Magnus,-0.3685,54.0344,52139
Enigma,-0.4232,47.4427,40708
Dragon Knight,-0.4309,48.5013,52079
Spirit Breaker,-0.458,42.6618,135784
Rubick,-0.4755,52.6265,67390
Lone Druid,-0.4766,59.4474,18931
Zeus,-0.4801,41.6197,93434
Beastmaster,-0.4876,54.0473,14565
Ursa,-0.4995,44.8374,78401
Shadow Demon,-0.5019,52.7184,19441
Crystal Maiden,-0.5489,44.0251,90630
Visage,-0.5684,48.8143,14760
Gyrocopter,-0.5717,51.9568,29026
Tinker,-0.5921,51.2763,70475
Lion,-0.6244,50.7931,80875
Axe,-0.634,45.7239,128040
Batrider,-0.6467,55.7448,19835
Tusk,-0.6627,55.9101,34906
Bane,-0.6789,52.1252,23315
Terrorblade,-0.7617,48.9954,36485
Faceless Void,-0.8628,48.5445,97459
Phantom Assassin,-0.8803,44.4124,218860
Lifestealer,-0.8919,51.426,63355
Legion Commander,-0.9399,49.6695,166138
Slardar,-0.9463,47.1977,109876
Omniknight,-0.9535,43.5267,43502
Slark,-1.0782,50.324,113882
Storm Spirit,-1.1047,50.027,62802
Tidehunter,-1.1101,47.1994,38956
Enchantress,-1.1243,53.845,28491
Anti-Mage,-1.1742,48.3418,149144
Oracle,-1.1875,56.6514,16891
Sven,-1.2069,44.8152,129688
Leshrac,-1.2398,51.9454,17965
Tiny,-1.2502,51.5369,61030
Puck,-1.309,55.1272,46068
Queen of Pain,-1.3632,53.5351,66900
Techies,-1.5725,49.0422,30072
Razor,-1.8361,50.8069,36308
Chaos Knight,-2.1597,41.5279,63733
Io,-2.3113,60.2832,15885
Meepo,-2.493,51.2056,33010
Phantom Lancer,-2.5458,45.0422,69326
Naga Siren,-2.8375,52.4165,17546
Huskar,-2.9036,48.1603,76864
