Riki,4.1078,48.1912,4727
Chen,3.9541,62.3134,268
Abaddon,3.6649,48.1951,1025
Underlord,3.6303,44.9809,787
Spectre,3.4202,44.7088,2353
Warlock,3.1983,49.1186,851
Templar Assassin,3.0782,56.5191,1649
Broodmother,2.9797,61.4193,775
Pugna,2.8427,53.8686,1370
Leshrac,2.8209,56.1076,483
Luna,2.756,50.0,3090
Chaos Knight,2.5331,45.9408,2636
Shadow Shaman,2.4808,47.4275,2935
Tiny,2.4446,55.0502,2089
Huskar,2.3619,53.605,3190
Beastmaster,2.2987,57.5406,431
Gyrocopter,2.2891,54.6228,822
Centaur Warrunner,2.1739,45.7689,1359
Arc Warden,2.0965,56.48,625
Visage,2.0602,51.7412,402
Naga Siren,2.0319,58.1272,566
Io,1.9867,65.1804,471
Spirit Breaker,1.9717,44.5538,4572
Sand King,1.9548,51.6342,2264
Shadow Demon,1.9187,54.219,557
Enigma,1.9179,50.3516,1422
Windranger,1.9079,51.3554,3910
Skywrath Mage,1.7464,49.6573,1605
Vengeful Spirit,1.7443,47.8839,1654
Clinkz,1.7235,51.8558,2748
Zeus,1.6822,44.0519,3001
Ursa,1.6737,46.4386,3187
Sven,1.6636,47.1501,6439
Pudge,1.6585,48.2864,8462
Phantom Assassin,1.533,46.3308,9689
Magnus,1.4864,56.2055,1829
Tidehunter,1.4731,49.9283,1396
Witch Doctor,1.4421,50.0625,1598
Ember Spirit,1.4033,54.5977,1740
Medusa,1.3723,53.6144,1328
Brewmaster,1.2373,49.4866,487
Phantom Lancer,1.1583,49.1405,2676
Lifestealer,1.0984,53.2264,2557
Tinker,1.0886,52.9716,2507
Dazzle,1.0562,49.8742,1193
Rubick,0.9557,53.9017,2076
Crystal Maiden,0.9466,44.6608,2875
Razor,0.9132,53.3333,1125
Lion,0.7738,51.5856,2964
Dark Seer,0.6661,52.551,588
Omniknight,0.643,45.2501,1379
Puck,0.6361,56.9312,1688
Viper,0.5557,48.1746,4465
Lycan,0.4533,52.7272,825
Wraith King,0.4397,42.6952,3970
Batrider,0.4288,55.8176,636
Jakiro,0.4112,45.6647,1557
Troll Warlord,0.3391,45.9808,3869
Oracle,0.3188,58.1497,454
Lich,0.3127,45.0029,1711
Axe,0.2517,46.1975,6154
Night Stalker,0.2123,49.1487,1351
Weaver,0.2034,48.2154,3026
Bounty Hunter,0.1886,51.1169,2283
Invoker,0.139,51.165,8197
Disruptor,0.1373,48.546,1238
Meepo,0.1321,53.4269,1211
Kunkka,0.0999,51.2124,2763
Drow Ranger,0.0624,47.7656,3379
Mirana,0.0539,47.6378,4043
Bloodseeker,0.0371,45.8714,6673
Lone Druid,0.0266,59.8347,605
Outworld Devourer,0.026,50.5644,2126
Monkey King,-0.0016,51.6331,3827
Earthshaker,-0.0527,47.403,5468
Earth Spirit,-0.1064,57.3122,759
Morphling,-0.1936,53.1351,1547
Dragon Knight,-0.2107,48.6818,2200
Storm Spirit,-0.2297,51.045,2153
Sniper,-0.2635,47.3587,9295
Ogre Magi,-0.2763,46.0431,2502
Juggernaut,-0.3074,50.6615,6046
Nature's Prophet,-0.3256,56.0578,2212
Bane,-0.3449,52.5619,605
Clockwerk,-0.3909,47.3269,1141
Winter Wyvern,-0.3965,48.2306,763
Phoenix,-0.4132,49.3975,664
Elder Titan,-0.4546,46.768,526
Shadow Fiend,-0.5407,50.1948,4620
Queen of Pain,-0.5456,54.6345,2244
Doom,-0.7965,52.9608,895
Tusk,-0.8624,55.9383,1103
Enchantress,-1.0684,53.5175,796
Techies,-1.0769,49.7,1000
Slardar,-1.5611,46.3777,3230
Terrorblade,-1.5715,48.0752,1169
Alchemist,-1.5752,53.0883,1959
Death Prophet,-1.6,51.0124,1284
Undying,-1.7963,45.0959,938
Faceless Void,-1.8385,47.1467,3277
Anti-Mage,-1.8509,47.8786,5539
Lina,-1.896,51.6327,2603
Nyx Assassin,-2.0955,46.8766,1905
Venomancer,-2.2179,44.0394,2634
Treant Protector,-2.354,46.4771,809
Timbersaw,-2.6968,49.5746,2116
Slark,-2.887,48.3671,4195
Ancient Apparition,-3.5392,42.7736,1197
Legion Commander,-3.646,46.7586,6741
Keeper of the Light,-4.1297,45.9542,1619
Necrophos,-4.9562,37.7056,6503
Silencer,-4.9938,40.2032,2460
