Windranger,3.0403,58.3296,67566
Phantom Lancer,1.8803,55.4254,37241
Shadow Demon,1.7342,60.7828,11880
Techies,1.6873,58.2221,15659
Troll Warlord,1.5625,53.9067,54995
Visage,1.528,56.8882,8471
Sniper,1.4797,54.9781,119071
Faceless Void,1.121,56.3828,58305
Beastmaster,1.1181,61.4512,9261
Storm Spirit,1.0566,58.0228,37125
Pugna,0.9885,57.7067,27437
Phantom Assassin,0.9876,52.1179,119385
Arc Warden,0.9801,60.2067,13158
Naga Siren,0.9768,62.075,10853
Mirana,0.9599,54.8829,71514
Sand King,0.9193,56.7464,46165
Lion,0.9079,58.1234,46532
Brewmaster,0.9042,55.6351,10470
Skywrath Mage,0.8792,54.7622,30899
Ancient Apparition,0.8724,53.5941,24693
Morphling,0.8617,59.2791,29744
Lina,0.7884,60.1192,45433
Gyrocopter,0.7137,59.0805,17488
Chaos Knight,0.6839,50.5087,37540
Tinker,0.6676,58.3295,39270
Terrorblade,0.5681,56.2643,22165
Queen of Pain,0.5028,61.0888,38169
Spectre,0.5016,48.2816,44025
Night Stalker,0.4221,55.7163,26608
Lich,0.4131,51.2644,34878
Slark,0.4104,57.5944,60867
Drow Ranger,0.3957,53.8304,50895
Luna,0.3678,53.7384,46289
Ogre Magi,0.3363,53.2465,43631
Winter Wyvern,0.3196,55.6319,17303
Pudge,0.2896,53.3886,131440
Medusa,0.2708,59.0251,27307
Huskar,0.2229,57.1238,42147
Riki,0.2034,50.4664,61845
Batrider,0.1523,62.2438,12345
Zeus,0.1278,48.4519,49255
Axe,0.0985,52.4608,78855
Invoker,0.0907,56.9718,119689
Meepo,0.0751,59.5461,16483
Earthshaker,0.0454,53.9336,95751
Enchantress,0.0145,60.691,15541
Crystal Maiden,-0.0302,50.6381,52263
Anti-Mage,-0.0536,55.2912,79915
Legion Commander,-0.0876,56.326,89605
Vengeful Spirit,-0.0991,52.3322,31493
Nyx Assassin,-0.1111,55.1507,38179
Tiny,-0.1178,58.4615,34698
Outworld Devourer,-0.1261,56.7276,32924
Silencer,-0.1263,51.6896,47199
Bane,-0.136,58.478,13588
Puck,-0.1501,61.9456,26449
Spirit Breaker,-0.1591,49.1232,73737
Tusk,-0.1942,62.0282,20560
Leshrac,-0.259,58.7627,11041
Dark Seer,-0.2787,57.5015,12824
Bounty Hunter,-0.2962,55.596,39483
Broodmother,-0.3281,63.2911,14062
Weaver,-0.3313,53.6022,49789
Razor,-0.3314,58.1597,21312
Jakiro,-0.3481,51.3267,30187
Shadow Shaman,-0.4594,50.9279,50165
Slardar,-0.501,53.6716,47921
Ursa,-0.5517,50.8825,45041
Abaddon,-0.5933,50.0419,20241
Chen,-0.6173,61.6366,5328
Nature's Prophet,-0.6326,60.9615,37481
Earth Spirit,-0.6435,61.6943,16431
Dragon Knight,-0.6608,54.225,30958
Venomancer,-0.6768,52.2353,56569
Rubick,-0.7058,58.1855,42019
Warlock,-0.7441,51.8758,19271
Clockwerk,-0.7541,53.1053,26986
Keeper of the Light,-0.7971,55.6513,28188
Shadow Fiend,-0.826,56.0461,69152
Lone Druid,-0.859,64.5649,11102
Ember Spirit,-0.8847,57.7267,33345
Magnus,-0.8849,59.2784,34370
Clinkz,-0.8858,54.6931,38716
Underlord,-0.9117,47.9054,16829
Doom,-0.9293,58.1156,20485
Phoenix,-0.9409,54.6028,16631
Elder Titan,-0.9435,52.8314,11531
Alchemist,-0.9517,59.7353,32567
Monkey King,-1.0737,56.5358,62348
Kunkka,-1.0809,55.8209,53874
Disruptor,-1.1063,54.2197,27691
Omniknight,-1.1221,49.4856,26828
Templar Assassin,-1.3352,58.1095,28109
Tidehunter,-1.3436,52.9687,27065
Timbersaw,-1.3667,57.1854,33540
Juggernaut,-1.515,55.4026,80590
Undying,-1.5185,52.0034,19541
Oracle,-1.5742,61.8713,9843
Io,-1.633,66.4205,9345
Sven,-1.7077,50.3933,73851
Bloodseeker,-1.7184,50.2015,98232
Treant Protector,-1.7186,52.8072,17740
Viper,-1.7467,52.0981,65463
Lycan,-1.8235,55.5345,15873
Wraith King,-1.9403,47.1231,52974
Bristleback,-1.9791,54.2703,59948
Death Prophet,-2.0007,56.4395,19986
Dazzle,-2.0514,52.7322,23149
Enigma,-2.1225,51.7292,26832
Witch Doctor,-2.1893,52.6339,30923
Lifestealer,-2.4692,55.7242,42809
Necrophos,-2.4896,46.6251,106153
