Huskar,4.8342,62.16,78692
Viper,3.7663,57.6951,113519
Skywrath Mage,3.0283,57.2333,46590
Pudge,2.9459,56.0097,208644
Ursa,2.7524,54.3732,79197
Bane,2.6683,61.7685,19259
Drow Ranger,2.283,55.9874,86380
Arc Warden,2.2644,61.9745,18911
Wraith King,2.2369,51.3254,90234
Bounty Hunter,2.2306,58.472,63733
Visage,1.9853,57.7071,12151
Spirit Breaker,1.9647,51.3011,125003
Clinkz,1.9117,57.8236,63308
Templar Assassin,1.8896,61.8343,44147
Ogre Magi,1.8592,55.0158,61635
Vengeful Spirit,1.7674,54.4572,44624
Lifestealer,1.756,60.3353,60888
Night Stalker,1.7083,57.3668,38524
Lycan,1.6528,59.5053,24339
Ancient Apparition,1.5996,54.5915,32908
Shadow Shaman,1.58,53.1383,77667
Shadow Demon,1.3432,60.7959,15955
Bloodseeker,1.2975,53.2092,170305
Silencer,1.2936,53.3072,65327
Clockwerk,1.2854,55.4347,35034
Slardar,1.2757,55.7123,65113
Faceless Void,1.2162,56.8308,86439
Pugna,1.1914,58.2872,38360
Venomancer,1.1831,54.2897,73710
Doom,1.1806,60.7104,29924
Zeus,1.1458,49.5694,77576
Phantom Assassin,1.097,52.5044,231609
Razor,0.9956,59.9681,32032
Enchantress,0.9393,62.1788,24563
Nyx Assassin,0.8894,56.4635,50785
Rubick,0.8795,60.1499,56675
Chen,0.846,63.6656,7764
Treant Protector,0.8372,55.7075,25957
Slark,0.6042,58.1876,94582
Oracle,0.5397,64.5646,14161
Luna,0.5184,54.1869,78685
Windranger,0.5126,56.2842,103139
Dazzle,0.4857,55.5893,34825
Death Prophet,0.379,59.3092,32054
Juggernaut,0.3526,57.5333,133559
Nature's Prophet,0.3411,62.4487,56797
Lina,0.2976,60.1174,70176
Monkey King,0.2235,58.1949,100660
Morphling,0.2073,59.0327,41045
Brewmaster,0.1852,55.2392,15985
Tusk,0.1156,62.889,30231
Storm Spirit,0.0078,57.3753,55597
Legion Commander,-0.0624,56.7356,161974
Gyrocopter,-0.078,58.7589,27526
Queen of Pain,-0.1219,60.9814,58385
Troll Warlord,-0.2177,52.4561,96837
Lone Druid,-0.2246,65.8484,16459
Beastmaster,-0.2663,60.4867,12697
Mirana,-0.3092,53.9544,100268
Lion,-0.3772,57.2596,70713
Techies,-0.3797,56.5294,25898
Riki,-0.4065,50.0757,107591
Spectre,-0.4246,47.4534,65677
Shadow Fiend,-0.4873,56.7498,113366
Anti-Mage,-0.4894,55.2293,141758
Crystal Maiden,-0.5711,50.2923,79875
Keeper of the Light,-0.5738,56.2166,40504
Puck,-0.5805,62.0236,38919
Tinker,-0.5906,57.5137,65793
Sniper,-0.5967,53.4508,215123
Centaur Warrunner,-0.6664,49.4912,37540
Disruptor,-0.7015,54.9262,37534
Batrider,-0.728,61.829,16992
Alchemist,-0.7708,60.4609,54369
Undying,-0.7754,53.0168,26352
Outworld Devourer,-0.8209,56.4311,51764
Weaver,-0.8512,53.3805,77916
Witch Doctor,-0.8617,54.2534,45610
Dragon Knight,-1.1167,54.1113,53717
Terrorblade,-1.1308,54.9037,34382
Broodmother,-1.1799,62.9846,20659
Io,-1.2034,67.4962,13300
Leshrac,-1.2317,58.2004,15926
Earth Spirit,-1.2385,61.5255,21409
Tiny,-1.2676,57.7916,57934
Necrophos,-1.2967,47.698,141205
Warlock,-1.325,51.5247,29710
Abaddon,-1.3483,49.4489,29760
Meepo,-1.3705,58.5356,27139
Winter Wyvern,-1.6044,54.0507,31587
Lich,-1.664,49.3857,66092
Bristleback,-1.7019,54.9221,107219
Kunkka,-1.7462,55.5278,78710
Omniknight,-2.0372,48.7281,41159
Invoker,-2.1846,55.3049,188589
Ember Spirit,-2.411,56.6743,57361
Jakiro,-2.4246,49.4452,44795
Naga Siren,-2.4549,59.0691,16049
Earthshaker,-2.754,51.836,228727
Dark Seer,-2.8466,55.2471,18124
Phantom Lancer,-3.0582,50.8577,75200
Magnus,-3.1543,57.4724,51315
Elder Titan,-3.2281,50.749,17957
Axe,-3.2935,49.5426,146072
Phoenix,-3.336,52.4545,22244
Tidehunter,-3.3973,51.1532,37241
Enigma,-3.4813,50.619,44181
Underlord,-3.8319,45.0215,24375
Timbersaw,-3.9027,55.0716,52370
Sand King,-4.0264,52.2078,69321
Sven,-5.0822,47.7693,210786
Medusa,-6.2522,53.1753,72543
