Phoenix,3.6577,53.7287,24968
Ancient Apparition,3.5303,50.6454,36021
Undying,2.6974,50.64,27731
Enigma,2.6514,50.9029,40589
Underlord,2.5786,45.6767,23767
Anti-Mage,2.3173,51.9607,156112
Elder Titan,2.293,50.5107,17034
Warlock,2.2564,49.2525,28096
Ember Spirit,2.2538,55.4154,52581
Silencer,2.2132,48.3157,67359
Disruptor,2.1599,51.9271,40553
Jakiro,2.1151,48.0904,48492
Invoker,2.0951,53.2547,222906
Keeper of the Light,2.0735,53.0028,43226
Dark Seer,1.783,54.1246,20353
Venomancer,1.7605,48.9486,77422
Earthshaker,1.7329,49.9072,137505
Nyx Assassin,1.6041,51.2828,56789
Juggernaut,1.592,52.7935,161927
Spectre,1.5332,43.4707,62511
Lich,1.4838,46.5803,60313
Zeus,1.4129,43.8236,97566
Monkey King,1.4069,53.446,111548
Kunkka,1.4069,52.735,80639
Witch Doctor,1.3937,50.6117,52065
Rubick,1.2747,54.6918,60839
Omniknight,1.2635,46.1227,43523
Chen,1.2556,58.3238,9617
Pugna,1.2421,52.4503,43218
Centaur Warrunner,1.0732,45.3068,38716
Timbersaw,0.9528,54.0239,49330
Magnus,0.8744,55.617,51103
Sniper,0.8076,48.7734,260531
Necrophos,0.782,43.7271,164598
Lina,0.7695,54.7056,78586
Doom,0.7539,54.3739,32705
Shadow Shaman,0.7505,46.3781,91101
Arc Warden,0.7153,54.5423,23259
Skywrath Mage,0.7133,48.9742,53669
Mirana,0.7122,49.0465,111914
Tidehunter,0.7103,49.3962,39088
Oracle,0.7005,58.9476,16876
Outworld Devourer,0.6901,52.0173,49818
Lifestealer,0.679,53.3387,62553
Clockwerk,0.6328,48.8572,38942
Earth Spirit,0.624,57.6142,24579
Pudge,0.5731,48.0105,227171
Visage,0.5467,50.3163,15488
Weaver,0.4598,48.7363,96148
Faceless Void,0.4543,50.1738,100668
Sven,0.45,46.736,149711
Winter Wyvern,0.4483,50.1863,27900
Storm Spirit,0.2746,51.7469,61194
Death Prophet,0.2016,53.2358,38506
Dazzle,0.1968,49.3856,40287
Leshrac,0.1801,53.7576,17724
Queen of Pain,0.085,55.3112,63855
Morphling,0.0362,53.0092,51608
Meepo,-0.0301,54.0816,34692
Shadow Fiend,-0.0359,51.2846,125283
Lion,-0.0405,51.7098,84686
Batrider,-0.0412,56.6782,18785
Medusa,-0.1701,53.11,41478
Brewmaster,-0.1812,48.8951,16744
Windranger,-0.1906,49.6956,133742
Shadow Demon,-0.2178,53.3383,18692
Tiny,-0.2334,52.9036,61801
Abaddon,-0.2347,44.6296,30417
Treant Protector,-0.2361,48.6726,30060
Crystal Maiden,-0.2385,44.6795,87295
Lycan,-0.2787,51.5826,26854
Puck,-0.2987,56.4693,44031
Nature's Prophet,-0.3297,55.9384,66954
Sand King,-0.3891,49.8934,68017
Alchemist,-0.392,54.9251,56486
Riki,-0.4434,44.0744,131761
Beastmaster,-0.5574,54.3075,14370
Luna,-0.593,47.1204,91126
Tinker,-0.6199,51.5847,70895
Lone Druid,-0.644,59.6111,18926
Viper,-0.6672,47.4697,135758
Ogre Magi,-0.7869,46.4628,72361
Gyrocopter,-0.8295,52.0312,29169
Bane,-0.8637,52.2863,24471
Enchantress,-0.8838,54.4457,29264
Templar Assassin,-0.8925,53.1378,51707
Tusk,-0.9204,55.9527,32985
Huskar,-0.9422,50.4655,86235
Bloodseeker,-0.972,45.1741,184588
Razor,-0.996,52.0109,36152
Terrorblade,-1.0097,49.0805,36870
Techies,-1.0318,49.9404,30218
Ursa,-1.0353,44.6294,85755
Vengeful Spirit,-1.0863,45.6187,51150
Night Stalker,-1.1661,48.507,40056
Io,-1.2047,61.7887,16134
Drow Ranger,-1.3668,46.4376,97759
Troll Warlord,-1.4405,45.3002,104920
Wraith King,-1.4815,41.6806,109101
Bristleback,-1.4969,49.1584,107782
Axe,-1.5413,45.1997,136826
Slark,-1.6929,50.0627,111580
Dragon Knight,-1.7139,47.5301,61420
Slardar,-1.7402,46.7678,95711
Chaos Knight,-1.8581,42.1763,63308
Legion Commander,-1.9282,49.0815,160643
Bounty Hunter,-2.4917,47.8574,109661
Spirit Breaker,-2.6369,40.921,128555
Phantom Assassin,-2.8841,43.025,241064
Naga Siren,-3.2666,52.3117,17627
Phantom Lancer,-3.3735,44.554,70135
Broodmother,-3.5807,54.7719,27536
