Terrorblade,3.094,59.1093,988
Troll Warlord,2.7623,54.6748,3091
Treant Protector,2.438,57.7726,862
Templar Assassin,2.3754,61.8846,1422
Phantom Lancer,2.0883,56.2899,1876
Faceless Void,1.9979,57.1525,2936
Night Stalker,1.7246,56.895,1153
Winter Wyvern,1.5384,56.4803,841
Dazzle,1.3344,56.428,1299
Omniknight,1.1418,52.0463,1295
Undying,1.1134,54.4554,808
Slardar,1.0968,55.3318,2185
Doom,0.9857,60.9988,841
Lycan,0.9759,59.4301,737
Outworld Devourer,0.9527,57.6706,1597
Chaos Knight,0.9441,50.7445,1746
Io,0.8354,70.4061,517
Dragon Knight,0.8095,55.9322,1357
Wraith King,0.7984,49.523,2621
Riki,0.7922,51.2543,3428
Tiny,0.7541,59.4152,1710
Sven,0.7158,52.5326,4205
Death Prophet,0.6869,59.4799,923
Legion Commander,0.664,56.9812,4949
Ancient Apparition,0.6438,53.4005,1191
Windranger,0.6308,56.2874,3507
Batrider,0.6012,62.1392,589
Shadow Fiend,0.5542,57.4172,3957
Sand King,0.4799,56.3367,2233
Alchemist,0.4115,61.1548,1524
Abaddon,0.3772,51.08,787
Weaver,0.3735,54.6079,2474
Anti-Mage,0.3554,56.1407,4975
Lich,0.2961,51.2639,1701
Underlord,0.2681,47.8328,646
Spirit Breaker,0.1569,49.1501,3589
Clockwerk,0.1482,54.1166,1166
Viper,0.14,54.0164,3162
Invoker,0.1305,57.2723,7501
Oracle,0.1284,64.2105,475
Vengeful Spirit,0.0812,52.4423,1474
Slark,0.0354,57.4318,3411
Phantom Assassin,0.0178,51.2374,6950
Morphling,-0.018,59.4833,1471
Drow Ranger,-0.0222,53.9309,2722
Bounty Hunter,-0.122,56.9543,1970
Juggernaut,-0.1978,56.9033,4592
Lion,-0.225,56.834,3146
Nature's Prophet,-0.3293,62.239,2251
Lina,-0.3594,59.3378,2356
Necrophos,-0.4136,48.3937,5354
Shadow Demon,-0.4266,57.9861,576
Earthshaker,-0.4929,53.224,5614
Ursa,-0.5029,50.6166,2108
Bloodseeker,-0.5311,51.5918,5057
Brewmaster,-0.5346,53.8636,440
Clinkz,-0.5374,55.6812,1857
Luna,-0.5381,52.9095,2234
Queen of Pain,-0.5555,60.7352,2040
Venomancer,-0.5572,51.9656,2442
Ember Spirit,-0.6302,58.6273,1559
Timbersaw,-0.6587,57.785,1535
Jakiro,-0.6842,50.8243,1395
Ogre Magi,-0.7785,51.8312,2512
Bristleback,-0.8278,55.3391,2875
Storm Spirit,-0.8434,56.5789,1900
Spectre,-0.8491,46.7131,2008
Mirana,-0.8773,52.9604,3969
Silencer,-0.9104,50.6493,2464
Centaur Warrunner,-0.9584,48.8687,1105
Sniper,-1.0285,52.8678,6817
Enigma,-1.0341,53.5127,1338
Meepo,-1.0663,58.3177,1070
Dark Seer,-1.1063,56.9306,606
Monkey King,-1.1998,56.592,3216
Huskar,-1.2085,56.0685,2101
Axe,-1.2174,51.0905,3668
Kunkka,-1.2595,56.0579,2831
Tinker,-1.2798,56.7612,2433
Leshrac,-1.301,57.8692,413
Shadow Shaman,-1.3431,49.8758,2819
Witch Doctor,-1.4216,53.3594,1533
Naga Siren,-1.4592,60.47,468
Phoenix,-1.6398,54.3633,699
Razor,-1.642,56.72,811
Lifestealer,-1.6764,56.5084,1959
Medusa,-1.7105,56.5374,1109
Tidehunter,-1.7321,52.8268,1132
Pudge,-1.8382,51.4397,7953
Rubick,-1.8921,57.3524,2863
Magnus,-1.9168,58.864,1743
Lone Druid,-1.9293,63.8376,542
Beastmaster,-2.0591,58.9595,346
Nyx Assassin,-2.0859,53.1147,1830
Skywrath Mage,-2.2265,51.8018,1554
Zeus,-2.2988,46.4435,2151
Enchantress,-2.4468,58.2152,706
Tusk,-2.49,60.3157,950
Keeper of the Light,-2.6004,53.8056,1708
Puck,-2.6159,59.7248,1599
Chen,-2.6176,61.6724,287
Earth Spirit,-2.7289,60.9142,875
Elder Titan,-2.7339,50.6172,486
Arc Warden,-2.8151,57.5163,612
Disruptor,-2.9629,51.5781,1394
Broodmother,-3.033,61.0492,629
Gyrocopter,-3.2072,54.9853,682
Pugna,-3.2358,53.7692,1300
Bane,-3.4953,55.4367,561
Visage,-4.1418,51.4285,420
Warlock,-4.1715,47.6297,886
Techies,-4.3244,52.503,819
