Templar Assassin,4.7372,56.2767,14713
Visage,3.0889,50.7287,4940
Broodmother,2.9727,58.6663,8083
Tidehunter,2.879,49.4551,13307
Terrorblade,2.8682,50.809,11433
Chaos Knight,2.5426,44.7528,18124
Treant Protector,2.5252,49.3591,9753
Phantom Lancer,2.0775,47.9547,18555
Omniknight,2.0737,45.0648,14255
Winter Wyvern,2.014,49.6111,9258
Wraith King,1.9135,43.2825,25419
Arc Warden,1.8682,53.2712,7199
Night Stalker,1.7952,49.3454,13827
Dazzle,1.651,48.7305,12643
Venomancer,1.634,46.7997,28295
Beastmaster,1.6007,54.0465,5029
Lifestealer,1.478,51.7955,18490
Brewmaster,1.2521,48.2628,5555
Shadow Demon,1.1949,52.416,6519
Io,1.1731,61.2283,5259
Dragon Knight,1.1319,48.3034,14618
Undying,1.1307,46.9852,9520
Slardar,1.0754,47.5231,21196
Meepo,1.0599,52.7634,9499
Viper,1.0283,47.0772,32162
Phantom Assassin,0.9429,44.4846,58283
Luna,0.7783,46.4853,23758
Storm Spirit,0.7552,49.984,18830
Naga Siren,0.7137,53.8968,5761
Faceless Void,0.7006,48.2795,29033
Necrophos,0.6444,41.881,48793
Spectre,0.6428,40.9066,20801
Elder Titan,0.6325,46.7471,5964
Juggernaut,0.6256,49.6817,41005
Razor,0.6171,51.2929,10596
Puck,0.6011,54.8246,14457
Abaddon,0.5882,43.6429,9926
Ogre Magi,0.5276,45.7957,23500
Lycan,0.519,50.1194,8370
Shadow Fiend,0.5076,49.5893,35066
Ursa,0.487,44.2947,22041
Spirit Breaker,0.4448,42.1416,36057
Lion,0.4333,49.9243,24447
Slark,0.3504,49.8132,29456
Underlord,0.331,41.6248,8776
Earth Spirit,0.3044,54.7676,9124
Shadow Shaman,0.2535,44.0308,26813
Sand King,0.185,48.3078,22781
Magnus,0.1191,52.4296,18789
Jakiro,0.1024,44.1683,15776
Riki,0.0921,42.7965,30416
Centaur Warrunner,0.0606,42.4984,12824
Lich,0.0409,43.3167,18711
Warlock,-0.0407,44.943,10095
Bounty Hunter,-0.0709,48.1174,20637
Pudge,-0.0947,45.4404,66958
Batrider,-0.1024,54.0882,6800
Tiny,-0.1126,50.682,17375
Vengeful Spirit,-0.1527,44.6528,16046
Mirana,-0.2473,46.0982,36932
Monkey King,-0.2562,49.5742,32886
Phoenix,-0.2608,47.5689,8556
Techies,-0.2652,48.539,7940
Axe,-0.2869,44.4728,35262
Alchemist,-0.2926,52.5536,16682
Clockwerk,-0.3092,45.8802,14115
Silencer,-0.3117,43.9118,24367
Witch Doctor,-0.3404,46.7848,16251
Nyx Assassin,-0.3502,47.2145,19674
Chen,-0.3532,54.036,3159
Outworld Devourer,-0.3909,48.7271,15831
Medusa,-0.4078,50.5373,13398
Morphling,-0.4386,50.2122,15781
Skywrath Mage,-0.444,45.799,16389
Tusk,-0.4572,53.8687,10882
Tinker,-0.4719,49.4888,19954
Legion Commander,-0.4772,48.2815,43354
Huskar,-0.5058,48.6901,20308
Troll Warlord,-0.5149,44.306,28741
Crystal Maiden,-0.6176,42.5194,28641
Rubick,-0.6263,50.4924,23556
Death Prophet,-0.6308,50.0345,10117
Nature's Prophet,-0.6602,53.0874,20713
Gyrocopter,-0.6932,49.8535,8876
Bane,-0.6979,50.1238,7671
Queen of Pain,-0.7299,52.0565,19596
Earthshaker,-0.7393,45.5782,48883
Pugna,-0.7483,48.248,14127
Kunkka,-0.798,48.3655,28419
Timbersaw,-0.9226,49.8405,15361
Zeus,-0.9367,39.9078,23657
Lone Druid,-1.0238,56.427,5967
Weaver,-1.1359,45.1827,25450
Oracle,-1.1364,54.4627,7473
Keeper of the Light,-1.1413,47.6026,15955
Enchantress,-1.181,51.6524,8321
Drow Ranger,-1.1944,44.6627,25191
Windranger,-1.2183,46.6209,34566
Disruptor,-1.2317,46.4069,15224
Doom,-1.2488,49.991,11168
Ancient Apparition,-1.2759,43.8303,12683
Sven,-1.2847,43.1953,35439
Ember Spirit,-1.307,49.5411,16889
Bristleback,-1.3352,47.189,26646
Lina,-1.4057,50.2055,23593
Enigma,-1.6142,44.597,13909
Invoker,-1.6153,47.7812,60641
Clinkz,-2.0617,45.8753,20353
Leshrac,-2.1075,49.081,6094
Anti-Mage,-2.289,45.5792,43443
Sniper,-2.362,43.9465,56687
Bloodseeker,-2.3665,42.0261,47963
