Legion Commander,3.3706,54.6586,114271
Lifestealer,2.4694,55.7779,37029
Centaur Warrunner,2.0574,47.2677,23149
Storm Spirit,1.9855,54.1606,37422
Bristleback,1.8156,53.1362,54842
Wraith King,1.7275,45.87,50824
Spectre,1.5318,44.4903,39957
Slark,1.4297,53.7969,63840
Treant Protector,1.3299,51.0864,18455
Pudge,1.2542,49.4652,145860
Tiny,1.2363,55.0162,33870
Juggernaut,1.2086,53.1743,83719
Abaddon,1.2054,47.0627,17976
Phantom Assassin,1.1178,47.4597,122982
Lycan,1.0786,53.6571,14082
Ember Spirit,1.0559,54.862,31612
Clockwerk,0.847,49.9056,24917
Slardar,0.8237,50.1678,42003
Techies,0.7683,52.5186,16318
Anti-Mage,0.7319,51.2592,84970
Huskar,0.7057,52.8182,43945
Alchemist,0.6318,56.5211,31160
Zeus,0.5443,44.0587,47103
Tidehunter,0.5087,50.0158,22035
Templar Assassin,0.4442,55.0993,28298
Spirit Breaker,0.4267,44.872,72348
Night Stalker,0.4176,50.9105,24270
Vengeful Spirit,0.3676,47.9958,31559
Viper,0.3416,49.3006,66348
Dragon Knight,0.3284,50.4166,28921
Disruptor,0.2885,50.8201,32007
Shadow Fiend,0.2839,52.3251,73521
Bounty Hunter,0.2531,51.3583,39127
Underlord,0.2494,44.2978,14854
Skywrath Mage,0.2354,49.3361,34046
Ogre Magi,0.1712,48.2964,50482
Omniknight,0.1669,45.9575,31083
Weaver,0.1036,49.2393,50220
Necrophos,0.0869,44.2129,123907
Rubick,0.0656,54.1717,47774
Razor,0.0283,53.7044,18626
Invoker,0.0282,52.1338,137287
Shadow Shaman,0.0128,46.6009,56428
Mirana,0.0046,49.2035,75332
Ursa,-0.0279,46.6001,45429
Queen of Pain,-0.0454,55.7759,38011
Meepo,-0.103,54.6208,18557
Windranger,-0.1201,50.5569,74336
Phoenix,-0.122,50.6274,16256
Enchantress,-0.161,55.7196,15167
Leshrac,-0.161,54.0444,10360
Clinkz,-0.1738,50.6143,40287
Riki,-0.1829,45.3121,61467
Crystal Maiden,-0.1957,45.6968,63024
Lion,-0.1966,52.2783,53724
Batrider,-0.2004,57.0731,11678
Witch Doctor,-0.208,49.8089,33765
Timbersaw,-0.2441,53.4957,29765
Oracle,-0.259,58.5276,12565
Death Prophet,-0.2693,53.3811,18677
Beastmaster,-0.313,55.1636,8618
Chen,-0.3193,57.1659,5575
Winter Wyvern,-0.3494,50.1732,20782
Lina,-0.3588,54.2297,47686
Lone Druid,-0.4046,60.2206,10787
Broodmother,-0.4104,58.4145,13851
Tusk,-0.4117,57.0156,20219
Doom,-0.4351,53.8132,20088
Monkey King,-0.4484,52.3611,63826
Bloodseeker,-0.4611,46.5756,105435
Troll Warlord,-0.4953,47.1454,57838
Bane,-0.5001,53.3324,14929
Keeper of the Light,-0.5084,51.1618,31760
Drow Ranger,-0.5429,48.1348,49862
Io,-0.5455,62.7865,10077
Chaos Knight,-0.6452,44.4106,34825
Brewmaster,-0.712,49.1818,9778
Magnus,-0.7135,54.661,32965
Luna,-0.7158,47.8945,44314
Puck,-0.7174,56.6165,27688
Sand King,-0.7305,50.3417,42720
Kunkka,-0.7746,51.3343,55793
Sniper,-0.7805,48.2093,123474
Sven,-0.7902,46.4776,76553
Arc Warden,-0.7949,53.6244,13671
Nyx Assassin,-0.8262,49.6497,34401
Elder Titan,-0.8378,48.1378,10472
Faceless Void,-0.8781,49.679,58117
Earthshaker,-0.8863,48.2966,95603
Medusa,-0.9134,53.0295,23898
Earth Spirit,-1.0082,56.569,18001
Silencer,-1.0287,46.0206,50951
Outworld Devourer,-1.0406,51.0312,33115
Enigma,-1.0692,47.9873,26159
Warlock,-1.0842,46.7269,19019
Visage,-1.1424,49.378,9567
Venomancer,-1.1897,46.934,55480
Jakiro,-1.1969,45.6839,31429
Pugna,-1.2494,50.688,27322
Gyrocopter,-1.2573,52.2659,15402
Morphling,-1.3763,52.2756,30848
Lich,-1.4913,44.5826,38598
Tinker,-1.5176,51.4261,44314
Undying,-1.5825,47.1282,17533
Shadow Demon,-1.6253,52.5968,12900
Nature's Prophet,-1.6287,55.2191,40457
Dark Seer,-1.6889,51.2694,12643
Axe,-1.7077,46.12,132103
Terrorblade,-1.8503,49.0376,20731
Naga Siren,-2.0555,54.142,9488
Phantom Lancer,-2.3268,46.5085,35129
Ancient Apparition,-3.1128,44.7887,33754
