Treant Protector,2.7538,48.8909,14066
Timbersaw,2.6113,52.6639,23931
Axe,2.3693,46.2029,64827
Ember Spirit,2.2449,52.373,25811
Bane,2.1865,52.3648,10973
Necrophos,2.1426,42.4333,75648
Brewmaster,2.1124,48.4204,8515
Tidehunter,2.0103,47.8867,20868
Winter Wyvern,2.0043,48.914,12984
Pudge,1.935,46.467,105649
Centaur Warrunner,1.9348,43.5604,19986
Doom,1.8331,52.4144,15759
Templar Assassin,1.7479,52.7184,23028
Earth Spirit,1.7058,55.5613,11580
Phoenix,1.5115,48.6445,11915
Visage,1.5032,48.4395,6889
Underlord,1.4691,41.9618,12478
Storm Spirit,1.4159,49.9547,29839
Omniknight,1.4118,43.6399,21588
Io,1.3815,60.92,7413
Night Stalker,1.2809,48.1413,20687
Nyx Assassin,1.2424,48.07,27618
Zeus,1.1851,41.1358,44849
Lich,1.1826,43.6523,28365
Queen of Pain,1.1336,53.251,30636
Lifestealer,1.129,50.7974,30409
Tinker,1.0949,50.3408,31690
Kunkka,1.0934,49.5066,40336
Elder Titan,1.0817,46.4709,8855
Jakiro,1.0371,44.3185,24791
Tiny,1.009,51.1237,28699
Skywrath Mage,0.9731,46.4604,25060
Enigma,0.9684,46.4159,20075
Outworld Devourer,0.8922,49.3048,24815
Shadow Demon,0.8559,51.4288,9168
Tusk,0.8031,54.5307,16719
Dragon Knight,0.7876,47.2318,30092
Magnus,0.7854,52.4718,24678
Naga Siren,0.7464,53.3266,8958
Faceless Void,0.6341,47.5152,45135
Dark Seer,0.6313,49.9654,10117
Spectre,0.6294,40.0683,31621
Puck,0.5315,54.1624,20769
Chen,0.5024,54.2946,4494
Ursa,0.4555,43.4918,38667
Rubick,0.4329,50.8766,33821
Ogre Magi,0.3879,44.9171,34882
Earthshaker,0.3877,45.873,68149
Sven,0.3841,44.0124,69762
Batrider,0.3813,53.968,9652
Clockwerk,0.3485,45.8063,18683
Alchemist,0.335,52.5464,26841
Morphling,0.3012,50.2836,23266
Juggernaut,0.3003,48.6742,73957
Pugna,0.2772,48.5716,21704
Shadow Shaman,0.244,43.2486,43317
Dazzle,0.231,46.6188,18677
Disruptor,0.1945,47.107,20135
Oracle,0.175,55.1491,7846
Invoker,0.1206,48.6148,99301
Lion,0.0876,48.9129,39969
Leshrac,0.044,50.5887,9002
Terrorblade,-0.0153,47.2501,18110
Lone Druid,-0.0268,56.8785,9028
Crystal Maiden,-0.04,42.2755,41563
Spirit Breaker,-0.0422,40.8928,60304
Windranger,-0.0499,47.0086,54273
Witch Doctor,-0.0572,46.34,25820
Techies,-0.068,48.0422,13051
Warlock,-0.1109,44.1178,14765
Arc Warden,-0.1486,50.6047,10335
Riki,-0.1695,41.7814,54821
Lycan,-0.1858,48.7372,12988
Sand King,-0.2246,47.2164,32997
Silencer,-0.3126,43.141,36128
Slardar,-0.3316,45.437,32775
Abaddon,-0.3648,41.8947,16076
Bristleback,-0.3914,47.3721,51773
Clinkz,-0.397,46.7641,38506
Anti-Mage,-0.4532,46.5486,70088
Troll Warlord,-0.4989,43.5613,46741
Wraith King,-0.5465,40.1442,49626
Undying,-0.5837,44.5338,14160
Broodmother,-0.588,54.5347,11941
Phantom Assassin,-0.5925,42.4303,108717
Huskar,-0.6263,47.8736,37624
Venomancer,-0.639,43.8783,39671
Gyrocopter,-0.681,49.1992,14486
Bounty Hunter,-0.703,46.7992,33539
Slark,-0.7539,48.0799,49114
Bloodseeker,-0.761,42.7303,82452
Legion Commander,-0.765,47.3161,74334
Meepo,-0.7785,50.2886,14896
Beastmaster,-0.7843,51.0082,7240
Chaos Knight,-0.8098,40.6907,32054
Ancient Apparition,-0.8684,43.4775,18375
Viper,-0.8837,44.5436,62972
Monkey King,-0.9977,48.2011,50895
Enchantress,-1.0227,51.1854,14088
Keeper of the Light,-1.0583,46.99,21113
Lina,-1.0654,49.8766,38900
Weaver,-1.106,44.4693,41487
Phantom Lancer,-1.1291,44.0927,34686
Medusa,-1.1515,49.1412,21717
Vengeful Spirit,-1.1707,42.8855,24668
Luna,-1.3977,43.6406,42921
Razor,-1.4465,48.5763,18087
Mirana,-1.4504,44.232,53511
Nature's Prophet,-1.451,51.7101,30524
Drow Ranger,-1.9614,43.1773,43942
Shadow Fiend,-2.24,46.3234,57200
Sniper,-2.4772,43.1939,115354
