Earth Spirit,2.083,55.38,14368
Timbersaw,2.0078,51.4802,25604
Tinker,1.695,50.3437,32000
Axe,1.6876,45.0018,56931
Abaddon,1.6176,43.288,17208
Shadow Demon,1.6111,51.6145,9817
Spectre,1.4467,40.2855,35159
Dark Seer,1.2486,50.0089,11168
Elder Titan,1.2049,46.0053,9688
Underlord,1.1997,41.0815,14072
Magnus,1.1585,52.2482,27555
Templar Assassin,1.1451,51.5414,22316
Clockwerk,1.1235,45.9763,22840
Lich,0.9776,42.8734,28850
Necrophos,0.954,40.8099,81909
Night Stalker,0.9433,47.2208,21859
Tidehunter,0.8933,46.1956,20989
Nyx Assassin,0.8673,47.1059,32359
Centaur Warrunner,0.8338,41.8843,20485
Warlock,0.8337,44.4815,15267
Jakiro,0.8305,43.544,23606
Dragon Knight,0.8252,46.7096,24678
Pudge,0.8173,44.9219,107493
Phoenix,0.8053,47.3436,14249
Oracle,0.8008,55.2344,9170
Kunkka,0.7492,48.5811,43910
Omniknight,0.7024,42.3441,23923
Beastmaster,0.6793,51.9201,7760
Brewmaster,0.6538,46.3571,9004
Techies,0.6428,48.1788,12410
Earthshaker,0.6079,45.4946,75732
Visage,0.6041,46.9416,7782
Winter Wyvern,0.5824,46.9054,14154
Leshrac,0.5362,50.5069,9173
Zeus,0.4806,39.8868,38697
Pugna,0.4748,48.1849,22644
Silencer,0.4575,43.3089,39015
Arc Warden,0.4422,50.6241,11295
Faceless Void,0.4085,46.7109,48950
Dazzle,0.3839,46.1867,20088
Disruptor,0.3709,46.6952,22407
Spirit Breaker,0.3607,40.6917,56353
Lone Druid,0.3599,56.6972,9362
Gyrocopter,0.3558,49.6595,13659
Io,0.3447,59.3361,8376
Sven,0.311,43.3606,55984
Mirana,0.3074,45.3128,56505
Lion,0.2926,48.5451,35606
Sand King,0.258,47.0969,36720
Morphling,0.2498,49.6446,26315
Juggernaut,0.2242,48.0568,63583
Tiny,0.2216,49.7702,28075
Undying,0.2189,44.7502,15296
Ogre Magi,0.1682,44.13,33893
Razor,0.1482,49.5906,16491
Enigma,0.1394,45.0087,21758
Riki,0.1227,41.4852,53472
Treant Protector,0.1158,45.6573,15555
Batrider,0.1136,53.1262,10300
Weaver,0.0907,45.0452,41687
Puck,0.0897,53.142,22374
Slark,0.0564,48.2703,49142
Keeper of the Light,0.0523,47.5049,23246
Storm Spirit,0.0242,48.0061,31948
Venomancer,0.0091,43.921,46192
Shadow Fiend,-0.0123,47.8443,54763
Ember Spirit,-0.0138,49.5594,28939
Outworld Devourer,-0.0315,47.8134,25200
Ancient Apparition,-0.0833,43.668,20665
Rubick,-0.1242,49.7337,39442
Windranger,-0.1319,46.3495,56253
Phantom Lancer,-0.1356,44.494,30440
Nature's Prophet,-0.136,52.4059,32441
Alchemist,-0.2179,51.4195,26698
Bristleback,-0.2514,46.9434,44085
Sniper,-0.2585,44.5025,86377
Chen,-0.308,52.9143,5044
Troll Warlord,-0.3181,43.1609,44012
Crystal Maiden,-0.3416,41.4138,40880
Bane,-0.3557,49.2253,11683
Naga Siren,-0.3862,51.5923,8635
Tusk,-0.4744,52.6715,16844
Shadow Shaman,-0.4746,41.9851,40138
Vengeful Spirit,-0.5304,42.9446,24010
Huskar,-0.6516,47.2823,32179
Skywrath Mage,-0.6759,44.2557,25617
Luna,-0.6958,43.7489,36138
Enchantress,-0.7006,50.9225,13116
Invoker,-0.7205,47.2941,99249
Queen of Pain,-0.7314,50.8441,30680
Monkey King,-0.7338,47.8675,52265
Witch Doctor,-0.7354,45.0957,24958
Bloodseeker,-0.7548,42.1532,77491
Ursa,-0.7845,41.7198,34782
Legion Commander,-0.7877,46.7224,71135
Lycan,-0.8557,47.4834,12815
Viper,-0.9288,43.9233,49814
Medusa,-0.9549,48.7548,22086
Clinkz,-0.9846,45.626,32705
Anti-Mage,-1.019,45.4513,71417
Drow Ranger,-1.0305,43.5,36839
Slardar,-1.059,44.1536,32516
Lina,-1.1118,49.256,36696
Phantom Assassin,-1.1796,41.2547,88002
Terrorblade,-1.2293,45.46,18018
Wraith King,-1.331,38.8167,45367
Bounty Hunter,-1.3607,45.5797,34353
Broodmother,-1.5424,53.0001,12566
Chaos Knight,-1.661,39.2895,29924
Lifestealer,-1.7041,47.4465,29294
Meepo,-1.7999,48.6896,14309
Death Prophet,-1.8354,47.5855,15759
