Templar Assassin,2.8541,57.4959,36573
Visage,2.5499,53.0655,9884
Puck,2.1597,59.4751,31134
Weaver,2.0424,51.0296,64145
Clinkz,1.7909,52.4698,61420
Storm Spirit,1.7269,53.8517,44084
Nyx Assassin,1.6467,52.017,40306
Night Stalker,1.4155,51.8348,31664
Naga Siren,1.3284,57.644,13481
Legion Commander,1.298,52.7624,121270
Chaos Knight,1.0293,45.8886,53717
Phantom Assassin,1.0212,47.2895,180877
Clockwerk,1.0129,49.9771,28475
Tiny,0.9682,54.7257,46141
Brewmaster,0.9472,50.7862,12783
Ember Spirit,0.8874,54.6579,39449
Slardar,0.8531,50.0961,63985
Earthshaker,0.8387,49.7882,105559
Anti-Mage,0.834,51.272,107382
Phantom Lancer,0.7937,49.4727,54246
Riki,0.7854,46.1021,85098
Techies,0.7529,52.4459,21546
Centaur Warrunner,0.7302,45.7749,30958
Bristleback,0.7021,51.9829,87998
Bloodseeker,0.6809,47.4884,129977
Tusk,0.6619,58.1203,25664
Faceless Void,0.655,51.0751,68687
Rubick,0.5793,54.6293,45525
Windranger,0.5668,51.1323,83014
Earth Spirit,0.5489,58.0862,18247
Lycan,0.5469,53.0924,20809
Queen of Pain,0.5383,56.3335,45756
Spectre,0.5084,43.3077,50222
Bounty Hunter,0.4717,51.4986,52079
Arc Warden,0.3746,54.7631,15578
Tinker,0.3741,53.2209,49054
Bane,0.3609,54.143,16063
Kunkka,0.3175,52.3285,62077
Lion,0.3152,52.7183,61066
Elder Titan,0.3119,49.1975,14393
Winter Wyvern,0.282,50.7217,19814
Shadow Shaman,0.2655,46.7108,64925
Shadow Fiend,0.2524,52.2306,91251
Broodmother,0.2126,59.1019,18128
Spirit Breaker,0.194,44.5021,95391
Sven,0.1813,47.2865,119294
Treant Protector,0.1522,49.8042,21972
Magnus,0.146,55.4831,38828
Juggernaut,0.132,52.0888,120231
Ursa,0.1233,46.6056,63945
Omniknight,0.1184,45.7845,32262
Zeus,0.1036,43.4516,69132
Axe,0.0887,47.548,110808
Monkey King,0.0713,52.801,79701
Lifestealer,0.071,53.3756,51338
Gyrocopter,0.0593,53.5802,21982
Alchemist,0.0534,55.951,43211
Terrorblade,0.0521,50.8725,28080
Vengeful Spirit,0.0503,47.5562,38998
Skywrath Mage,0.0471,49.0496,37409
Shadow Demon,-0.0331,54.1454,13521
Oracle,-0.0433,58.6209,11153
Silencer,-0.0444,46.8518,52619
Mirana,-0.067,49.0323,82109
Ogre Magi,-0.1749,47.8438,53499
Lina,-0.185,54.3651,57020
Batrider,-0.1869,57.0868,14294
Drow Ranger,-0.2372,48.3213,70085
Invoker,-0.259,51.8377,153309
Dazzle,-0.3235,49.5833,28921
Nature's Prophet,-0.3275,56.4828,46083
Disruptor,-0.3462,50.0958,28695
Wraith King,-0.3543,43.6928,83524
Warlock,-0.3898,47.3112,21739
Abaddon,-0.4465,45.2264,24793
Luna,-0.517,47.9743,68276
Witch Doctor,-0.5443,49.3801,39123
Chen,-0.5513,56.9325,6794
Medusa,-0.5533,53.3599,32545
Troll Warlord,-0.5653,46.954,74754
Undying,-0.6062,47.9964,22660
Phoenix,-0.6288,50.0271,18448
Keeper of the Light,-0.6522,50.9351,31868
Razor,-0.6923,52.9678,28404
Viper,-0.7414,48.1699,100407
Morphling,-0.7481,52.8432,35259
Jakiro,-0.7507,45.9909,37627
Sand King,-0.7581,50.2312,51020
Venomancer,-0.8337,47.1542,59369
Death Prophet,-0.8757,52.7681,30092
Tidehunter,-0.9065,48.4904,32691
Lone Druid,-0.9131,59.7687,13753
Doom,-0.9149,53.2903,24678
Enchantress,-0.9471,54.9325,20547
Pugna,-0.9633,50.8966,31450
Sniper,-0.969,47.9758,182890
Leshrac,-0.9964,53.1596,13087
Huskar,-1.0502,51.0364,61266
Pudge,-1.0957,47.2891,164137
Crystal Maiden,-1.1458,44.6197,62479
Ancient Apparition,-1.1835,46.6234,27928
Dark Seer,-1.2013,51.6965,14618
Io,-1.3298,62.0193,11548
Meepo,-1.4021,53.2782,23595
Enigma,-1.4569,47.487,32889
Beastmaster,-1.4986,53.9471,11274
Underlord,-1.6184,42.2167,18983
Lich,-1.8442,44.0846,42584
Outworld Devourer,-1.9091,50.0963,42558
Timbersaw,-1.9515,51.7627,42745
Slark,-2.0274,50.4236,82503
Necrophos,-2.2664,41.7726,120926
