Enigma,3.6963,54.4369,1341
Weaver,3.5615,53.8677,2844
Dark Seer,3.2531,57.5456,603
Anti-Mage,3.1238,54.8128,5610
Storm Spirit,2.9543,56.5061,1952
Ember Spirit,2.5716,57.9746,1580
Tidehunter,2.5057,53.248,1016
Timbersaw,2.4893,57.1087,1674
Pugna,2.2998,55.5098,1216
Elder Titan,2.2177,51.8664,509
Shadow Demon,2.1764,56.7164,536
Medusa,2.1038,56.6096,1286
Rubick,2.0319,57.1722,1945
Brewmaster,2.0305,52.5943,424
Silencer,1.966,49.6062,2032
Warlock,1.9172,50.0687,727
Doom,1.6972,57.7027,740
Undying,1.5871,50.9831,712
Troll Warlord,1.5623,49.5295,3295
Phoenix,1.5267,53.6448,535
Skywrath Mage,1.5208,51.6846,1484
Morphling,1.5178,57.0921,1410
Omniknight,1.4251,48.3818,1236
Jakiro,1.3284,48.951,1287
Keeper of the Light,1.2637,53.7509,1373
Slardar,1.2473,51.5477,2326
Clockwerk,1.2052,51.2452,1044
Treant Protector,1.1903,52.4547,774
Juggernaut,1.1749,54.2906,5244
Lich,1.1625,48.2118,1454
Ursa,1.1548,48.3101,2515
Necrophos,1.1041,45.8396,4627
Leshrac,1.1037,56.5488,481
Alchemist,1.0993,57.9806,1654
Witch Doctor,0.9557,51.8138,1268
Luna,0.853,50.3672,2587
Oracle,0.8423,60.909,440
Invoker,0.8121,53.9636,7531
Death Prophet,0.7888,55.6874,1011
Shadow Shaman,0.7319,48.0017,2352
Earth Spirit,0.7287,60.3616,719
Wraith King,0.689,45.4331,2978
Io,0.6703,65.909,440
Viper,0.6257,50.5526,3800
Visage,0.5906,52.4421,389
Earthshaker,0.5662,50.2528,4746
Terrorblade,0.4831,52.4816,1088
Venomancer,0.4792,49.0633,2242
Disruptor,0.4565,51.1257,1066
Huskar,0.4494,53.8719,2686
Kunkka,0.4033,53.7372,2542
Abaddon,0.3904,47.1064,864
Queen of Pain,0.3374,57.7266,2129
Sven,0.2839,48.1871,5130
Lina,0.2422,56.0162,2460
Underlord,0.0919,43.6416,692
Beastmaster,0.0536,57.3566,401
Crystal Maiden,0.0403,46.069,2722
Bristleback,-0.0159,52.2343,3379
Templar Assassin,-0.0484,55.5288,1664
Bloodseeker,-0.1146,48.049,5459
Clinkz,-0.1654,52.1739,2392
Techies,-0.1957,52.9045,964
Meepo,-0.2319,55.296,1199
Lion,-0.2374,52.7954,2665
Riki,-0.2824,46.2453,4035
Naga Siren,-0.3756,57.7651,528
Magnus,-0.3862,56.465,1686
Axe,-0.4478,47.9011,4169
Shadow Fiend,-0.4969,52.4726,4206
Zeus,-0.497,44.2744,2419
Lone Druid,-0.5043,61.5257,603
Legion Commander,-0.5242,51.9485,5594
Nyx Assassin,-0.5402,50.7272,1650
Monkey King,-0.6743,53.1839,3392
Nature's Prophet,-0.685,57.8331,1966
Razor,-0.7558,53.8005,1013
Chen,-0.7595,59.4017,234
Pudge,-0.8275,48.3608,7870
Dragon Knight,-0.8405,50.3271,1681
Winter Wyvern,-0.859,50.0,778
Dazzle,-0.9521,50.0452,1105
Mirana,-0.9584,48.9226,3945
Lifestealer,-0.9613,53.3043,2073
Tusk,-1.0016,58.0223,1072
Ancient Apparition,-1.0461,47.7146,897
Ogre Magi,-1.1032,47.5233,2140
Windranger,-1.1218,50.6065,3462
Spectre,-1.1563,42.4518,1974
Bane,-1.1784,53.8613,505
Faceless Void,-1.1801,50.0676,2956
Slark,-1.3083,52.1797,3716
Puck,-1.4229,57.011,1626
Sand King,-1.4926,50.3748,2134
Tiny,-1.5484,53.1464,1891
Outworld Devourer,-1.6043,51.1111,1620
Vengeful Spirit,-1.612,46.71,1535
Lycan,-1.6997,52.7272,825
Tinker,-1.7917,52.2867,2427
Night Stalker,-2.0051,49.1139,1185
Arc Warden,-2.0557,54.3293,589
Bounty Hunter,-2.0827,51.0511,2188
Enchantress,-2.1121,54.6632,772
Spirit Breaker,-2.2671,42.7955,3942
Centaur Warrunner,-2.3461,43.4703,1095
Chaos Knight,-2.6438,43.1017,1986
Gyrocopter,-2.7477,51.5901,849
Sniper,-2.7873,47.4931,9155
Phantom Lancer,-3.0168,47.1825,2378
Batrider,-3.4318,53.9735,604
Phantom Assassin,-3.7466,43.9769,7795
Broodmother,-4.1389,56.0773,724
