Phantom Lancer,2.3407,53.4105,7257
Chaos Knight,2.0842,47.4224,5257
Brewmaster,1.9409,52.9729,740
Faceless Void,1.5996,53.4365,6329
Dazzle,1.4627,53.1137,2216
Jakiro,1.4197,49.0496,2999
Troll Warlord,1.393,49.535,5592
Ogre Magi,1.3453,50.2034,4669
Undying,1.3105,51.0124,1531
Vengeful Spirit,1.3002,49.9424,2607
Slardar,1.0996,51.8435,4936
Riki,1.0872,47.5607,6703
Anti-Mage,1.0578,53.5029,10177
Sand King,1.0503,53.7476,5310
Phantom Assassin,1.0007,48.204,12723
Crystal Maiden,0.9718,46.7759,5614
Centaur Warrunner,0.9684,46.6874,2249
Meepo,0.9057,58.7333,3458
Spirit Breaker,0.8811,45.6,7000
Necrophos,0.8659,45.2336,10742
Lich,0.8513,47.771,3320
Wraith King,0.8404,45.4259,4766
Bloodseeker,0.7796,49.0126,10128
Outworld Devourer,0.7034,54.222,3233
Slark,0.668,54.8972,6279
Ancient Apparition,0.6501,49.6,2375
Lycan,0.6158,56.0171,1396
Death Prophet,0.5983,56.3561,1707
Shadow Fiend,0.5966,54.2842,8041
Underlord,0.5519,43.5519,1357
Elder Titan,0.5426,50.3831,1044
Witch Doctor,0.5345,51.8652,2761
Luna,0.4834,50.2886,4331
Skywrath Mage,0.4638,50.9608,2810
Ursa,0.4341,47.6603,3804
Windranger,0.4102,52.6689,6332
Abaddon,0.3939,47.1288,1428
Warlock,0.266,48.3809,1575
Omniknight,0.2633,47.0978,2412
Lion,0.179,54.0103,5623
Broodmother,0.1021,63.0221,1628
Zeus,-0.0683,44.3145,4705
Pudge,-0.132,49.1568,16248
Night Stalker,-0.1327,51.536,2604
Pugna,-0.1561,53.7977,2699
Bristleback,-0.1981,52.5969,5468
Storm Spirit,-0.2336,54.0895,4108
Terrorblade,-0.2542,52.3118,2206
Silencer,-0.2588,47.1423,5494
Morphling,-0.3165,56.2781,2891
Keeper of the Light,-0.3534,52.841,3467
Axe,-0.3915,48.0202,7905
Venomancer,-0.4024,48.204,5568
Mirana,-0.4055,49.7213,8614
Weaver,-0.4156,50.1987,4779
Monkey King,-0.4293,54.2436,6657
Spectre,-0.4602,42.4517,4299
Drow Ranger,-0.5376,49.7471,4746
Bounty Hunter,-0.5957,53.1834,3691
Treant Protector,-0.6165,50.996,1506
Enigma,-0.6212,50.345,3043
Disruptor,-0.625,50.3832,2870
Shadow Shaman,-0.6351,46.4822,5060
Invoker,-0.6987,53.3258,15214
Legion Commander,-0.7239,52.3442,10259
Bane,-0.7607,55.2973,1076
Doom,-0.7905,56.3719,1742
Arc Warden,-0.8397,56.8125,1211
Timbersaw,-0.8728,54.5537,3283
Dragon Knight,-0.8778,50.6782,2654
Nature's Prophet,-0.8998,59.3487,4637
Nyx Assassin,-0.9185,50.805,4161
Queen of Pain,-0.9613,57.7898,4416
Viper,-1.0719,49.1212,5633
Medusa,-1.0867,54.0417,2202
Tidehunter,-1.2608,49.6641,2531
Sniper,-1.3888,48.8297,13031
Tiny,-1.4091,54.0963,3320
Juggernaut,-1.4204,52.4677,9543
Visage,-1.4801,50.7152,769
Huskar,-1.4894,52.4531,3893
Kunkka,-1.539,52.5282,5755
Gyrocopter,-1.5456,53.4693,1225
Winter Wyvern,-1.5735,49.5711,1749
Lina,-1.59,55.1448,4626
Razor,-1.624,53.5347,1556
Leshrac,-1.6935,54.3337,773
Dark Seer,-1.7198,53.0906,1181
Enchantress,-1.7505,55.8748,1183
Magnus,-1.8701,56.5056,4327
Sven,-1.8759,46.0456,8889
Shadow Demon,-1.9288,53.2821,1173
Clinkz,-2.0107,50.7163,3490
Naga Siren,-2.0642,57.1271,912
Oracle,-2.0784,59.6033,958
Puck,-2.1347,57.8844,3583
Alchemist,-2.1564,55.6724,3138
Clockwerk,-2.1849,47.7821,2773
Beastmaster,-2.2495,55.9077,694
Batrider,-2.2886,56.5749,1308
Phoenix,-2.4387,49.9628,1347
Tinker,-2.5673,52.2024,4722
Ember Spirit,-2.622,53.6664,3682
Earth Spirit,-2.6688,59.1856,2063
Lifestealer,-2.9162,51.9876,3874
Rubick,-2.969,53.5021,6753
Io,-3.1499,63.9714,841
Templar Assassin,-3.2052,52.9635,2632
Chen,-3.262,58.2987,482
Tusk,-3.6785,56.3725,1836
Lone Druid,-4.081,59.1535,1016
Techies,-4.1184,49.162,1432
