Meepo,4.8321,60.3485,8721
Chaos Knight,3.1751,49.2509,17957
Phantom Lancer,1.7914,51.5462,17332
Tidehunter,1.5357,52.0103,12411
Axe,1.3517,49.8763,31951
Bane,1.3479,56.0287,6270
Treant Protector,1.2361,51.9586,8603
Morphling,1.1525,55.6303,13818
Sand King,1.0934,53.0506,20356
Winter Wyvern,1.0653,52.5423,7729
Shadow Demon,1.0394,56.1211,5481
Crystal Maiden,1.0244,47.9587,23368
Underlord,1.0223,46.218,7906
Slark,0.9278,54.2156,26046
Spectre,0.9243,45.0762,18218
Spirit Breaker,0.9085,46.4559,30812
Dazzle,0.8971,51.8621,10472
Centaur Warrunner,0.8464,47.1685,11531
Magnus,0.8378,56.9883,15905
Ogre Magi,0.8357,49.9709,18937
Omniknight,0.8192,47.7243,12260
Enigma,0.7681,50.816,12254
Earthshaker,0.6295,50.688,44545
Rubick,0.6274,55.5635,19358
Razor,0.6009,55.1414,9472
Shadow Shaman,0.595,48.2334,21794
Lion,0.5912,53.9437,20108
Batrider,0.5346,58.5742,5639
Visage,0.4763,51.9831,4034
Nyx Assassin,0.4472,51.8644,16198
Oracle,0.4324,59.8449,4774
Slardar,0.42,50.764,18978
Arc Warden,0.4074,55.6759,6369
Shadow Fiend,0.3667,53.319,30430
Luna,0.3592,49.9598,19942
Undying,0.3032,50.0499,9013
Outworld Devourer,0.2563,53.2262,13948
Techies,0.2421,52.9096,6719
Ancient Apparition,0.2376,49.206,10769
Faceless Void,0.2223,51.6938,27452
Witch Doctor,0.1834,51.1736,13888
Disruptor,0.1777,51.6672,12056
Invoker,0.1576,53.1994,51243
Viper,0.107,50.0834,27548
Kunkka,0.093,53.0764,25695
Abaddon,0.0632,47.0167,9084
Night Stalker,0.0527,51.5096,12089
Puck,0.046,58.1333,11668
Warlock,0.0371,48.9116,8499
Sven,0.0287,48.3039,32635
Bristleback,-0.0132,52.311,23431
Broodmother,-0.0621,59.4848,6911
Terrorblade,-0.0636,51.7858,10275
Bounty Hunter,-0.0643,51.9927,17764
Queen of Pain,-0.0695,56.553,16641
Naga Siren,-0.0773,56.9668,5196
Jakiro,-0.101,47.857,13346
Clockwerk,-0.1034,49.968,12502
Keeper of the Light,-0.1048,52.4893,12654
Phoenix,-0.1315,51.5777,7986
Zeus,-0.1334,44.5749,21032
Tusk,-0.139,58.0376,10314
Riki,-0.1843,46.4208,26822
Legion Commander,-0.2194,52.3761,38319
Phantom Assassin,-0.2312,47.3199,49905
Pudge,-0.2469,49.1859,59275
Lich,-0.2631,46.909,15319
Dragon Knight,-0.2713,50.8024,14393
Monkey King,-0.285,53.4143,27648
Mirana,-0.2951,49.9259,31044
Silencer,-0.3603,47.7487,20811
Pugna,-0.3817,52.4783,12266
Medusa,-0.4355,54.3746,11921
Vengeful Spirit,-0.4442,48.2556,14017
Necrophos,-0.5004,44.6997,39866
Bloodseeker,-0.5026,47.5885,41531
Venomancer,-0.5204,48.6334,23782
Tinker,-0.5643,53.2604,17206
Windranger,-0.6173,51.0526,27834
Dark Seer,-0.6189,53.2528,5964
Skywrath Mage,-0.6644,49.462,13570
Gyrocopter,-0.6745,53.7435,8094
Storm Spirit,-0.7113,52.427,16213
Leshrac,-0.7483,54.3149,5284
Troll Warlord,-0.7947,47.9132,23553
Ursa,-0.8445,46.8961,19057
Chen,-0.8665,57.369,2653
Timbersaw,-0.8701,53.7527,14576
Juggernaut,-0.9213,52.1229,34668
Tiny,-0.9658,53.7125,15838
Weaver,-0.9821,49.2056,21652
Earth Spirit,-0.9833,57.3443,8578
Ember Spirit,-0.9968,53.7065,15041
Death Prophet,-1.0053,53.529,8855
Templar Assassin,-1.07,54.4426,12290
Lina,-1.0705,54.3894,19934
Doom,-1.1124,53.9946,9688
Drow Ranger,-1.2993,48.4407,21901
Huskar,-1.368,51.7225,18955
Wraith King,-1.3935,44.0251,22946
Alchemist,-1.4202,55.3099,14388
Beastmaster,-1.7051,54.5964,4634
Anti-Mage,-1.7301,49.9518,35282
Brewmaster,-1.9132,48.9754,4929
Sniper,-2.073,48.0779,50077
Enchantress,-2.1756,54.5225,7153
Clinkz,-2.3281,49.4892,17034
Nature's Prophet,-2.3322,55.3301,16763
Lifestealer,-2.3708,51.9222,16673
Lycan,-2.4553,51.0351,7728
Io,-2.716,61.1943,5342
Lone Druid,-3.2218,58.0742,5276
