Shadow Demon,6.1517,55.4404,386
Visage,5.4386,52.1912,251
Terrorblade,4.3922,51.1889,799
Clockwerk,4.1332,49.0171,814
Dark Seer,3.898,52.7624,362
Winter Wyvern,3.6187,49.4047,504
Sand King,3.5565,50.1632,1531
Timbersaw,3.5355,52.7397,1022
Vengeful Spirit,3.4519,46.792,904
Underlord,3.3879,42.0841,499
Necrophos,3.3442,42.9749,3395
Broodmother,2.7291,57.5883,481
Undying,2.673,46.9026,565
Tinker,2.1978,50.9393,1384
Chen,2.1083,56.8965,174
Venomancer,2.0649,45.4684,1964
Razor,2.0623,51.2998,577
Spirit Breaker,2.0617,42.0978,2126
Shadow Shaman,2.0182,44.1998,1681
Centaur Warrunner,1.9849,42.9133,762
Pugna,1.9413,49.8181,825
Earthshaker,1.9048,46.3335,3682
Batrider,1.8628,54.0284,422
Weaver,1.8383,46.9492,1557
Jakiro,1.7488,44.2748,917
Windranger,1.6712,48.1091,2089
Troll Warlord,1.6529,44.5417,1942
Naga Siren,1.6128,54.2424,330
Mirana,1.589,46.221,2633
Beastmaster,1.5766,53.4351,262
Silencer,1.4652,43.9566,1754
Phantom Lancer,1.4264,46.4825,1521
Gyrocopter,1.2864,50.3921,510
Phantom Assassin,1.2454,43.3551,4131
Lycan,1.073,50.2192,456
Queen of Pain,1.0352,52.9328,1415
Earth Spirit,1.03,55.2044,538
Ancient Apparition,1.0167,44.67,788
Warlock,0.9791,43.9501,562
Zeus,0.9562,40.7944,1586
Keeper of the Light,0.8736,48.0961,998
Dragon Knight,0.8539,46.8487,952
Slardar,0.838,45.9606,1473
Spectre,0.8168,39.5138,1440
Techies,0.7332,48.5239,542
Tusk,0.7308,54.1455,591
Disruptor,0.7173,46.1783,942
Templar Assassin,0.6872,50.8149,1043
Pudge,0.646,44.5606,4780
Magnus,0.6379,52.0798,1202
Bane,0.6221,50.4087,367
Brewmaster,0.5638,45.8333,288
Bloodseeker,0.5207,43.5821,3389
Lich,0.4872,42.4657,1022
Treant Protector,0.4659,46.4788,497
Nature's Prophet,0.4375,53.4834,1421
Rubick,0.354,50.1661,1505
Meepo,0.3391,50.4651,860
Crystal Maiden,0.2933,41.3726,1559
Lion,0.2381,47.9883,1715
Phoenix,0.2319,47.0715,461
Medusa,0.1769,49.2397,855
Storm Spirit,-0.0829,48.1157,1486
Invoker,-0.1022,47.8777,4877
Tidehunter,-0.1214,45.3503,785
Skywrath Mage,-0.1233,44.8311,977
Tiny,-0.1394,49.2035,1130
Luna,-0.1492,44.2393,1571
Doom,-0.1629,50.4573,656
Chaos Knight,-0.1792,40.6413,1341
Faceless Void,-0.2791,45.7581,2216
Ursa,-0.3408,41.8168,1387
Kunkka,-0.3754,47.6768,1894
Axe,-0.3781,42.9126,2575
Wraith King,-0.395,39.4736,1710
Dazzle,-0.4996,45.3389,708
Legion Commander,-0.5319,46.7085,3342
Witch Doctor,-0.5944,45.0536,839
Viper,-0.6289,44.2032,1889
Shadow Fiend,-0.6527,47.0633,2605
Nyx Assassin,-0.6786,45.3818,1375
Puck,-0.7216,52.2232,1057
Lone Druid,-0.8047,55.4707,393
Slark,-0.8293,47.3659,2088
Enchantress,-0.841,50.5175,483
Enigma,-0.8795,44.5544,909
Abaddon,-0.8907,40.7599,579
Monkey King,-0.9298,47.6316,2259
Ogre Magi,-1.0983,42.4657,1387
Elder Titan,-1.1076,43.2352,340
Sniper,-1.1865,43.6941,4028
Bounty Hunter,-1.4106,46.4727,1375
Omniknight,-1.5767,40.31,774
Bristleback,-1.6648,45.4022,1740
Morphling,-1.8186,48.3383,993
Io,-1.8202,57.5657,304
Lina,-2.1197,48.2641,1469
Alchemist,-2.1646,49.2592,1080
Lifestealer,-2.1662,46.7866,1167
Riki,-2.2944,39.351,2188
Death Prophet,-2.3029,47.138,594
Oracle,-2.559,51.9061,341
Sven,-2.5993,40.4271,2622
Drow Ranger,-2.908,42.0253,1580
Outworld Devourer,-2.9095,44.5709,1142
Arc Warden,-2.9574,48.0392,408
Anti-Mage,-3.1205,43.7871,3026
Juggernaut,-3.3394,44.8066,3129
Night Stalker,-3.9493,41.9795,879
Clinkz,-4.3158,42.7993,1236
Huskar,-5.2235,42.9296,1379
Leshrac,-5.5842,44.1935,310
