Visage,3.8627,48.6482,6214
Earth Spirit,2.642,54.2848,9627
Underlord,2.3591,40.7516,9872
Elder Titan,2.2298,45.4774,7153
Outworld Devourer,2.2291,48.4503,19166
Silencer,2.0745,43.3338,26222
Timbersaw,1.8573,49.7189,20638
Phoenix,1.8368,46.8029,9978
Meepo,1.7674,50.6341,12772
Rubick,1.7004,49.9536,22659
Omniknight,1.6105,41.7195,17016
Ember Spirit,1.6095,49.5603,20129
Viper,1.5976,44.7338,44919
Tidehunter,1.5853,45.3235,14787
Lycan,1.5061,48.2479,11472
Storm Spirit,1.469,47.8423,22131
Warlock,1.4301,43.5245,11837
Faceless Void,1.3595,46.0549,35006
Tiny,1.3259,49.234,24022
Winter Wyvern,1.3025,46.0504,10634
Techies,1.2628,47.198,11706
Dark Seer,1.1943,48.3475,8321
Enigma,1.1886,44.4843,16689
Tusk,1.1779,52.6768,13729
Io,1.176,58.4629,6558
Invoker,1.1687,47.3951,74438
Lone Druid,1.1184,55.7898,7729
Jakiro,1.0112,42.1758,18347
Death Prophet,1.0097,48.8145,14088
Slardar,0.9161,44.5092,25388
Oracle,0.8898,53.6486,6660
Bounty Hunter,0.8652,46.1549,28491
Clockwerk,0.8511,44.1579,15474
Spectre,0.8384,38.183,23644
Sniper,0.7817,43.8587,85992
Dragon Knight,0.7625,45.0674,20547
Templar Assassin,0.7596,49.5407,18944
Razor,0.7525,48.5782,14735
Queen of Pain,0.7498,50.6702,24470
Monkey King,0.7495,47.6819,40680
Ancient Apparition,0.7272,42.9286,14976
Doom,0.6919,49.0774,13116
Abaddon,0.6764,40.8277,12516
Sven,0.6761,42.1527,49342
Treant Protector,0.6461,44.623,11633
Brewmaster,0.6191,44.7475,7111
Undying,0.582,43.5592,11536
Clinkz,0.5784,45.5542,29264
Lich,0.4664,40.8355,22118
Anti-Mage,0.4603,45.2453,52832
Juggernaut,0.3479,46.5682,54550
Shadow Demon,0.332,48.712,7881
Necrophos,0.3317,38.672,58166
Huskar,0.3286,46.6201,31259
Witch Doctor,0.3251,44.5671,20192
Skywrath Mage,0.3243,43.6675,22069
Morphling,0.3023,48.0969,19548
Bloodseeker,0.2985,41.5693,65529
Kunkka,0.2974,46.5697,32665
Drow Ranger,0.2877,43.1967,36681
Puck,0.2509,51.6742,16604
Lion,0.2416,46.8924,31150
Riki,0.2274,40.0509,44316
Broodmother,0.2012,53.0978,10362
Nyx Assassin,0.1355,44.8315,21757
Zeus,0.1317,38.0329,33024
Venomancer,0.1304,42.4903,31000
Spirit Breaker,0.0905,38.9188,47540
Disruptor,0.0732,44.8351,15867
Beastmaster,0.0707,49.6741,6444
Dazzle,0.0416,44.2803,15167
Earthshaker,0.0395,43.4138,53013
Alchemist,-0.0574,49.9538,21678
Troll Warlord,-0.0825,41.833,39507
Bane,-0.0861,47.8874,9633
Magnus,-0.1097,49.4006,19188
Weaver,-0.1103,43.2871,33622
Ursa,-0.1654,40.7707,35187
Lina,-0.2137,48.5043,31659
Centaur Warrunner,-0.2272,39.3089,15541
Night Stalker,-0.3167,44.4002,16349
Arc Warden,-0.346,48.2175,8808
Mirana,-0.3765,43.108,42412
Keeper of the Light,-0.5289,45.3531,17388
Luna,-0.5829,42.296,31802
Axe,-0.5842,41.3213,46211
Gyrocopter,-0.6059,47.0853,12180
Terrorblade,-0.6255,44.4844,14459
Shadow Shaman,-0.6493,40.2745,32487
Vengeful Spirit,-0.6824,41.2391,20643
Shadow Fiend,-0.7295,45.5813,45365
Batrider,-0.7388,50.627,8213
Wraith King,-0.7718,37.828,35627
Ogre Magi,-0.7886,41.6473,26285
Lifestealer,-0.8074,46.7162,26327
Tinker,-0.927,46.1998,25920
Leshrac,-0.9534,47.3874,8019
Nature's Prophet,-0.9753,49.9599,26207
Pudge,-1.0476,41.7471,84916
Medusa,-1.078,47.0327,16446
Crystal Maiden,-1.1751,39.0811,34436
Chen,-1.2321,50.3351,4327
Bristleback,-1.3055,44.3528,37718
Sand King,-1.46,43.8617,26449
Legion Commander,-1.462,44.5244,58049
Slark,-1.5016,45.2033,40205
Naga Siren,-1.5506,48.7903,7399
Chaos Knight,-1.6026,37.8211,24563
Windranger,-2.0486,42.9771,46420
Pugna,-2.0971,44.057,18358
Phantom Lancer,-2.8819,40.2607,26229
Phantom Assassin,-4.4232,36.9481,80881
