Weaver,4.4585,52.9931,135242
Lifestealer,2.6177,55.7223,87534
Slark,2.2201,54.263,159567
Invoker,1.6756,53.237,310008
Omniknight,1.4603,46.3851,67319
Medusa,1.4367,55.225,62019
Undying,1.4333,49.5642,39242
Clockwerk,1.3111,49.7758,61576
Abaddon,1.252,46.2282,45377
Witch Doctor,1.1163,50.6044,75770
Juggernaut,1.0742,52.6662,218979
Bristleback,0.8816,51.805,130165
Dazzle,0.8529,50.3209,58117
Razor,0.8427,54.3001,46068
Bounty Hunter,0.8089,51.4554,97459
Wraith King,0.7434,43.926,131314
Queen of Pain,0.7329,56.5007,96243
Ancient Apparition,0.6968,47.919,56873
Windranger,0.6957,50.8448,172698
Warlock,0.6713,47.7713,43727
Ogre Magi,0.6581,48.0876,103355
Legion Commander,0.651,51.8169,230741
Lycan,0.55,52.8011,35414
Pugna,0.5267,52.0823,67687
Chen,0.5103,58.0079,11807
Ursa,0.4876,46.2878,107149
Vengeful Spirit,0.4671,47.3237,78637
Slardar,0.4584,49.2146,98871
Keeper of the Light,0.4429,51.698,72935
Necrophos,0.4376,43.4302,249110
Enigma,0.4211,48.847,63490
Rubick,0.408,54.3197,119579
Spirit Breaker,0.3726,43.8502,174414
Venomancer,0.3387,47.6925,130813
Silencer,0.2909,46.4745,126749
Sniper,0.281,48.5217,303427
Shadow Fiend,0.2773,51.9214,177027
Lich,0.2595,45.4305,84703
Phoenix,0.2204,50.4797,38354
Gyrocopter,0.2126,53.5031,38394
Shadow Demon,0.1529,54.1948,28857
Treant Protector,0.1005,49.2616,41036
Batrider,0.0981,57.435,28312
Templar Assassin,0.0635,54.5347,67192
Jakiro,0.0583,46.093,74675
Arc Warden,0.0306,54.2723,31950
Terrorblade,0.0304,50.4369,51724
Disruptor,0.0262,50.0361,70637
Nyx Assassin,-0.011,49.927,94628
Elder Titan,-0.0112,48.3061,27452
Zeus,-0.0183,42.445,117321
Sand King,-0.0793,50.4961,104503
Kunkka,-0.097,51.5922,132799
Tusk,-0.1156,57.3434,46579
Techies,-0.125,51.1795,37515
Shadow Shaman,-0.1451,45.6069,124481
Bloodseeker,-0.1569,46.0493,243810
Beastmaster,-0.1719,55.1785,19658
Underlord,-0.1923,42.7398,37258
Spectre,-0.2011,41.5731,108878
Lina,-0.2311,54.1456,110803
Sven,-0.2519,46.209,187695
Viper,-0.2614,48.0758,152120
Huskar,-0.2732,51.4466,97987
Timbersaw,-0.2821,53.1756,71576
Drow Ranger,-0.2877,47.7031,120319
Monkey King,-0.3121,52.1369,160464
Puck,-0.3212,57.0874,71620
Mirana,-0.3389,48.2357,185118
Crystal Maiden,-0.3591,44.6311,127559
Ember Spirit,-0.3729,53.2245,88709
Magnus,-0.377,54.8805,84591
Winter Wyvern,-0.4003,49.5778,44296
Troll Warlord,-0.4112,46.452,141985
Clinkz,-0.4473,49.8261,100668
Morphling,-0.4924,52.9108,80613
Brewmaster,-0.5319,48.7657,22766
Nature's Prophet,-0.5716,56.218,93968
Centaur Warrunner,-0.5795,43.6171,58305
Dragon Knight,-0.5883,48.9248,68687
Bane,-0.645,52.8962,32180
Pudge,-0.6976,47.0831,362769
Luna,-0.7336,47.1743,109265
Doom,-0.7389,53.289,48950
Death Prophet,-0.8553,52.4847,45135
Night Stalker,-0.8716,49.0574,60419
Dark Seer,-0.8897,51.7204,29033
Oracle,-0.9016,57.9442,24867
Earthshaker,-0.9134,47.6117,238687
Chaos Knight,-0.9147,43.1691,86439
Outworld Devourer,-0.9361,50.6997,77385
Lion,-0.9553,51.1286,112927
Skywrath Mage,-0.9769,47.4529,76423
Storm Spirit,-1.0598,50.7463,99621
Phantom Assassin,-1.0845,44.6791,308108
Phantom Lancer,-1.1186,47.0069,87719
Earth Spirit,-1.126,56.4587,40743
Tidehunter,-1.1398,47.7011,59357
Axe,-1.1494,45.7119,172653
Tinker,-1.1509,51.4073,104987
Io,-1.1538,62.5899,21823
Alchemist,-1.2467,54.5256,77723
Leshrac,-1.4037,52.4837,23110
Visage,-1.4107,48.5193,20464
Riki,-1.4192,43.1853,159341
Lone Druid,-1.555,59.3167,25760
Anti-Mage,-1.5983,48.5349,255492
Enchantress,-1.7401,53.945,35006
Tiny,-1.9634,51.5162,81945
Naga Siren,-2.5308,53.597,25910
Broodmother,-2.8034,56.0428,33105
Meepo,-3.3029,51.0751,44877
