Venomancer,7.8749,53.1526,1919
Pugna,5.2623,55.1521,1019
Phoenix,5.1869,54.0983,488
Bounty Hunter,5.1418,54.9499,1798
Ember Spirit,5.046,57.0703,1379
Zeus,4.7955,46.3266,2137
Underlord,4.7216,45.3307,514
Undying,4.0055,50.1557,642
Queen of Pain,3.9249,57.8461,1625
Jakiro,3.2941,47.7045,1002
Anti-Mage,3.1543,51.5015,4229
Centaur Warrunner,2.9675,45.7236,912
Morphling,2.9442,55.1207,1201
Silencer,2.89,47.2727,1650
Magnus,2.8539,56.2974,1318
Keeper of the Light,2.7869,51.9468,1053
Alchemist,2.7772,56.25,1472
Lich,2.7432,46.5463,1274
Doom,2.5465,55.1928,674
Treant Protector,2.5315,50.4885,614
Tiny,2.3787,53.7084,1564
Skywrath Mage,2.3621,49.2129,1207
Batrider,2.3439,56.5031,469
Visage,2.21,50.7739,323
Clockwerk,2.1621,48.9142,875
Tidehunter,2.0804,49.4821,869
Disruptor,2.0255,49.4252,870
Ogre Magi,2.0189,47.4037,1637
Earth Spirit,2.017,58.1439,528
Timbersaw,1.943,53.1291,1502
Death Prophet,1.7919,53.2766,824
Sniper,1.7535,48.0904,7253
Viper,1.6848,48.2332,3396
Lone Druid,1.6604,60.0456,438
Bloodseeker,1.5536,46.3166,5104
Nyx Assassin,1.5199,49.4996,1299
Arc Warden,1.4341,54.5064,466
Abaddon,1.4096,44.8871,753
Clinkz,1.3477,50.3076,2113
Rubick,1.258,53.0136,1460
Omniknight,1.255,44.9183,1102
Earthshaker,1.1785,47.5468,3893
Crystal Maiden,1.1161,43.9314,2101
Terrorblade,1.0853,49.7425,971
Io,1.0711,62.7027,370
Storm Spirit,1.0449,51.18,1483
Sand King,0.965,49.5163,1654
Slark,0.9234,50.9783,2913
Night Stalker,0.89,48.7642,1052
Spectre,0.6624,41.1384,1546
Enigma,0.6611,47.9816,1090
Luna,0.4958,46.6983,2105
Techies,0.4854,50.1981,757
Mirana,0.4633,47.0144,2914
Dragon Knight,0.392,48.2336,1472
Leshrac,0.3778,52.2857,350
Lion,0.3363,50.0,2086
Lina,0.3134,52.6447,2004
Kunkka,0.2749,50.248,2016
Bane,0.2396,51.9916,477
Spirit Breaker,0.1576,41.9519,3330
Chen,0.1086,56.872,211
Warlock,0.0384,44.8387,620
Elder Titan,0.0095,46.2264,424
Puck,-0.0416,54.9206,1260
Ursa,-0.1083,43.6687,2693
Gyrocopter,-0.1268,50.9009,666
Enchantress,-0.1873,53.2485,708
Axe,-0.2931,44.7604,4008
Tusk,-0.3508,55.0995,804
Pudge,-0.3763,45.4709,6094
Faceless Void,-0.3834,47.5352,2556
Slardar,-0.3837,46.6008,1824
Medusa,-0.4857,50.502,996
Drow Ranger,-0.5437,46.128,2686
Templar Assassin,-0.5622,51.5412,1395
Invoker,-0.6186,49.3539,5882
Juggernaut,-0.639,49.2157,4208
Lifestealer,-0.6676,50.2111,1894
Meepo,-0.8069,51.2359,890
Nature's Prophet,-0.9186,54.1666,1728
Razor,-0.9236,50.2192,912
Beastmaster,-0.9253,52.8301,318
Outworld Devourer,-0.9983,48.3804,1451
Tinker,-1.0608,49.6402,1946
Shadow Fiend,-1.1285,48.5052,3412
Dazzle,-1.2796,46.3812,981
Sven,-1.3021,43.4192,4422
Witch Doctor,-1.4117,46.0727,1044
Vengeful Spirit,-1.4875,43.5855,1216
Wraith King,-1.6189,39.9109,2696
Necrophos,-1.7513,39.9532,4280
Shadow Demon,-1.7816,49.199,437
Phantom Assassin,-1.7947,42.4797,6662
Winter Wyvern,-1.8083,45.7006,628
Dark Seer,-1.8367,48.7858,453
Riki,-1.9219,41.4166,3600
Troll Warlord,-1.939,42.774,3266
Monkey King,-1.9966,48.519,2836
Legion Commander,-2.0059,47.2181,4763
Brewmaster,-2.2006,44.8,375
Naga Siren,-2.258,52.2565,421
Windranger,-2.3598,46.0628,3213
Lycan,-2.4223,48.5714,700
Bristleback,-2.5397,46.3949,3190
Phantom Lancer,-2.8006,44.0786,2187
Shadow Shaman,-3.0593,40.968,2004
Weaver,-3.2167,43.7682,2399
Oracle,-3.3487,53.0769,390
Ancient Apparition,-3.7738,41.5111,1125
Broodmother,-4.566,52.1462,629
Chaos Knight,-5.3529,37.1019,1884
