Visage,3.6747,52.2449,21047
Meepo,3.608,56.5913,44141
Tidehunter,1.9804,49.2813,57261
Warlock,1.9356,47.4388,41504
Chaos Knight,1.9296,44.4721,78710
Chen,1.8446,57.8121,12551
Centaur Warrunner,1.508,44.179,53874
Io,1.5065,63.9661,24724
Abaddon,1.3249,44.6838,41581
Enigma,1.2934,48.0846,61400
Oracle,1.2306,58.5349,25255
Beastmaster,1.216,54.9473,19071
Sand King,1.1748,50.089,102789
Lich,1.1447,44.7078,79798
Spectre,1.1392,41.4169,92788
Leshrac,1.067,53.4056,22507
Spirit Breaker,1.0382,42.9033,161076
Phantom Lancer,1.0303,47.5514,81640
Underlord,1.0215,42.3807,35981
Shadow Shaman,0.9439,45.0691,117739
Crystal Maiden,0.9195,44.2665,127383
Broodmother,0.903,58.1832,30703
Dazzle,0.8684,48.6656,55793
Axe,0.8681,46.046,165213
Ogre Magi,0.85,46.6165,103991
Storm Spirit,0.8395,50.987,86675
Terrorblade,0.809,49.5695,45538
Legion Commander,0.7834,50.2668,212261
Anti-Mage,0.7606,49.1219,199133
Ancient Apparition,0.7193,46.2687,57326
Shadow Demon,0.7017,53.1588,32939
Lion,0.6564,51.0723,111532
Dark Seer,0.6261,51.6344,28419
Earthshaker,0.6177,47.4039,235913
Morphling,0.6049,52.2997,68637
Pugna,0.6041,50.4645,60809
Witch Doctor,0.5472,48.346,69199
Nyx Assassin,0.5379,48.8146,83770
Vengeful Spirit,0.5352,45.7813,66621
Disruptor,0.505,48.8489,67504
Night Stalker,0.4615,48.7707,56581
Necrophos,0.4167,41.8208,230617
Queen of Pain,0.3898,54.4058,88053
Troll Warlord,0.3472,45.5977,120528
Pudge,0.33,46.3577,345504
Mirana,0.3119,47.2143,175362
Luna,0.2787,46.5618,98484
Elder Titan,0.2574,46.9235,25695
Skywrath Mage,0.2452,47.0631,69836
Jakiro,0.2229,44.6338,68764
Viper,0.2138,46.9096,134953
Nature's Prophet,0.179,55.2685,91468
Lone Druid,0.1488,59.3589,24399
Shadow Fiend,0.1334,50.1,164892
Slark,0.1311,50.5002,137437
Venomancer,0.1079,45.8056,125074
Faceless Void,0.0782,48.4077,132799
Zeus,0.0718,40.9592,106728
Brewmaster,0.0662,47.7319,21340
Monkey King,0.045,50.7962,149192
Treant Protector,0.039,47.5253,40046
Lycan,-0.0587,50.46,32386
Arc Warden,-0.0632,52.4666,30669
Phantom Assassin,-0.0765,43.9808,264554
Earth Spirit,-0.0912,55.9281,44255
Winter Wyvern,-0.1133,48.2044,40629
Phoenix,-0.1279,48.429,37079
Techies,-0.1308,49.5,36705
Keeper of the Light,-0.1361,49.413,71220
Bane,-0.148,51.7192,30594
Batrider,-0.1844,55.4104,27105
Wraith King,-0.1857,41.4434,111306
Tiny,-0.1867,51.6362,74593
Dragon Knight,-0.2,47.6714,62077
Clockwerk,-0.2333,46.4977,59433
Undying,-0.2549,46.1174,38931
Lina,-0.2828,52.3843,103699
Naga Siren,-0.3078,54.1271,21213
Bristleback,-0.3192,48.9409,117186
Omniknight,-0.373,42.8467,63454
Silencer,-0.4062,44.1629,109644
Magnus,-0.4107,53.1324,82029
Riki,-0.4155,42.59,139030
Ursa,-0.4251,43.7721,91556
Tinker,-0.4273,50.453,99114
Windranger,-0.4746,48.0294,152544
Bloodseeker,-0.4938,44.1166,216535
Razor,-0.5028,51.1722,40350
Rubick,-0.5093,51.6823,119683
Gyrocopter,-0.5424,50.9879,34112
Enchantress,-0.5959,53.4302,32665
Medusa,-0.6094,51.3554,53009
Slardar,-0.618,46.4659,96135
Templar Assassin,-0.62,52.1072,60932
Sven,-0.6617,44.2024,162009
Huskar,-0.6647,49.3714,85270
Ember Spirit,-0.6699,51.1896,80151
Drow Ranger,-0.7599,45.603,104344
Timbersaw,-0.7836,50.9775,71610
Doom,-0.8708,51.4188,43910
Bounty Hunter,-0.913,48.0362,88837
Tusk,-0.9819,54.7552,47190
Weaver,-1.0579,45.8003,107700
Death Prophet,-1.1308,50.4933,40336
Invoker,-1.1619,48.9806,312250
Clinkz,-1.3384,47.2649,80639
Outworld Devourer,-1.403,48.5367,75891
Alchemist,-1.5094,52.5294,71141
Puck,-1.5842,54.049,69176
Sniper,-1.8396,44.952,263534
Juggernaut,-2.2241,47.8287,205209
Lifestealer,-2.23,49.082,87804
