Anti-Mage,3.6635,52.3874,480831
Bristleback,2.9196,52.8102,269919
Bloodseeker,2.2897,46.6869,463757
Drow Ranger,2.0577,48.6217,214906
Phantom Lancer,2.0536,48.8135,164479
Sniper,1.8891,48.539,585287
Clinkz,1.8018,50.9181,160644
Huskar,1.7187,52.4559,182738
Zeus,1.6171,42.0845,197911
Silencer,1.5951,46.2496,176808
Terrorblade,1.5133,50.7741,79511
Warlock,1.4824,47.1437,63073
Juggernaut,1.292,51.7947,377789
Underlord,1.1866,42.378,54356
Centaur Warrunner,1.1828,43.6739,89605
Spectre,1.1762,40.931,165764
Undying,1.1554,47.8379,60174
Chaos Knight,1.1321,43.2643,161974
Weaver,1.06,48.1404,206793
Viper,1.0591,47.929,272509
Broodmother,1.0196,59.644,52473
Venomancer,0.9769,46.8377,191967
Bounty Hunter,0.8941,50.3304,166138
Necrophos,0.874,41.8444,410910
Naga Siren,0.785,56.2456,34872
Lycan,0.7212,51.8875,55019
Ember Spirit,0.6919,53.3728,134102
Arc Warden,0.685,54.0174,47866
Elder Titan,0.6825,47.6238,38319
Brewmaster,0.6554,48.6718,34860
Nature's Prophet,0.6375,56.9386,163864
Axe,0.5579,45.6497,360028
Luna,0.53,46.9417,184307
Enchantress,0.4137,55.4755,58049
Sven,0.385,45.0897,358279
Jakiro,0.3633,44.766,110959
Slark,0.319,51.2986,276432
Abaddon,0.2915,43.4036,71911
Death Prophet,0.2703,52.6838,74334
Pudge,0.2597,46.3724,633762
Queen of Pain,0.2299,55.2405,153896
Techies,0.2122,50.3767,69935
Doom,0.1967,53.2775,71135
Storm Spirit,0.1812,50.8842,157811
Ancient Apparition,0.1674,45.8129,87700
Dark Seer,0.155,51.7184,43354
Enigma,0.1443,47.0447,111260
Shadow Shaman,0.1079,44.1018,209556
Gyrocopter,0.1077,52.3358,57131
Ogre Magi,0.0909,45.9445,168934
Crystal Maiden,0.0606,43.1992,218034
Skywrath Mage,0.0492,47.0202,126956
Vengeful Spirit,0.0382,45.2888,113317
Spirit Breaker,0.0274,41.4917,304251
Windranger,0.0214,48.8712,285188
Nyx Assassin,-0.008,48.6062,128356
Meepo,-0.0456,53.658,80493
Mirana,-0.073,47.0157,303364
Riki,-0.0818,42.3924,324164
Earthshaker,-0.0837,46.9238,388734
Night Stalker,-0.0865,48.5472,87904
Phantom Assassin,-0.095,43.7727,595558
Tinker,-0.1281,51.4223,192078
Disruptor,-0.129,48.5483,95307
Keeper of the Light,-0.1577,49.8517,112610
Witch Doctor,-0.1938,47.857,117945
Puck,-0.2224,56.5383,110272
Clockwerk,-0.2248,46.717,89659
Omniknight,-0.2488,42.7208,108048
Outworld Devourer,-0.27,50.2322,136512
Pugna,-0.27,50.0566,107652
Leshrac,-0.2751,52.6677,35460
Ursa,-0.2853,43.6572,190179
Alchemist,-0.2871,54.8622,138598
Lich,-0.3121,43.1011,127057
Invoker,-0.3576,50.2237,567188
Phoenix,-0.3764,48.5237,55715
Shadow Fiend,-0.3895,50.1034,318874
Lifestealer,-0.4614,51.5823,162065
Faceless Void,-0.4654,48.183,230741
Wraith King,-0.5002,40.4504,244576
Rubick,-0.5603,52.2705,160884
Treant Protector,-0.5621,47.1319,64504
Lina,-0.5921,52.8711,184560
Chen,-0.6035,56.1957,19594
Visage,-0.6265,48.0047,29670
Tidehunter,-0.6796,46.7362,87108
Razor,-0.7075,51.6419,74728
Tiny,-0.7416,51.7603,133778
Kunkka,-0.7531,49.7331,212261
Morphling,-0.7695,51.5243,112999
Dragon Knight,-0.8351,47.2375,121270
Lone Druid,-0.8654,59.6794,40436
Beastmaster,-0.9445,53.4142,29509
Timbersaw,-0.984,51.4567,126827
Slardar,-0.9968,46.2239,171461
Batrider,-1.0704,55.4472,43389
Bane,-1.1689,51.2913,51381
Monkey King,-1.2394,50.0825,267636
Tusk,-1.2748,55.4698,75944
Sand King,-1.3998,47.8064,168130
Magnus,-1.4268,52.8819,130413
Troll Warlord,-1.4541,43.5945,256383
Lion,-1.4771,49.4188,198151
Earth Spirit,-1.5178,55.2565,60487
Templar Assassin,-1.5433,51.8975,109433
Medusa,-1.6477,50.9105,92248
Shadow Demon,-1.8382,51.1274,51397
Dazzle,-2.3671,45.3413,114271
Winter Wyvern,-2.7854,45.4608,84620
Io,-3.2477,60.1657,34872
Oracle,-3.8417,54.1272,39130
