Techies,6.6762,55.6942,641
Spectre,6.2709,45.8796,1711
Centaur Warrunner,4.9087,46.8614,924
Doom,4.4564,56.25,608
Elder Titan,4.1992,49.7448,392
Naga Siren,3.829,57.6502,366
Tiny,3.7363,54.1722,1486
Batrider,3.5822,56.8807,436
Zeus,3.1554,43.9593,1672
Alchemist,3.1368,55.6925,1379
Earthshaker,2.5912,48.0123,3874
Warlock,2.5272,46.5753,584
Nyx Assassin,2.4339,49.5562,1352
Pudge,2.4049,47.0809,6115
Invoker,2.3318,51.0475,5632
Dazzle,2.2642,49.1803,793
Gyrocopter,2.1802,52.4115,622
Phoenix,2.159,50.1103,453
Ember Spirit,2.1285,53.2133,1167
Keeper of the Light,2.1103,50.3971,1133
Lina,2.109,53.53,1728
Skywrath Mage,2.0846,48.0952,1050
Pugna,2.0442,50.989,910
Bloodseeker,2.0129,45.9427,4227
Viper,1.9046,47.6491,2531
Disruptor,1.8018,48.3351,931
Bounty Hunter,1.6809,50.6056,1486
Kunkka,1.575,50.655,2061
Jakiro,1.5046,45.0505,990
Crystal Maiden,1.4771,43.4915,1959
Tinker,1.4168,51.2318,1786
Shadow Shaman,1.3566,44.5701,1768
Clinkz,1.2205,49.3333,1500
Ogre Magi,1.1186,45.6629,1614
Abaddon,1.0752,43.7694,642
Storm Spirit,1.0229,50.2936,1362
Outworld Devourer,1.0172,49.5624,1257
Night Stalker,1.0119,48.0402,995
Mirana,0.9708,46.6666,2790
Leshrac,0.8815,51.9402,335
Chen,0.8507,56.6473,173
Drow Ranger,0.846,46.6956,2073
Legion Commander,0.8108,48.9711,4131
Medusa,0.7891,50.9309,913
Silencer,0.7149,44.2802,1556
Huskar,0.6645,49.7888,1894
Brewmaster,0.5138,46.8085,329
Morphling,0.454,51.6988,1089
Timbersaw,0.4093,50.6783,1253
Clockwerk,0.3128,46.1813,838
Treant Protector,0.2894,47.3244,598
Luna,0.2175,45.6008,1864
Axe,0.2038,44.459,3050
Chaos Knight,0.1077,41.9263,1412
Lone Druid,0.0979,57.5178,419
Shadow Fiend,0.0957,48.8243,2892
Sniper,0.0647,45.819,5262
Venomancer,0.0598,44.5561,1791
Puck,0.0522,54.0892,1076
Wraith King,0.0463,40.8321,2187
Slardar,0.0156,46.1538,1820
Anti-Mage,-0.0038,47.7076,3599
Meepo,-0.113,51.0582,756
Riki,-0.1548,42.376,2643
Broodmother,-0.2081,55.666,503
Omniknight,-0.2972,42.5298,1004
Dragon Knight,-0.3447,46.6555,1196
Troll Warlord,-0.3521,43.5616,2555
Underlord,-0.3757,39.2638,489
Witch Doctor,-0.4354,46.2332,969
Sven,-0.4383,43.4509,3657
Visage,-0.4793,47.1223,278
Rubick,-0.5011,50.3937,1524
Nature's Prophet,-0.5863,53.5689,1443
Lycan,-0.6582,49.5283,636
Shadow Demon,-0.686,49.4652,374
Winter Wyvern,-0.6883,46.0288,554
Enchantress,-0.7706,51.7006,588
Terrorblade,-0.8168,46.9413,801
Earth Spirit,-0.8707,54.3233,532
Magnus,-0.9498,51.5813,1328
Ancient Apparition,-1.0025,43.6548,788
Undying,-1.1171,44.0191,627
Dark Seer,-1.1433,48.6552,409
Necrophos,-1.191,39.7408,3782
Bristleback,-1.2936,46.7735,2557
Tidehunter,-1.3066,45.1898,790
Spirit Breaker,-1.6106,39.5186,2576
Beastmaster,-1.6446,51.1945,293
Lich,-1.7055,41.279,1032
Tusk,-1.7528,52.7349,713
Arc Warden,-1.7775,50.3239,463
Razor,-1.7929,48.4449,836
Queen of Pain,-1.8316,51.1724,1450
Monkey King,-2.0803,47.583,2379
Sand King,-2.1559,45.5562,1519
Lion,-2.3462,46.4939,1968
Slark,-2.4322,46.86,2516
Bane,-2.4475,48.337,451
Faceless Void,-2.5564,44.5885,2236
Enigma,-2.6896,43.7377,1022
Windranger,-2.8502,44.7693,2428
Phantom Assassin,-2.8995,40.6943,5271
Vengeful Spirit,-3.0833,41.171,1093
Ursa,-3.1745,39.9456,1840
Io,-3.1809,57.2755,323
Death Prophet,-3.3439,47.1232,730
Juggernaut,-3.3731,45.8115,3641
Oracle,-3.3867,52.0766,313
Templar Assassin,-3.4701,47.6896,1147
Phantom Lancer,-3.5827,42.5392,1528
Weaver,-3.7694,42.435,1963
