Visage,4.4087,50.7246,345
Necrophos,3.5709,42.5602,4812
Dark Seer,3.3962,51.9266,545
Terrorblade,3.2282,49.6098,897
Meepo,2.8365,52.6434,889
Arc Warden,2.7471,53.5971,556
Sand King,2.7308,48.9417,1890
Underlord,2.6651,40.6576,669
Ursa,2.6572,44.2105,1995
Witch Doctor,2.5101,47.7178,1205
Ogre Magi,2.4455,45.4545,1903
Death Prophet,2.3802,51.559,898
Chen,2.3427,56.872,211
Earth Spirit,2.1972,56.1604,698
Timbersaw,2.1888,51.032,1405
Venomancer,2.1677,45.0801,2307
Winter Wyvern,2.1572,47.455,668
Ember Spirit,2.072,51.7358,1469
Broodmother,1.9705,56.5587,587
Troll Warlord,1.8653,44.2061,2658
Bristleback,1.8395,48.3672,2603
Abaddon,1.7339,42.8571,777
Outworld Devourer,1.6544,48.7359,1424
Shadow Shaman,1.6315,43.2455,2317
Razor,1.5944,50.4662,858
Disruptor,1.592,46.6228,1066
Phoenix,1.5495,48.0,550
Kunkka,1.4909,49.1089,2413
Beastmaster,1.4718,53.012,332
Enigma,1.4311,46.4223,1146
Faceless Void,1.329,46.8844,2632
Lone Druid,1.2849,57.4297,498
Nature's Prophet,1.084,53.8666,1875
Tusk,1.0686,54.2331,815
Undying,1.0673,44.7405,713
Legion Commander,1.019,47.702,4591
Keeper of the Light,0.9513,47.7443,1330
Night Stalker,0.8839,46.4188,1103
Lich,0.835,42.2578,1311
Sven,0.8323,43.1148,3769
Earthshaker,0.82,44.8551,4626
Nyx Assassin,0.8108,46.4157,1674
Pudge,0.8081,44.1853,6604
Mirana,0.7971,44.9749,3393
Warlock,0.7567,43.1664,739
Shadow Demon,0.7229,49.4736,475
Jakiro,0.7226,42.6645,1261
Templar Assassin,0.6905,50.4629,1296
Morphling,0.6622,50.4825,1347
Oracle,0.6569,55.0,440
Medusa,0.6417,49.3273,1115
Skywrath Mage,0.4595,44.8979,1372
Viper,0.432,44.6899,3032
Zeus,0.4005,39.591,2152
Windranger,0.3738,46.3814,3109
Io,0.3064,59.6446,394
Lion,0.298,47.6253,2253
Rubick,0.2414,49.6844,2218
Crystal Maiden,0.2255,40.6621,2356
Queen of Pain,0.1891,51.7922,1925
Anti-Mage,0.1,46.3111,4351
Tiny,0.0788,49.0284,1544
Silencer,0.0724,42.0651,1966
Ancient Apparition,0.0454,43.1793,931
Bloodseeker,-0.0163,42.5365,4589
Luna,-0.0366,43.8283,2074
Axe,-0.0428,42.6876,3371
Pugna,-0.0815,47.3382,1221
Spectre,-0.1053,37.92,1875
Tinker,-0.1081,48.2547,2120
Tidehunter,-0.1281,44.8626,983
Chaos Knight,-0.2332,39.988,1668
Puck,-0.2683,52.4028,1519
Phantom Lancer,-0.2713,44.3246,1762
Monkey King,-0.2886,47.8481,2951
Shadow Fiend,-0.3008,46.9594,3552
Huskar,-0.3061,47.3552,2004
Bane,-0.3207,49.0909,550
Storm Spirit,-0.359,47.4351,1735
Drow Ranger,-0.3864,43.948,2462
Magnus,-0.5116,50.5905,1524
Vengeful Spirit,-0.5452,42.1742,1297
Slardar,-0.6171,44.0228,1924
Naga Siren,-0.6216,51.6049,405
Juggernaut,-0.6519,46.8795,4134
Dazzle,-0.6908,44.6502,972
Enchantress,-0.7479,50.2915,686
Bounty Hunter,-0.8433,46.5963,1895
Riki,-0.8719,40.1095,3104
Invoker,-0.8743,46.7696,6795
Elder Titan,-0.8965,42.9223,438
Omniknight,-0.9512,40.3136,1084
Slark,-0.9647,46.807,2850
Alchemist,-1.0027,50.0732,1366
Weaver,-1.0373,43.5953,2303
Clinkz,-1.1837,45.4438,1701
Dragon Knight,-1.4811,43.9939,1332
Spirit Breaker,-1.7045,37.8071,3174
Lycan,-1.7439,46.9265,667
Wraith King,-1.7779,37.4434,2433
Sniper,-1.7942,42.6585,6545
Treant Protector,-1.8109,43.6472,669
Phantom Assassin,-1.8167,40.0806,6200
Clockwerk,-1.9313,42.33,1030
Gyrocopter,-1.9706,46.6353,639
Leshrac,-1.9754,47.5195,383
Centaur Warrunner,-1.9983,38.2352,986
Lifestealer,-2.0509,46.4699,1728
Doom,-2.5391,47.6129,775
Batrider,-2.8024,48.8636,528
Techies,-3.7365,43.4907,699
Brewmaster,-4.1805,40.3598,389
