Brewmaster,4.3459,51.9801,404
Naga Siren,3.6946,58.8095,420
Wraith King,3.1381,44.809,3169
Puck,2.9438,58.4785,1722
Warlock,2.5512,47.6846,799
Ancient Apparition,2.5035,48.3146,1157
Jakiro,2.4728,47.0588,1513
Lifestealer,2.2383,53.506,1968
Omniknight,2.145,46.0656,1309
Clockwerk,2.1208,49.1629,1135
Terrorblade,2.03,51.051,999
Abaddon,2.011,45.8172,777
Lycan,1.9731,53.4883,731
Slark,1.9207,52.3138,3263
Broodmother,1.6847,58.97,602
Ursa,1.5454,45.7264,2106
Shadow Fiend,1.5366,51.4058,4019
Tiny,1.4553,53.136,1690
Elder Titan,1.4033,47.991,448
Troll Warlord,1.3082,46.2839,2839
Spirit Breaker,1.1022,43.0907,3669
Centaur Warrunner,1.0387,43.9631,1085
Mirana,0.9941,47.7913,4007
Sand King,0.9727,49.8418,2213
Bloodseeker,0.9239,46.0212,4989
Techies,0.9042,50.9615,728
Shadow Shaman,0.8967,45.0578,3025
Legion Commander,0.8929,50.2537,5124
Storm Spirit,0.8445,51.3409,2088
Pudge,0.7896,46.7811,7689
Timbersaw,0.6719,52.1825,1512
Anti-Mage,0.6673,49.4812,5301
Luna,0.6075,47.0901,2440
Invoker,0.5931,50.7318,7652
Zeus,0.5911,42.3544,2387
Dark Seer,0.5593,51.6579,573
Slardar,0.517,47.7908,2218
Shadow Demon,0.4902,51.9672,610
Tidehunter,0.4861,48.1382,1128
Necrophos,0.4339,42.2037,5291
Enchantress,0.4271,54.2151,688
Chaos Knight,0.4023,43.2854,1601
Juggernaut,0.3941,50.5261,4942
Tusk,0.3917,56.2642,878
Meepo,0.3723,52.821,1028
Rubick,0.3158,52.5095,2889
Axe,0.3019,45.6236,3816
Faceless Void,0.2744,48.4961,2959
Drow Ranger,0.2311,47.2045,2665
Crystal Maiden,0.23,43.1659,3146
Phantom Assassin,0.1995,44.4557,6881
Bounty Hunter,0.1816,50.3083,1946
Phantom Lancer,0.1,47.3478,1791
Sven,0.0052,44.9162,4475
Magnus,-0.0292,53.8157,1769
Visage,-0.1253,48.6419,405
Weaver,-0.1814,47.0893,2508
Nyx Assassin,-0.1846,48.062,1935
Monkey King,-0.1897,50.6312,3089
Phoenix,-0.1993,48.8443,649
Windranger,-0.2105,48.4742,3441
Witch Doctor,-0.2342,47.5398,1504
Disruptor,-0.2528,47.3457,1394
Riki,-0.3119,43.2448,3279
Ember Spirit,-0.3295,52.0116,1715
Lina,-0.3327,52.3746,2253
Huskar,-0.3365,50.0,2086
Enigma,-0.3528,47.235,1302
Lich,-0.399,43.5057,1740
Viper,-0.4151,46.5072,3178
Winter Wyvern,-0.4161,47.4033,905
Beastmaster,-0.4226,53.6741,313
Queen of Pain,-0.6825,53.6574,2160
Silencer,-0.7385,43.8211,2371
Kunkka,-0.7466,49.5689,2784
Earthshaker,-0.7693,45.9896,5623
Alchemist,-0.7817,53.0065,1530
Morphling,-0.7865,51.7218,1539
Bristleback,-0.7925,48.4317,2965
Venomancer,-0.7962,44.7527,2487
Pugna,-0.8232,49.2629,1289
Skywrath Mage,-0.8333,46.213,1558
Nature's Prophet,-0.8504,54.6809,2147
Leshrac,-0.9097,51.3452,446
Night Stalker,-0.9155,47.2178,1258
Treant Protector,-0.9602,47.1584,827
Clinkz,-1.071,48.2051,1950
Vengeful Spirit,-1.0822,44.2374,1449
Tinker,-1.0919,49.9576,2364
Sniper,-1.0967,45.8823,6970
Io,-1.1747,61.0766,483
Dragon Knight,-1.241,46.8791,1506
Outworld Devourer,-1.3197,48.3766,1540
Razor,-1.4943,49.938,807
Underlord,-1.5833,38.8888,666
Death Prophet,-1.5874,50.1522,985
Templar Assassin,-1.6452,50.7746,1420
Doom,-1.7049,51.1597,776
Bane,-1.8516,50.1792,558
Batrider,-1.8832,52.5723,622
Ogre Magi,-1.8851,43.6546,2490
Lone Druid,-1.9741,56.7619,525
Medusa,-2.2038,49.0863,1204
Undying,-2.2169,43.9783,739
Gyrocopter,-2.3842,48.8789,669
Keeper of the Light,-2.4876,46.8804,1715
Earth Spirit,-2.5354,54.1163,911
Chen,-2.6349,54.4747,257
Spectre,-2.9957,37.5547,2053
Dazzle,-3.0365,44.8419,1202
Arc Warden,-3.7596,49.5161,620
Oracle,-4.0782,52.7659,470
