Visage,4.1479,52.1917,5863
Arc Warden,3.7458,55.5692,8951
Silencer,3.1492,47.6164,25592
Spectre,3.1257,43.6579,24653
Zeus,3.0118,44.0511,29014
Skywrath Mage,2.7489,49.3074,18916
Ancient Apparition,2.5336,47.9712,13629
Techies,2.4825,51.6679,10792
Elder Titan,2.4673,48.9648,7728
Earth Spirit,2.4634,57.3446,10123
Warlock,2.2927,47.6403,11421
Shadow Demon,2.2605,53.895,7548
Pudge,2.1736,47.7802,76088
Io,2.1676,62.7371,7117
Venomancer,1.9977,47.5275,31689
Tidehunter,1.8445,48.8222,15665
Pugna,1.7719,51.1249,16268
Centaur Warrunner,1.6959,44.4654,15873
Juggernaut,1.6452,51.0097,50757
Sniper,1.6063,47.8272,74098
Chen,1.4564,56.2978,3787
Abaddon,1.4129,44.8139,12929
Oracle,1.3315,57.3362,6502
Phoenix,1.2123,49.4272,10039
Treant Protector,1.2011,48.4261,12072
Tinker,1.1728,51.479,24239
Nyx Assassin,1.0945,49.011,21740
Anti-Mage,0.9316,48.9171,50929
Doom,0.8842,52.5165,12815
Riki,0.8107,43.8483,40932
Rubick,0.8013,52.3037,22832
Undying,0.7964,47.0264,11821
Drow Ranger,0.7798,46.9231,34028
Invoker,0.7289,50.2558,68406
Clockwerk,0.7233,47.277,16012
Night Stalker,0.7165,48.666,18179
Viper,0.6953,47.1404,40950
Morphling,0.6884,51.7224,18549
Wraith King,0.5499,42.3449,33860
Storm Spirit,0.5407,50.173,22253
Brewmaster,0.5071,47.8924,7402
Queen of Pain,0.5061,53.6731,23345
Leshrac,0.4858,52.0953,7469
Beastmaster,0.3626,53.2297,6502
Bane,0.3134,51.5403,9154
Lich,0.2565,43.8864,20430
Lion,0.2496,50.1521,27604
Death Prophet,0.2013,51.2627,12988
Clinkz,0.1718,48.4173,26854
Ember Spirit,0.1456,51.3621,20482
Batrider,0.1283,54.7466,8090
Lone Druid,0.0345,57.9578,8011
Lifestealer,0.0339,50.7846,24724
Kunkka,0.0165,49.5399,32386
Puck,-0.0553,54.6064,16390
Tiny,-0.0561,51.1327,23394
Gyrocopter,-0.1051,50.8448,12369
Tusk,-0.1067,54.6462,14162
Mirana,-0.1211,46.5914,41308
Lina,-0.1419,51.8278,28284
Disruptor,-0.1697,47.8387,15801
Shadow Fiend,-0.1933,49.3272,42435
Keeper of the Light,-0.2354,48.884,17384
Omniknight,-0.2411,43.1481,16543
Underlord,-0.2671,41.3714,10500
Winter Wyvern,-0.2885,47.7066,11468
Huskar,-0.3536,49.2193,28501
Bounty Hunter,-0.3624,48.2194,26537
Ogre Magi,-0.3902,45.2813,24668
Windranger,-0.4726,47.704,40353
Shadow Shaman,-0.4798,43.6868,30199
Dark Seer,-0.5183,49.8805,8370
Razor,-0.5653,50.5238,15082
Witch Doctor,-0.5737,46.9385,18341
Nature's Prophet,-0.6413,53.528,24546
Meepo,-0.6589,51.4645,11983
Dragon Knight,-0.6754,46.9075,20809
Medusa,-0.7068,50.6455,16963
Luna,-0.7646,45.376,29877
Magnus,-0.8012,51.9524,20871
Ursa,-0.8031,43.4191,29715
Outworld Devourer,-0.8155,48.7028,19157
Enigma,-0.8242,45.7469,16694
Slark,-0.8305,49.0814,38377
Faceless Void,-0.8424,47.1988,35414
Jakiro,-0.8484,43.5996,17546
Broodmother,-0.8607,55.2858,10339
Templar Assassin,-0.9455,51.1074,18782
Axe,-0.9675,44.213,44756
Alchemist,-1.0073,52.264,21908
Spirit Breaker,-1.0538,41.0969,44013
Timbersaw,-1.072,50.0904,20451
Legion Commander,-1.0824,48.1124,55019
Crystal Maiden,-1.106,42.3935,30941
Dazzle,-1.1584,46.3428,14082
Monkey King,-1.1764,49.1049,39497
Bristleback,-1.3192,47.5883,34416
Vengeful Spirit,-1.338,43.8552,20253
Sand King,-1.3571,47.2071,26801
Weaver,-1.4308,45.2756,32311
Enchantress,-1.5029,51.752,11472
Bloodseeker,-1.5609,43.1707,66332
Earthshaker,-1.5681,45.1812,52659
Sven,-1.725,43.1737,47325
Naga Siren,-1.7939,51.8109,7869
Phantom Lancer,-1.8021,44.5633,25328
Chaos Knight,-2.207,40.4946,24339
Necrophos,-2.2787,39.528,54417
Slardar,-2.3927,44.5474,25676
Terrorblade,-2.592,45.7864,14928
Phantom Assassin,-2.7682,41.5985,73065
Troll Warlord,-3.0343,42.2873,36680
