Omniknight,5.3457,45.8488,807
Chen,4.44,57.8651,178
Chaos Knight,3.9994,43.3978,1189
Techies,3.584,50.0,450
Brewmaster,3.3612,47.2868,258
Phantom Lancer,2.8983,46.5517,1218
Naga Siren,2.8858,54.1176,340
Treant Protector,2.8461,47.4609,512
Centaur Warrunner,2.5778,42.0454,792
Outworld Devourer,2.4437,48.4822,1186
Elder Titan,2.4093,45.4022,348
Enchantress,2.3734,52.3341,407
Warlock,2.3271,43.8848,556
Storm Spirit,2.3059,49.0579,1380
Bane,2.1324,50.5319,376
Sand King,2.0938,47.256,1640
Witch Doctor,1.8472,46.0585,888
Tiny,1.7666,49.6575,1168
Spirit Breaker,1.6912,40.2901,2137
Crystal Maiden,1.5621,41.1359,1743
Dazzle,1.5512,45.9602,755
Slark,1.5021,48.1818,2090
Shadow Shaman,1.4515,42.2207,1549
Bloodseeker,1.4283,42.9664,3398
Phantom Assassin,1.2986,41.9512,4100
Lone Druid,1.2038,56.0344,348
Tusk,1.2,53.2163,684
Silencer,1.0838,42.1024,1855
Slardar,1.0605,44.6983,1707
Vengeful Spirit,1.0472,42.8855,1005
Clinkz,1.0457,46.6772,1264
Lifestealer,0.9343,48.4186,1328
Bounty Hunter,0.9045,47.3395,1278
Puck,0.7692,52.2875,1224
Morphling,0.7661,49.493,1085
Night Stalker,0.7281,45.2679,877
Shadow Fiend,0.7199,46.9196,2662
Faceless Void,0.693,45.2521,2201
Legion Commander,0.6612,46.3628,3423
Anti-Mage,0.6475,45.8221,3363
Troll Warlord,0.6467,42.1052,2014
Io,0.6448,58.644,295
Ogre Magi,0.5485,42.6262,1485
Invoker,0.5418,46.9734,5237
Lina,0.4981,49.4094,1524
Timbersaw,0.4412,48.1896,1160
Kunkka,0.4243,47.0098,1923
Terrorblade,0.4239,45.7142,735
Earthshaker,0.411,43.4943,4327
Necrophos,0.3474,38.7506,3618
Axe,0.3438,42.1455,2610
Batrider,0.3029,50.9615,416
Dark Seer,0.2864,47.619,441
Lycan,0.2564,47.9427,559
Clockwerk,0.1816,43.5464,829
Wraith King,0.1576,38.5563,1704
Drow Ranger,0.1244,43.5349,1686
Gyrocopter,0.0144,47.6386,487
Zeus,0.0086,38.4249,1473
Nature's Prophet,-0.0099,51.6059,1401
Lich,-0.0751,40.4483,1026
Spectre,-0.1176,37.0895,1553
Lion,-0.1251,46.1842,1769
Sven,-0.1405,41.2919,2802
Leshrac,-0.1602,48.3443,302
Monkey King,-0.2469,46.8553,2226
Pudge,-0.2976,42.2952,5263
Visage,-0.3329,44.7761,268
Juggernaut,-0.3384,46.1514,3235
Queen of Pain,-0.3729,50.1004,1493
Mirana,-0.4139,42.8521,2882
Doom,-0.4288,48.7091,581
Ancient Apparition,-0.5244,41.6905,698
Ursa,-0.6191,40.109,1284
Rubick,-0.625,47.6813,2674
Weaver,-0.6281,43.0704,1674
Ember Spirit,-0.6386,47.9201,1202
Earth Spirit,-0.8188,51.9008,605
Riki,-0.8201,39.3182,2083
Viper,-0.9466,42.4464,1913
Abaddon,-0.9664,39.2789,527
Nyx Assassin,-1.0116,43.6096,1291
Luna,-1.0477,41.9078,1520
Disruptor,-1.1192,42.8571,945
Meepo,-1.1391,47.5056,882
Venomancer,-1.1397,40.8891,1822
Pugna,-1.1565,45.238,840
Skywrath Mage,-1.1616,42.3503,902
Keeper of the Light,-1.1651,44.5933,1045
Dragon Knight,-1.2889,43.2489,948
Razor,-1.3781,46.3533,617
Arc Warden,-1.42,48.1566,434
Sniper,-1.4518,42.0152,4327
Tinker,-1.4539,45.886,1580
Broodmother,-1.4782,51.773,423
Windranger,-1.5379,43.5661,2176
Beastmaster,-1.5621,48.7288,236
Underlord,-1.5914,35.5603,464
Jakiro,-1.7257,39.3004,972
Templar Assassin,-1.7747,46.8957,902
Medusa,-1.8305,45.7648,791
Bristleback,-1.832,43.7944,1829
Tidehunter,-2.0212,41.9391,887
Enigma,-2.2224,41.6893,1101
Oracle,-2.3601,50.6369,314
Winter Wyvern,-2.3786,41.7989,567
Alchemist,-2.6675,47.3214,1232
Huskar,-2.9415,43.7452,1319
Undying,-3.0101,39.6296,540
Phoenix,-3.0371,42.2566,452
Death Prophet,-4.4104,43.543,604
Shadow Demon,-5.6679,41.8421,380
