Gyrocopter,3.1117,58.1205,979
Brewmaster,2.984,53.8321,548
Jakiro,2.9452,50.7167,2023
Ursa,1.9137,49.1959,2736
Shadow Shaman,1.8538,49.1762,3581
Death Prophet,1.8449,57.2075,1325
Leshrac,1.7661,57.6923,624
Windranger,1.6096,53.5946,4924
Disruptor,1.5388,52.5052,1916
Sven,1.4324,49.3743,6234
Night Stalker,1.4177,52.9314,1808
Dragon Knight,1.3182,52.7705,1931
Lich,1.2019,48.2742,2144
Silencer,1.1662,48.8191,3472
Chaos Knight,1.1085,46.9659,2406
Crystal Maiden,1.0749,47.0528,3970
Phantom Lancer,1.0112,51.47,2619
Shadow Fiend,0.9874,54.2767,6360
Undying,0.9403,50.4468,1007
Keeper of the Light,0.9085,53.7856,2417
Drow Ranger,0.9015,51.0773,3945
Clockwerk,0.8664,51.077,1764
Monkey King,0.85,55.0863,4807
Kunkka,0.8164,54.5777,4216
Centaur Warrunner,0.814,46.6748,1624
Nature's Prophet,0.7978,60.0838,3099
Naga Siren,0.75,59.4043,638
Tidehunter,0.6966,51.6069,1618
Troll Warlord,0.6959,48.7548,4096
Outworld Devourer,0.6622,53.8004,2526
Ogre Magi,0.6544,49.3876,3266
Razor,0.6437,55.6089,1248
Tiny,0.6362,55.7809,2465
Luna,0.6326,50.2896,3452
Pugna,0.5744,54.1345,1947
Broodmother,0.5686,61.4645,833
Earthshaker,0.4327,50.2843,8615
Elder Titan,0.3793,50.0727,687
Viper,0.2721,50.3577,4333
Juggernaut,0.2383,53.7452,7169
Faceless Void,0.2364,51.7174,4629
Underlord,0.2315,43.6422,928
Ancient Apparition,0.2282,49.0746,1675
Sand King,0.1981,52.3823,3400
Enchantress,0.1488,57.3971,899
Phantom Assassin,0.1353,47.4083,9878
Sniper,0.1331,50.1436,10787
Lycan,0.0469,54.878,984
Weaver,0.0454,50.5115,3714
Invoker,0.0448,53.6081,11765
Anti-Mage,-0.0384,52.105,7767
Doom,-0.0737,56.3699,1146
Wraith King,-0.0943,44.5712,3767
Bristleback,-0.1313,52.3621,4043
Vengeful Spirit,-0.1347,48.3022,2091
Riki,-0.1381,46.3733,5046
Enigma,-0.1623,50.6413,1949
Winter Wyvern,-0.1955,50.8849,1130
Dazzle,-0.2322,51.0067,1639
Legion Commander,-0.2689,52.4647,7668
Dark Seer,-0.2835,54.2294,863
Spirit Breaker,-0.2865,44.6509,4842
Necrophos,-0.3808,44.2781,7952
Magnus,-0.4012,57.1478,2882
Nyx Assassin,-0.4363,51.0661,2767
Rubick,-0.5253,55.2024,3902
Slark,-0.5919,53.2226,5058
Abaddon,-0.6618,45.9779,1181
Huskar,-0.6622,52.9855,2914
Warlock,-0.6795,47.3684,1121
Storm Spirit,-0.701,53.1473,2939
Treant Protector,-0.8099,50.5565,1078
Bloodseeker,-0.8684,47.3747,7466
Batrider,-0.8926,57.2961,932
Omniknight,-0.9029,45.9217,1790
Clinkz,-0.9065,51.6275,2642
Visage,-0.9102,51.0679,515
Medusa,-1.0101,53.7407,1751
Phoenix,-1.0116,51.2899,969
Tinker,-1.0358,53.4592,3758
Io,-1.0649,64.9328,596
Lion,-1.1326,52.2086,4007
Spectre,-1.1692,42.1085,3168
Lina,-1.1739,55.025,3393
Queen of Pain,-1.2453,56.7468,3283
Lifestealer,-1.2601,53.3333,2790
Venomancer,-1.276,47.3052,3915
Oracle,-1.3521,59.3703,667
Witch Doctor,-1.4209,49.5233,1888
Tusk,-1.4267,58.0952,1365
Axe,-1.4406,46.9747,5388
Templar Assassin,-1.5069,54.4,2125
Techies,-1.5199,51.7596,1165
Pudge,-1.5452,47.8257,12188
Skywrath Mage,-1.8273,48.3325,2129
Slardar,-1.8425,48.5378,3830
Meepo,-1.8915,53.9917,1691
Morphling,-1.9894,53.9597,2235
Ember Spirit,-2.012,53.7789,2633
Chen,-2.1525,58.7926,381
Bane,-2.2216,53.2178,808
Alchemist,-2.4695,54.7833,2331
Zeus,-2.5146,42.0165,3501
Bounty Hunter,-2.5636,50.8385,3220
Timbersaw,-2.7423,52.0524,2290
Puck,-3.0512,55.9952,2552
Lone Druid,-3.4197,59.0314,764
Beastmaster,-3.6096,53.861,518
Earth Spirit,-3.8248,56.5537,1358
Terrorblade,-4.0917,47.8708,1456
Shadow Demon,-4.4405,50.0632,791
Arc Warden,-4.6891,51.978,910
