Spectre,2.3798,41.6271,115182
Anti-Mage,2.1783,49.6758,252469
Underlord,2.0482,42.504,41182
Abaddon,1.7173,44.169,48740
Centaur Warrunner,1.7171,43.4641,62348
Axe,1.6291,45.8843,211050
Bloodseeker,1.551,45.111,290224
Crystal Maiden,1.4966,43.9202,146700
Undying,1.4874,47.1021,44170
Wraith King,1.4603,42.0535,146977
Medusa,1.4437,52.7776,63993
Omniknight,1.2854,43.6789,69205
Meepo,1.2805,53.5196,56170
Legion Commander,1.232,49.9172,267637
Invoker,1.1422,50.2947,377425
Lycan,1.0672,50.895,39497
Warlock,1.064,45.6649,46147
Drow Ranger,0.9449,46.426,138209
Spirit Breaker,0.8066,41.6408,211362
Death Prophet,0.805,51.7988,50895
Pudge,0.8019,45.8889,427310
Treant Protector,0.7781,47.4614,47310
Ember Spirit,0.7529,51.9435,96574
Silencer,0.7338,44.4254,123015
Elder Titan,0.7239,46.5856,27648
Earthshaker,0.7127,46.6504,268128
Juggernaut,0.6901,49.8469,247343
Alchemist,0.6884,54.1562,89912
Dazzle,0.67,47.6381,63827
Rubick,0.6533,52.1218,123288
Enigma,0.6477,46.5567,73201
Lifestealer,0.6286,51.2573,98624
Jakiro,0.6081,44.1176,80147
Huskar,0.5399,49.8272,115469
Shadow Fiend,0.5333,49.7183,211779
Doom,0.4911,52.1324,52265
Disruptor,0.4146,47.9451,72658
Shadow Shaman,0.3755,43.5654,141541
Ursa,0.3668,43.5632,128241
Faceless Void,0.354,47.8627,160465
Sven,0.3053,44.1996,220332
Chaos Knight,0.3019,41.805,100660
Clockwerk,0.2452,46.1311,69272
Vengeful Spirit,0.2403,44.5493,82641
Dark Seer,0.2008,50.4257,32886
Dragon Knight,0.1596,47.1989,79701
Pugna,0.1403,49.2034,71308
Nyx Assassin,0.1062,47.5497,98501
Outworld Devourer,0.1034,49.3047,81988
Ogre Magi,0.0904,44.9741,117621
Weaver,0.0872,46.0685,139325
Leshrac,0.0771,51.6337,26351
Bane,0.0705,51.204,34925
Timbersaw,0.0599,51.1812,104552
Puck,0.0159,55.023,75612
Arc Warden,0.0077,51.8192,35701
Riki,-0.0144,41.9665,188033
Kunkka,-0.0198,49.2037,149192
Sand King,-0.0544,48.037,116968
Razor,-0.0951,50.8768,51147
Lion,-0.1081,49.5386,129844
Winter Wyvern,-0.1173,47.3786,46217
Bristleback,-0.1375,48.3204,153939
Keeper of the Light,-0.1548,48.5966,85726
Witch Doctor,-0.1591,46.782,80858
Phantom Lancer,-0.2127,45.4005,104523
Gyrocopter,-0.2148,50.5997,42265
Viper,-0.2206,45.6006,176002
Luna,-0.2266,45.1479,127317
Nature's Prophet,-0.2285,54.2253,110559
Shadow Demon,-0.2447,51.3159,30587
Troll Warlord,-0.2648,44.0351,162979
Necrophos,-0.2753,40.1477,273146
Tidehunter,-0.2955,46.0747,62531
Zeus,-0.297,39.4924,139348
Slark,-0.2995,49.3067,176487
Phoenix,-0.3013,47.4216,42586
Brewmaster,-0.3126,46.4844,25174
Ancient Apparition,-0.3388,44.2935,63691
Broodmother,-0.4008,56.262,37919
Terrorblade,-0.4127,47.4747,56807
Morphling,-0.4233,50.5089,84494
Storm Spirit,-0.4452,48.8973,106149
Naga Siren,-0.4553,53.3117,25651
Night Stalker,-0.4849,46.9304,74033
Skywrath Mage,-0.485,45.4366,84555
Lina,-0.4891,51.473,126882
Earth Spirit,-0.4975,54.8191,48930
Tiny,-0.501,50.5922,94390
Mirana,-0.527,45.5199,212663
Venomancer,-0.5575,44.2432,142338
Beastmaster,-0.5683,52.3936,23667
Visage,-0.5926,46.8685,24142
Oracle,-0.6423,55.8299,26930
Sniper,-0.6726,45.1457,354760
Windranger,-0.6848,46.9828,200424
Tusk,-0.6852,54.4017,53831
Slardar,-0.7073,45.5106,114938
Lich,-0.7151,41.8312,95125
Magnus,-0.8655,51.9597,94194
Queen of Pain,-0.891,52.4201,104662
Techies,-0.9297,47.8576,47589
Enchantress,-1.0236,52.318,40680
Lone Druid,-1.0325,57.5774,29291
Clinkz,-1.2042,46.5535,111549
Bounty Hunter,-1.2994,46.8058,119562
Templar Assassin,-1.3541,50.6417,76514
Chen,-1.3779,53.6805,14074
Phantom Assassin,-1.3987,41.8351,362707
Io,-1.4103,60.075,24794
Tinker,-1.4876,48.6049,115912
Batrider,-2.2331,52.6534,34898
