Winter Wyvern,4.5707,50.2173,460
Beastmaster,4.4538,56.2248,249
Terrorblade,4.2807,50.9259,648
Phantom Assassin,3.8429,45.5455,3794
Omniknight,3.8214,45.649,701
Alchemist,2.8864,54.1211,1007
Earth Spirit,2.6091,56.6218,521
Disruptor,2.5218,47.8835,756
Warlock,2.3186,45.2488,442
Enigma,2.1338,47.4642,769
Arc Warden,2.0867,53.0303,396
Pugna,1.9149,49.6287,808
Dragon Knight,1.9117,47.7683,829
Spirit Breaker,1.8806,41.8388,1936
Ember Spirit,1.8355,51.6616,993
Naga Siren,1.8316,54.2662,293
Chen,1.8195,56.2962,135
Faceless Void,1.7743,47.6114,1884
Dazzle,1.637,47.3607,682
Invoker,1.6024,49.2296,4024
Phoenix,1.5887,48.329,389
Oracle,1.5854,55.944,286
Mirana,1.5223,46.0402,2235
Clockwerk,1.4992,46.2365,651
Pudge,1.4418,45.1448,3934
Windranger,1.3873,47.6898,1883
Monkey King,1.3507,49.6681,1959
Ancient Apparition,1.343,44.7791,996
Vengeful Spirit,1.3107,44.5302,777
Jakiro,1.2277,43.6893,721
Leshrac,1.2148,51.0416,288
Brewmaster,1.143,46.3035,257
Sand King,1.1401,47.6415,1272
Shadow Fiend,1.0779,48.5523,2245
Necrophos,1.019,40.7725,3029
Batrider,0.9547,52.8735,348
Doom,0.8799,51.3157,532
Weaver,0.8787,45.8697,1489
Medusa,0.8742,49.7847,697
Sniper,0.8385,45.376,3590
Nyx Assassin,0.8339,46.7787,1071
Sven,0.7832,43.5127,2266
Chaos Knight,0.7729,41.5766,926
Spectre,0.7588,39.4034,1274
Gyrocopter,0.7092,49.6296,405
Abaddon,0.6991,42.3153,501
Lion,0.6923,48.2781,1539
Slark,0.6471,48.6301,1898
Ogre Magi,0.5613,44.0,1225
Kunkka,0.5176,48.399,1624
Templar Assassin,0.4774,50.4326,809
Nature's Prophet,0.4645,53.307,1270
Dark Seer,0.4605,49.0963,332
Night Stalker,0.4363,46.3068,704
Slardar,0.393,45.4041,1262
Juggernaut,0.3566,48.0979,2655
Keeper of the Light,0.2845,47.3572,946
Enchantress,0.2488,51.436,383
Venomancer,0.1981,43.5695,1524
Viper,0.1465,44.8318,1635
Witch Doctor,0.0428,45.5569,799
Silencer,0.0356,42.4981,1353
Bloodseeker,0.0285,43.029,2826
Bristleback,-0.0161,46.8648,1547
Phantom Lancer,-0.0828,44.9053,1109
Rubick,-0.2588,49.3941,1403
Wraith King,-0.376,39.4257,1428
Tidehunter,-0.4288,44.9494,594
Lifestealer,-0.4817,48.3011,1089
Crystal Maiden,-0.4882,40.5166,1471
Underlord,-0.5063,38.0835,407
Lina,-0.6782,49.5174,1347
Ursa,-0.7154,41.3446,1294
Legion Commander,-0.7231,46.4002,2778
Magnus,-0.755,50.5069,1085
Earthshaker,-0.8419,43.7218,2891
Shadow Shaman,-1.0305,41.142,1366
Razor,-1.0803,47.95,561
Undying,-1.1756,42.8571,483
Skywrath Mage,-1.1922,43.645,834
Tusk,-1.2134,51.9685,508
Shadow Demon,-1.2451,47.6878,346
Queen of Pain,-1.4044,50.3367,1188
Riki,-1.405,40.1267,1894
Visage,-1.5159,44.8888,225
Lycan,-1.5185,47.4358,468
Death Prophet,-1.5482,47.7459,488
Luna,-1.5665,42.7407,1350
Axe,-1.6303,41.6334,2008
Troll Warlord,-1.7147,41.1829,1809
Lich,-1.7168,40.1805,886
Storm Spirit,-1.7811,46.3081,1097
Clinkz,-1.8832,45.0777,1158
Drow Ranger,-1.8885,42.9078,1410
Broodmother,-1.9141,52.6066,422
Tinker,-1.9224,46.7289,1284
Bounty Hunter,-2.0373,45.7216,1157
Lone Druid,-2.2942,53.7091,337
Timbersaw,-2.625,46.4208,922
Puck,-2.6895,50.0559,893
Centaur Warrunner,-3.1017,37.7151,639
Huskar,-3.1157,44.8792,1201
Bane,-3.4131,46.1318,349
Anti-Mage,-3.4366,43.3973,3226
Zeus,-3.4977,36.3783,1237
Meepo,-3.5987,46.3087,596
Outworld Devourer,-3.601,43.7625,994
Tiny,-3.6815,45.5114,958
Techies,-4.1143,43.4523,504
Elder Titan,-5.1652,38.961,308
Treant Protector,-5.8292,39.9543,438
Io,-6.4585,52.5291,257
