Visage,4.7702,49.261,3857
Templar Assassin,4.7383,53.0836,12761
Arc Warden,4.4065,52.6247,6153
Broodmother,3.4191,55.9013,7261
Shadow Demon,3.2633,51.3132,5102
Clinkz,3.0816,47.6882,17627
Riki,2.7717,42.2101,26432
Bounty Hunter,2.6443,47.5834,17546
Batrider,2.5166,53.5159,5404
Oracle,2.1668,54.5411,4184
Chen,2.1296,53.3507,2686
Faceless Void,2.0605,46.4029,25910
Bane,1.9476,49.5978,5968
Phantom Lancer,1.9363,44.6674,17834
Winter Wyvern,1.93,46.389,6868
Dazzle,1.9168,45.8579,9488
Chaos Knight,1.8134,40.9308,16049
Lycan,1.7654,48.189,7869
Night Stalker,1.7003,46.1048,11155
Meepo,1.6052,50.1397,7872
Enchantress,1.5694,51.2096,7399
Silencer,1.5639,42.5902,17875
Treant Protector,1.5452,45.2445,7749
Ancient Apparition,1.5068,43.4535,8982
Techies,1.3966,47.0362,7288
Weaver,1.3558,44.4268,21442
Phantom Assassin,1.3052,41.6875,46256
Undying,1.2922,44.0104,7630
Tidehunter,1.2162,44.6804,10405
Io,1.1831,58.0159,4254
Earth Spirit,1.1477,52.4302,6275
Slardar,1.0899,44.4076,16326
Tinker,1.0326,47.7962,15882
Nyx Assassin,0.8826,45.2758,14754
Ursa,0.8487,41.526,19383
Wraith King,0.8338,39.1553,21665
Shadow Shaman,0.8319,41.4603,18941
Lifestealer,0.8307,48.0035,15653
Tusk,0.8063,51.9294,9355
Vengeful Spirit,0.7823,42.438,13872
Spirit Breaker,0.7456,39.3026,27189
Windranger,0.7297,45.3184,25056
Razor,0.6843,48.1806,10361
Drow Ranger,0.6612,43.3045,22605
Clockwerk,0.5797,43.6297,9874
Nature's Prophet,0.4316,50.9746,16159
Doom,0.3467,48.4076,8635
Viper,0.2171,43.187,25415
Skywrath Mage,0.2144,43.3139,12541
Lion,0.1773,46.541,18474
Abaddon,0.17,40.1063,8839
Lich,0.1301,40.2889,13083
Storm Spirit,0.1203,46.226,14494
Brewmaster,0.0717,43.9293,4983
Elder Titan,0.0708,43.044,5197
Beastmaster,0.0283,49.289,4431
Monkey King,0.0178,46.6882,25651
Warlock,-0.0022,41.8569,7970
Invoker,-0.0074,46.0864,43043
Troll Warlord,-0.0396,41.6359,22800
Mirana,-0.0946,43.1117,27264
Kunkka,-0.1199,45.8728,21213
Lone Druid,-0.1694,54.0898,5807
Morphling,-0.1899,47.2978,12823
Slark,-0.2096,46.1334,24518
Ogre Magi,-0.2301,41.9426,15762
Queen of Pain,-0.2927,49.3183,15404
Keeper of the Light,-0.3048,45.2882,10877
Pudge,-0.3801,42.0446,47069
Rubick,-0.4322,47.5507,15903
Huskar,-0.4413,45.599,18053
Ember Spirit,-0.4576,47.2058,14602
Phoenix,-0.4941,44.1988,6516
Pugna,-0.5452,45.3041,11063
Bristleback,-0.6045,44.7453,21933
Omniknight,-0.6168,39.3114,11241
Disruptor,-0.6184,43.8802,10123
Juggernaut,-0.6433,45.376,32440
Terrorblade,-0.6998,44.1284,10900
Witch Doctor,-0.7081,43.2943,12154
Dark Seer,-0.7403,46.1031,5761
Bloodseeker,-0.7488,40.3681,37376
Spectre,-0.7818,36.4438,17564
Death Prophet,-0.8338,46.6733,8958
Enigma,-0.8596,42.2114,10907
Luna,-0.8813,41.77,20948
Lina,-0.8834,47.5555,18307
Anti-Mage,-0.9446,43.6772,34542
Crystal Maiden,-1.1537,38.8797,20067
Shadow Fiend,-1.1739,44.8806,27992
Magnus,-1.1998,47.9921,13821
Puck,-1.2036,49.8915,10607
Centaur Warrunner,-1.4284,37.9249,10853
Medusa,-1.5379,46.2528,13370
Alchemist,-1.5883,48.1123,14886
Underlord,-1.6686,36.5413,6650
Gyrocopter,-1.6712,45.712,9142
Timbersaw,-1.6988,45.9267,13073
Venomancer,-1.7109,40.4884,20186
Dragon Knight,-1.7403,42.3559,13481
Tiny,-1.7622,45.9142,15505
Zeus,-1.7822,35.9976,18604
Sven,-1.9802,39.4678,31684
Jakiro,-1.991,39.0048,11455
Legion Commander,-2.0016,43.7543,34872
Leshrac,-2.0348,45.9899,5399
Sniper,-2.2092,40.9831,47844
Sand King,-2.2453,42.8333,17442
Earthshaker,-2.2706,41.0693,38396
Outworld Devourer,-2.2804,43.7406,12661
Axe,-2.654,39.1519,28088
Necrophos,-3.17,35.2134,32942
