Tidehunter,4.4816,46.9978,37923
Io,4.1689,61.2359,18285
Visage,3.7266,47.332,16361
Oracle,3.6137,55.7266,17663
Chen,3.3906,54.2952,10139
Lich,2.8211,41.6979,57245
Ancient Apparition,2.6892,43.5208,40314
Elder Titan,2.6852,44.6698,16763
Warlock,2.5821,43.3298,28920
Enigma,2.5561,44.5616,42844
Techies,2.5532,47.3312,34867
Shadow Demon,2.5088,49.9169,20458
Witch Doctor,2.3796,45.3534,51350
Ursa,2.2349,41.7006,70186
Abaddon,2.2186,40.9187,29324
Omniknight,2.0449,40.6899,42266
Skywrath Mage,1.9503,43.9671,53863
Venomancer,1.905,42.8311,86778
Underlord,1.8956,38.7062,24704
Undying,1.8387,43.506,27079
Dazzle,1.8111,44.7808,40457
Winter Wyvern,1.7689,45.2844,29615
Disruptor,1.7563,45.2617,45703
Lifestealer,1.7249,48.1416,58573
Phoenix,1.609,45.3621,25378
Silencer,1.5981,41.4666,74414
Shadow Shaman,1.5869,40.9663,89532
Death Prophet,1.5277,48.2898,30524
Sniper,1.4374,43.1479,206258
Lone Druid,1.3796,55.4241,18860
Brewmaster,1.3515,44.2214,16146
Viper,1.3213,43.1977,102452
Bristleback,1.3143,45.6968,86507
Wraith King,1.2792,38.2404,85284
Sven,1.1429,41.2028,125467
Invoker,1.1325,46.1483,224502
Riki,1.0994,39.3794,107556
Drow Ranger,1.0963,42.6609,81168
Bane,1.0539,47.9802,23245
Centaur Warrunner,1.0275,39.0384,37481
Enchantress,0.9726,50.04,26207
Outworld Devourer,0.9611,46.0589,48147
Troll Warlord,0.9607,41.4416,92827
Juggernaut,0.9314,45.9663,137814
Dark Seer,0.8682,46.9125,20713
Lycan,0.8517,46.4719,24546
Lion,0.7305,46.223,82104
Jakiro,0.6753,40.3859,48871
Huskar,0.6573,45.8179,65494
Arc Warden,0.6317,48.1705,23176
Ogre Magi,0.6195,41.6206,74009
Earth Spirit,0.563,51.3692,29103
Pugna,0.555,45.4969,46058
Razor,0.5151,47.2789,29749
Weaver,0.4825,42.5356,82707
Dragon Knight,0.4551,43.5171,46083
Vengeful Spirit,0.4162,40.9032,49309
Clinkz,0.3025,44.0624,66955
Faceless Void,0.2935,43.7819,93968
Luna,0.2849,41.7748,76467
Windranger,0.2829,43.8957,123939
Doom,0.2563,47.594,32441
Treant Protector,0.218,42.8714,29985
Nyx Assassin,0.2115,43.6397,58685
Beastmaster,0.2057,48.8245,14292
Keeper of the Light,0.1978,44.8429,52840
Leshrac,0.188,47.4822,17476
Clockwerk,0.1641,42.1186,41820
Pudge,0.1531,41.4418,247262
Crystal Maiden,0.1133,38.7706,95495
Bloodseeker,0.0886,39.9451,168371
Phantom Lancer,0.0777,41.8159,59078
Medusa,0.0686,47.0981,38734
Rubick,0.0363,47.2421,69800
Puck,0.0106,50.5439,45867
Monkey King,-0.0534,45.7746,110559
Tiny,-0.0975,46.769,56345
Lina,-0.1629,47.5205,77438
Necrophos,-0.1664,36.6605,173661
Axe,-0.2004,40.2853,118748
Morphling,-0.2573,46.442,52067
Terrorblade,-0.2604,43.6028,33718
Zeus,-0.2851,35.9863,81153
Tusk,-0.2954,50.3241,32390
Chaos Knight,-0.3143,37.5512,56797
Naga Siren,-0.3616,49.0253,16159
Kunkka,-0.3658,44.732,91469
Gyrocopter,-0.3939,46.1937,25668
Slardar,-0.4502,41.8671,65438
Ember Spirit,-0.4881,46.4007,55053
Magnus,-0.582,47.9149,53453
Queen of Pain,-0.6925,48.2763,62484
Night Stalker,-0.6951,42.7457,39260
Earthshaker,-0.7339,41.3516,171623
Mirana,-0.7372,41.419,123040
Bounty Hunter,-0.7565,43.3419,68278
Timbersaw,-0.7599,46.0392,53854
Broodmother,-0.8192,51.2586,23914
Meepo,-0.8731,46.9498,33966
Batrider,-0.9384,49.5205,20442
Templar Assassin,-1.0187,46.7296,45545
Tinker,-1.0509,44.9025,75499
Shadow Fiend,-1.1831,43.9508,121727
Phantom Assassin,-1.2758,38.2182,205475
Slark,-1.3572,44.1513,103981
Sand King,-1.6209,42.4227,71266
Spirit Breaker,-1.6269,35.6615,141755
Anti-Mage,-1.6443,42.0224,150660
Legion Commander,-1.7045,43.0613,163864
Spectre,-1.7518,33.9189,69949
Alchemist,-1.7667,47.2671,54943
Storm Spirit,-2.7051,42.5082,65178
