Keeper of the Light,2.8935,54.0491,48010
Morphling,1.8644,55.0017,30859
Storm Spirit,1.7958,53.4782,39575
Tinker,1.3815,53.7669,43629
Pugna,1.3697,52.8065,27792
Clinkz,1.2232,51.4929,40056
Ancient Apparition,1.0963,48.531,24677
Nyx Assassin,1.0736,51.029,41884
Anti-Mage,1.0638,51.0739,85895
Silencer,1.0608,47.5634,47198
Weaver,1.0257,49.6412,51562
Invoker,0.9934,52.5253,122301
Faceless Void,0.9491,50.9417,60420
Nature's Prophet,0.9483,57.2542,39260
Riki,0.9301,45.8926,66612
Monkey King,0.832,53.0695,74033
Windranger,0.795,50.9366,66938
Shadow Shaman,0.7787,46.8502,53052
Brewmaster,0.6994,50.1246,11230
Shadow Fiend,0.6764,52.2075,70101
Drow Ranger,0.6043,48.7572,49123
Phoenix,0.5475,50.8122,17236
Disruptor,0.4654,50.5011,29829
Skywrath Mage,0.4494,49.057,32238
Pudge,0.3286,48.1683,137225
Legion Commander,0.3211,51.4521,87905
Mirana,0.2979,48.9885,74742
Rubick,0.2509,53.8591,41538
Lion,0.2502,52.2204,47895
Zeus,0.2416,43.2773,49668
Spectre,0.2247,42.714,43131
Magnus,0.2225,55.1001,36205
Enchantress,0.1978,55.6051,16351
Ursa,0.1893,46.3211,46795
Lifestealer,0.1713,53.0203,39168
Warlock,0.1677,47.4967,19035
Juggernaut,0.1458,51.6868,85989
Lone Druid,0.1328,60.3175,11839
Arc Warden,0.1299,54.0732,14055
Timbersaw,0.1051,53.3548,32908
Phantom Assassin,0.0994,46.048,114893
Alchemist,0.0884,55.4952,33920
Earth Spirit,0.0289,57.1353,18920
Leshrac,0.0153,53.7421,11023
Elder Titan,0.0025,48.4903,12089
Troll Warlord,-0.0104,47.1222,58813
Earthshaker,-0.0666,48.5626,100882
Slark,-0.0698,51.872,61964
Abaddon,-0.0852,45.2416,21394
Outworld Devourer,-0.0936,51.4757,32662
Lich,-0.1324,45.4354,37101
Queen of Pain,-0.1428,55.1876,40259
Medusa,-0.1439,53.3167,26894
Sven,-0.1579,46.5812,74867
Templar Assassin,-0.1584,54.0105,30133
Techies,-0.1686,51.0818,16730
Jakiro,-0.1833,46.2005,31136
Crystal Maiden,-0.1959,45.199,52167
Axe,-0.2293,46.8675,74350
Ogre Magi,-0.2408,47.4038,44874
Sniper,-0.2503,48.18,112586
Vengeful Spirit,-0.309,46.8306,31678
Clockwerk,-0.3384,48.2209,29454
Omniknight,-0.3414,44.965,29345
Bane,-0.3427,52.9953,14773
Kunkka,-0.3716,51.2292,56581
Puck,-0.3964,56.4497,29226
Centaur Warrunner,-0.4111,44.2836,26608
Dazzle,-0.4183,49.0894,24270
Witch Doctor,-0.5168,49.0094,30994
Wraith King,-0.5727,43.16,53575
Tusk,-0.5793,56.3752,22203
Ember Spirit,-0.5914,52.7434,35849
Lina,-0.6143,53.4856,46820
Tiny,-0.6495,52.6594,35853
Enigma,-0.6852,47.8787,26164
Lycan,-0.7539,51.3339,18179
Oracle,-0.7623,57.4524,10842
Slardar,-0.767,48.1192,44982
Bristleback,-0.7792,50.1421,58029
Shadow Demon,-0.7818,52.9543,12507
Treant Protector,-0.8618,48.3784,19827
Terrorblade,-0.9307,49.4699,23582
Luna,-0.9331,47.1928,48092
Winter Wyvern,-0.9445,49.0775,18049
Visage,-0.9572,49.0725,9488
Necrophos,-0.9769,42.6528,98971
Doom,-0.9828,52.7791,21859
Sand King,-0.9927,49.594,48032
Batrider,-1.0098,55.7989,13373
Chen,-1.1673,55.8077,5639
Bounty Hunter,-1.1754,49.4656,42765
Tidehunter,-1.2186,47.7897,26558
Io,-1.2918,61.523,9967
Undying,-1.2975,46.9155,19177
Death Prophet,-1.3035,51.8586,20687
Beastmaster,-1.3083,53.6914,9996
Viper,-1.357,47.1927,66311
Gyrocopter,-1.3678,51.6811,18291
Dragon Knight,-1.4438,48.1635,31665
Spirit Breaker,-1.5214,42.5664,77756
Bloodseeker,-1.5253,45.1011,99197
Underlord,-1.5376,41.9519,17582
Razor,-1.6068,51.5881,22699
Broodmother,-1.6828,56.6743,15672
Phantom Lancer,-1.694,46.6429,39142
Dark Seer,-1.8166,50.6545,13827
Venomancer,-1.8363,45.8208,57895
Naga Siren,-1.8535,53.8951,11155
Chaos Knight,-1.95,42.6331,38524
Huskar,-2.0346,49.6425,42526
Meepo,-2.9214,51.2951,18183
