Outworld Devourer,2.6135,54.3017,65009
Tinker,1.8761,54.3806,82601
Phoenix,1.7158,52.06,25897
Medusa,1.6274,55.3045,49486
Crystal Maiden,1.511,46.7695,82404
Storm Spirit,1.4769,53.2733,70356
Pugna,1.4173,52.9699,52122
Invoker,1.389,52.9192,198342
Lich,1.3738,46.8407,55123
Wraith King,1.3061,44.857,78748
Keeper of the Light,1.1646,52.42,53222
Abaddon,1.1488,46.4051,29389
Windranger,1.0989,51.2699,98984
Ancient Apparition,1.0957,48.4861,41022
Bristleback,1.0889,52.0069,74640
Necrophos,1.0542,44.4123,168890
Weaver,0.9416,49.5636,74821
Timbersaw,0.9187,54.2828,44970
Dazzle,0.8175,50.3502,34401
Sand King,0.7637,51.365,73513
Mirana,0.691,49.3576,117305
Luna,0.6865,48.759,65877
Leshrac,0.6608,54.5792,17470
Skywrath Mage,0.606,49.2004,54965
Enigma,0.4906,49.0465,38859
Jakiro,0.4699,46.7761,47195
Batrider,0.4431,57.5954,21875
Oracle,0.4108,58.9401,16286
Earthshaker,0.358,48.9439,163863
Clockwerk,0.343,48.8873,44760
Centaur Warrunner,0.2735,44.848,38180
Zeus,0.2515,43.1104,84156
Queen of Pain,0.2279,55.7379,61154
Legion Commander,0.1966,51.3937,128356
Puck,0.1811,57.2797,46856
Dark Seer,0.1792,52.7854,19674
Bloodseeker,0.1689,46.5879,143874
Silencer,0.1293,46.5743,82612
Morphling,0.1128,53.3873,47899
Monkey King,0.0716,52.4502,98501
Lina,0.0581,54.2852,73309
Arc Warden,0.0491,54.1219,19772
Witch Doctor,0.0459,49.5829,45800
Spectre,0.0253,42.3152,68675
Faceless Void,0.0157,50.0734,94629
Shadow Demon,-0.0016,53.8927,18971
Slark,-0.0403,51.9764,88996
Shadow Fiend,-0.0427,51.5927,100518
Warlock,-0.0763,47.1976,28084
Disruptor,-0.0801,49.9855,45019
Ogre Magi,-0.0968,47.5055,67068
Troll Warlord,-0.1338,46.9566,78400
Winter Wyvern,-0.1525,49.9014,25877
Nature's Prophet,-0.1614,56.3602,58685
Alchemist,-0.1781,55.3832,45344
Vengeful Spirit,-0.1846,46.903,44673
Sniper,-0.21,48.2065,169307
Treant Protector,-0.2118,49.0417,25725
Lion,-0.224,51.836,74506
Shadow Shaman,-0.232,45.7881,82469
Underlord,-0.2756,43.0472,25781
Elder Titan,-0.332,48.1355,16198
Slardar,-0.3724,48.4916,74553
Enchantress,-0.373,55.1684,21757
Pudge,-0.3984,47.5097,206362
Spirit Breaker,-0.402,43.4703,104186
Phantom Lancer,-0.4257,47.872,51880
Earth Spirit,-0.4258,56.9352,28838
Phantom Assassin,-0.4331,45.4928,164373
Terrorblade,-0.4376,49.9969,32306
Magnus,-0.4529,54.5974,53834
Kunkka,-0.487,51.1841,83772
Brewmaster,-0.524,48.8834,14285
Chen,-0.564,56.6174,7858
Venomancer,-0.5957,46.9573,96447
Rubick,-0.5984,53.1512,71496
Undying,-0.5994,47.5959,25727
Drow Ranger,-0.6381,47.526,68897
Riki,-0.6846,44.2473,102006
Ursa,-0.8587,45.2241,59026
Bane,-0.8753,52.5575,20606
Tiny,-0.8941,52.514,48667
Chaos Knight,-0.9205,43.5364,50785
Visage,-0.9769,49.0673,12866
Doom,-0.9996,52.894,32359
Anti-Mage,-1.005,49.1723,128011
Meepo,-1.0347,53.2883,24769
Night Stalker,-1.0409,48.9709,41884
Axe,-1.0461,46.0373,104765
Omniknight,-1.0668,44.1396,39153
Sven,-1.0765,45.6473,102593
Tusk,-1.1238,56.0096,29802
Lycan,-1.1437,50.9889,21740
Tidehunter,-1.1552,47.834,38713
Naga Siren,-1.1822,54.7241,14754
Io,-1.1947,61.9228,13428
Ember Spirit,-1.2228,52.2443,58659
Gyrocopter,-1.2408,51.8942,24284
Bounty Hunter,-1.2591,49.4165,76015
Techies,-1.3107,49.9663,22309
Death Prophet,-1.3136,51.9299,27618
Razor,-1.3586,51.9267,30310
Beastmaster,-1.4456,53.6631,12694
Clinkz,-1.6189,48.7171,56789
Dragon Knight,-1.6226,47.9829,40306
Lone Druid,-1.7742,58.617,15922
Huskar,-1.8282,49.8831,55201
Broodmother,-1.8872,56.6465,20176
Juggernaut,-1.9915,49.7448,127597
Viper,-2.2346,46.3093,85799
Lifestealer,-2.4391,50.5196,55424
Templar Assassin,-2.8563,51.41,39751
