Troll Warlord,1.3061,50.7533,100551
Timbersaw,1.1458,57.0339,55858
Phantom Assassin,1.1035,49.2792,240083
Ursa,0.9296,49.3622,75971
Tiny,0.9045,56.8278,59367
Shadow Fiend,0.8898,54.9577,138239
Wraith King,0.8896,46.774,98390
Riki,0.7873,48.0147,115731
Clinkz,0.7615,53.5363,72362
Spectre,0.6073,45.2188,77147
Drow Ranger,0.4575,51.0072,89503
Ancient Apparition,0.4529,50.2482,48131
Techies,0.4483,54.2349,28725
Skywrath Mage,0.4431,51.4715,59664
Legion Commander,0.4243,54.0554,168934
Windranger,0.3764,53.0247,132242
Bristleback,0.3723,53.7663,105512
Crystal Maiden,0.3023,47.9291,120697
Slardar,0.2644,51.5545,82790
Enchantress,0.257,58.3526,26285
Vengeful Spirit,0.2543,49.7341,58481
Keeper of the Light,0.2509,53.9841,60364
Sven,0.216,49.2595,143836
Luna,0.1855,50.6683,83713
Axe,0.1751,49.5887,142857
Jakiro,0.1715,48.8457,61944
Monkey King,0.164,55.0258,117621
Mirana,0.1532,51.2683,144680
Night Stalker,0.1171,52.5961,44874
Dragon Knight,0.1061,52.1561,53499
Alchemist,0.0984,58.2019,55938
Lycan,0.0885,54.7186,24668
Templar Assassin,0.0773,56.8971,49774
Zeus,0.0703,45.2561,93457
Nyx Assassin,0.0462,52.4944,67068
Silencer,0.0059,48.8419,92183
Bloodseeker,0.0,48.803,183093
Lion,-0.0005,54.5792,108554
Phoenix,-0.0084,52.7489,29830
Venomancer,-0.0178,49.9339,96067
Bounty Hunter,-0.0671,53.0413,72319
Invoker,-0.0885,54.065,261820
Lifestealer,-0.1066,55.3546,69743
Shadow Shaman,-0.1079,48.2725,109698
Disruptor,-0.1107,52.4238,57243
Pudge,-0.1348,50.1513,277893
Centaur Warrunner,-0.1758,46.7534,43631
Omniknight,-0.1811,47.3726,51002
Anti-Mage,-0.2408,52.323,168230
Earthshaker,-0.2508,50.7996,194212
Dazzle,-0.2612,51.7035,50482
Juggernaut,-0.267,53.8313,164200
Viper,-0.293,50.5964,121054
Brewmaster,-0.3064,51.5387,16182
Abaddon,-0.3392,47.2672,32238
Pugna,-0.3486,53.6342,50781
Naga Siren,-0.3532,58.0573,15762
Batrider,-0.3918,59.1789,21315
Clockwerk,-0.3948,50.5691,46212
Slark,-0.4359,54.0691,117261
Medusa,-0.4376,55.6191,42453
Queen of Pain,-0.4395,57.6061,70463
Lich,-0.4528,47.3524,72406
Lina,-0.4562,56.2929,85238
Sniper,-0.4602,50.3908,233834
Winter Wyvern,-0.4744,52.0242,33717
Weaver,-0.4763,50.5798,89939
Spirit Breaker,-0.481,45.7185,143141
Tinker,-0.4915,54.5164,82520
Necrophos,-0.5031,45.2831,200792
Doom,-0.5079,55.8699,33893
Gyrocopter,-0.5236,55.0929,26183
Shadow Demon,-0.5564,55.8385,22377
Lone Druid,-0.5962,62.4394,18799
Faceless Void,-0.5975,51.9123,103355
Leshrac,-0.5975,55.7275,17634
Storm Spirit,-0.624,53.6369,69963
Witch Doctor,-0.626,51.3513,63971
Io,-0.656,65.2836,17787
Morphling,-0.6728,55.0944,55708
Death Prophet,-0.6801,55.0828,34882
Sand King,-0.6991,52.3717,83377
Nature's Prophet,-0.7234,58.3793,74009
Enigma,-0.7717,50.1798,51421
Ember Spirit,-0.7725,55.1632,58829
Kunkka,-0.7727,53.3834,103991
Bane,-0.7847,55.1732,25545
Visage,-0.8002,51.6979,16078
Underlord,-0.8111,44.8835,27050
Elder Titan,-0.8384,50.029,18937
Razor,-0.8644,54.8874,31980
Dark Seer,-0.8661,54.2062,23501
Puck,-0.8774,58.7603,52789
Outworld Devourer,-0.8942,53.207,57577
Huskar,-0.9018,53.256,70178
Rubick,-0.9043,55.3757,89978
Warlock,-0.917,48.727,34566
Terrorblade,-0.9228,51.9367,35239
Tusk,-0.9275,58.7766,35640
Magnus,-0.954,56.6438,65610
Beastmaster,-0.9904,56.6421,14551
Earth Spirit,-1.0632,58.8762,34119
Chen,-1.0707,58.673,9616
Treant Protector,-1.0746,50.5843,32688
Undying,-1.151,49.4363,31489
Tidehunter,-1.1536,50.2603,45710
Arc Warden,-1.3358,55.2106,23874
Oracle,-1.6887,59.3709,19427
Chaos Knight,-1.7966,44.9841,61635
Broodmother,-1.9679,59.0936,22906
Phantom Lancer,-2.3001,48.3848,63429
Meepo,-2.4662,54.3559,34585
