Bane,8.1306,60.5769,312
Leshrac,5.3164,57.8947,266
Anti-Mage,4.8083,53.5608,3370
Oracle,4.3477,61.4583,288
Lone Druid,4.0279,62.8895,353
Queen of Pain,3.9279,58.2852,1213
Omniknight,3.6106,48.0569,772
Morphling,3.5476,56.2374,994
Storm Spirit,3.5381,54.2264,1254
Centaur Warrunner,3.383,46.854,747
Wraith King,3.3225,45.5898,1814
Timbersaw,3.2396,54.9469,1132
Slark,3.2027,53.7493,1987
Ember Spirit,2.9261,55.429,1142
Axe,2.6846,48.3221,2533
Underlord,2.6338,43.8914,442
Clockwerk,2.3995,49.7829,691
Kunkka,2.3021,52.8,1750
Abaddon,2.2961,46.5486,565
Gyrocopter,2.2483,53.8631,453
Tidehunter,2.1091,50.1308,764
Dragon Knight,1.9871,50.4752,1052
Treant Protector,1.9649,50.5197,481
Troll Warlord,1.6835,47.0709,1946
Earth Spirit,1.6779,58.3493,521
Invoker,1.6174,51.8208,5025
Rubick,1.6152,53.9046,1447
Drow Ranger,1.5322,48.8587,1621
Lion,1.3947,51.6233,1540
Vengeful Spirit,1.253,47.0852,892
Chaos Knight,1.1933,44.5561,1194
Ursa,1.1516,45.7937,1367
Shadow Shaman,1.1469,45.8807,1493
Medusa,1.1283,52.7252,899
Sand King,1.0992,50.2494,1403
Warlock,1.0641,46.5979,485
Huskar,1.0523,51.6195,1451
Nature's Prophet,0.9642,56.4814,1188
Io,0.9196,62.745,255
Naga Siren,0.7766,55.873,315
Clinkz,0.7672,50.3395,1178
Phantom Lancer,0.7111,48.3164,1188
Doom,0.6517,53.7428,521
Alchemist,0.524,54.4571,1133
Winter Wyvern,0.5138,48.7329,513
Ogre Magi,0.4988,46.553,1349
Meepo,0.4921,53.0844,616
Monkey King,0.4729,51.4979,1936
Batrider,0.3937,55.0,400
Keeper of the Light,0.383,50.1111,900
Undying,0.3656,47.0707,495
Tiny,0.2728,52.1076,1115
Brewmaster,0.2578,48.0286,279
Shadow Demon,0.2507,51.8731,347
Legion Commander,0.1268,49.7981,3468
Viper,0.1118,47.4074,2025
Weaver,0.0947,47.739,1548
Spectre,0.0861,41.3424,1311
Terrorblade,0.0135,49.2625,678
Bounty Hunter,0.0018,50.3791,1187
Disruptor,-0.026,47.9604,809
Bristleback,-0.0639,49.4355,2126
Jakiro,-0.098,44.9574,823
Juggernaut,-0.2209,50.2042,2938
Bloodseeker,-0.3239,45.3105,3220
Zeus,-0.3406,42.0502,1434
Sven,-0.3588,45.0479,2817
Lich,-0.4054,44.1111,900
Slardar,-0.5033,47.1438,1453
Pudge,-0.6045,45.9835,4743
Ancient Apparition,-0.6484,45.5182,714
Faceless Void,-0.6832,47.8909,1944
Windranger,-0.6922,48.3333,1980
Night Stalker,-0.8068,47.6846,799
Phoenix,-0.8372,48.5013,367
Lifestealer,-1.002,50.4375,1257
Chen,-1.0083,56.0,125
Witch Doctor,-1.0369,47.1084,830
Mirana,-1.0831,46.1995,2526
Riki,-1.1903,42.9225,2183
Elder Titan,-1.2103,45.6521,322
Crystal Maiden,-1.2881,42.3293,1597
Enchantress,-1.2902,52.5252,396
Templar Assassin,-1.3584,51.2455,843
Tusk,-1.4412,54.4407,608
Earthshaker,-1.4481,45.7779,3233
Shadow Fiend,-1.5467,48.7149,2607
Luna,-1.5827,45.3407,1438
Lina,-1.6105,51.264,1424
Death Prophet,-1.613,50.3344,598
Phantom Assassin,-1.6668,43.2648,3994
Lycan,-1.7171,49.8942,473
Beastmaster,-1.7498,52.5096,259
Dazzle,-1.7567,46.5699,758
Skywrath Mage,-1.9245,45.5347,907
Dark Seer,-1.9306,49.3036,359
Spirit Breaker,-1.9461,40.7649,2144
Techies,-1.9878,48.2608,460
Sniper,-2.0187,45.4977,4631
Puck,-2.1713,53.2544,1014
Nyx Assassin,-2.2712,46.3087,1639
Magnus,-2.4297,51.5177,1186
Enigma,-3.1405,44.7916,864
Venomancer,-3.344,42.7248,1512
Silencer,-3.5596,41.5617,1588
Arc Warden,-3.59,49.8599,357
Tinker,-3.5953,47.7221,1339
Razor,-3.7655,47.8806,637
Necrophos,-4.0315,38.6923,3166
Pugna,-5.7773,44.5247,968
Broodmother,-6.5368,50.5154,388
Visage,-8.2652,40.5857,239
