Wraith King,7.3637,51.7956,3230
Pugna,4.7502,57.6291,852
Templar Assassin,4.673,59.8822,1189
Lich,4.0657,51.0362,1158
Disruptor,4.0101,54.4444,810
Arc Warden,3.7055,59.9571,467
Dazzle,3.6678,54.5454,737
Lifestealer,3.6576,57.5757,1518
Batrider,3.6184,60.7476,428
Clinkz,3.6132,55.6713,1631
Silencer,3.474,50.9177,1471
Chaos Knight,3.3265,48.975,1805
Viper,3.3047,52.9324,2694
Ursa,3.04,50.0,1980
Drow Ranger,3.0045,52.7848,2370
Shadow Demon,3.0037,57.1794,390
Slardar,2.9012,52.9341,1670
Vengeful Spirit,2.8849,51.1627,1032
Night Stalker,2.8239,53.8306,992
Huskar,2.728,55.8118,2168
Beastmaster,2.6914,59.6551,290
Shadow Shaman,2.5501,49.6862,1753
Bounty Hunter,2.4782,55.3097,1582
Skywrath Mage,2.4406,52.3668,1014
Chen,2.2473,62.0689,174
Zeus,2.1927,46.9331,1826
Undying,2.1843,51.3643,623
Bane,2.1656,56.8922,399
Ancient Apparition,2.1143,50.744,672
Ogre Magi,1.9228,50.3963,1514
Clockwerk,1.7016,51.5228,788
Treant Protector,1.6054,52.6703,543
Luna,1.5801,50.8889,2081
Windranger,1.4057,52.8089,2403
Juggernaut,1.3954,54.1798,3780
Monkey King,1.1589,54.6322,2515
Weaver,1.1257,51.1875,2063
Abaddon,1.0123,47.5757,660
Brewmaster,0.9971,51.2578,318
Spirit Breaker,0.9272,45.8677,2904
Nature's Prophet,0.9069,58.9797,1431
Necrophos,0.8949,45.5279,3466
Witch Doctor,0.8924,51.4613,958
Sniper,0.7158,50.2817,5678
Lycan,0.6087,54.742,601
Razor,0.5979,54.8387,806
Centaur Warrunner,0.5185,46.3535,809
Pudge,0.479,49.2835,4955
Venomancer,0.4772,48.8717,1684
Troll Warlord,0.4754,48.2965,2495
Keeper of the Light,0.4699,52.5904,1023
Rubick,0.4487,55.2437,1354
Visage,0.4227,52.0146,273
Slark,0.4082,53.5137,2476
Lina,0.3954,55.7085,1743
Winter Wyvern,0.3175,50.9469,528
Bloodseeker,0.1466,48.1395,4327
Faceless Void,0.0898,51.0752,2232
Enchantress,0.0621,56.5068,584
Morphling,0.0266,55.1912,1098
Lion,-0.029,52.6966,1780
Medusa,-0.0638,54.0795,1483
Invoker,-0.1141,52.8345,5239
Lone Druid,-0.2475,61.1111,414
Phoenix,-0.2836,51.4767,474
Spectre,-0.3296,43.2274,1543
Phantom Assassin,-0.4156,46.798,6090
Doom,-0.4587,55.2262,641
Terrorblade,-0.5731,51.0932,869
Tinker,-0.6274,53.0893,1667
Storm Spirit,-0.6433,52.5657,1520
Outworld Devourer,-0.7118,51.7417,1177
Techies,-0.8637,51.884,690
Alchemist,-1.0632,55.4074,1350
Mirana,-1.1068,48.5769,2600
Bristleback,-1.1219,50.8837,2659
Gyrocopter,-1.1487,52.9673,674
Riki,-1.2887,45.1545,2879
Tiny,-1.2961,53.0062,1447
Tidehunter,-1.3657,49.017,763
Queen of Pain,-1.3661,55.5343,1572
Earth Spirit,-1.3812,57.706,558
Dark Seer,-1.4402,52.2666,375
Dragon Knight,-1.4708,49.4573,1290
Broodmother,-1.5688,58.1532,509
Ember Spirit,-1.5865,53.4402,1497
Death Prophet,-1.5891,52.9625,827
Warlock,-1.6355,46.1165,618
Nyx Assassin,-1.6372,49.3702,1191
Legion Commander,-1.7119,50.5758,4168
Underlord,-1.7659,41.6981,530
Io,-1.8697,62.5748,334
Enigma,-1.8817,48.4752,951
Kunkka,-1.9939,51.0725,1958
Elder Titan,-2.0628,47.2727,385
Jakiro,-2.2629,45.1097,1002
Crystal Maiden,-2.3096,43.6627,1862
Tusk,-2.6145,55.7867,769
Meepo,-2.6917,52.2816,767
Shadow Fiend,-2.72,50.0514,2917
Puck,-2.7809,55.1782,1178
Magnus,-2.9996,53.4497,1203
Omniknight,-3.166,43.5978,945
Earthshaker,-3.3967,46.6583,7197
Axe,-3.5867,44.7706,3576
Anti-Mage,-3.6944,48.1838,4047
Naga Siren,-4.2004,53.3498,403
Sven,-4.2363,43.9585,5305
Oracle,-4.496,54.8172,301
Leshrac,-4.6993,50.1347,371
Sand King,-5.1625,46.469,1855
Timbersaw,-5.5379,48.5931,1315
