Chaos Knight,3.215,47.5454,22244
Axe,3.1206,49.8044,43715
Sand King,2.4132,52.6283,29771
Spectre,2.0861,44.4222,27547
Templar Assassin,1.7779,55.5796,17519
Crystal Maiden,1.7186,46.875,35456
Winter Wyvern,1.5424,51.3155,12086
Lich,1.4578,46.8327,24643
Phantom Assassin,1.4509,47.0613,70627
Treant Protector,1.3795,50.3904,12165
Clockwerk,1.3733,49.6963,18774
Visage,1.3136,51.122,6283
Slark,1.3119,52.9038,36676
Slardar,1.1456,49.7508,26892
Techies,1.1261,52.0984,9102
Shadow Demon,1.0037,54.4282,8299
Earthshaker,0.9811,49.2873,64128
Pudge,0.9761,48.5193,92223
Sven,0.9622,47.4303,43780
Phantom Lancer,0.9035,48.9705,22683
Venomancer,0.8695,48.2251,38849
Centaur Warrunner,0.8414,45.3971,16631
Underlord,0.8141,44.2246,11272
Invoker,0.7935,52.0496,79280
Shadow Fiend,0.7256,51.9672,44274
Tiny,0.7211,53.6868,21726
Wraith King,0.7022,44.2469,31401
Legion Commander,0.6476,51.4762,55715
Dragon Knight,0.6278,49.9728,18448
Monkey King,0.6233,52.5783,42586
Terrorblade,0.6086,50.7486,13557
Omniknight,0.5902,45.7425,17710
Rubick,0.5852,53.8379,32778
Undying,0.5715,48.586,12483
Spirit Breaker,0.4536,44.2782,46402
Tidehunter,0.4269,49.2021,17046
Naga Siren,0.4135,55.8011,6516
Bounty Hunter,0.3866,50.7301,25541
Enigma,0.3839,48.7188,16626
Tinker,0.3703,52.4806,25659
Necrophos,0.3551,43.777,66512
Kunkka,0.2854,51.5709,37079
Warlock,0.251,47.383,12553
Dark Seer,0.2406,52.431,8556
Timbersaw,0.2355,53.1617,19657
Jakiro,0.224,46.428,20311
Vengeful Spirit,0.2094,47.154,19958
Ancient Apparition,0.2002,47.4308,17613
Elder Titan,0.152,48.4222,7986
Outworld Devourer,0.1501,51.4338,19040
Zeus,0.1189,43.045,31467
Dazzle,0.1077,49.3725,16256
Disruptor,0.0705,49.8531,20091
Windranger,0.0566,49.9775,44500
Witch Doctor,0.0349,49.3148,20797
Batrider,0.0241,56.4318,8077
Magnus,0.0183,54.5391,23242
Razor,-0.163,52.7093,12254
Lion,-0.1656,51.5279,30663
Bane,-0.1793,52.8378,9620
Ogre Magi,-0.1931,47.251,29830
Bristleback,-0.199,50.4389,32806
Viper,-0.2216,48.0518,38935
Riki,-0.2354,44.6191,38981
Faceless Void,-0.2719,49.5202,38354
Lifestealer,-0.3008,52.251,22723
Keeper of the Light,-0.3269,50.5745,20014
Shadow Shaman,-0.3929,45.5517,34306
Tusk,-0.4046,56.1396,13372
Pugna,-0.4057,50.7598,18491
Brewmaster,-0.4084,48.7615,6823
Chen,-0.4478,56.154,3713
Mirana,-0.4849,48.0317,47885
Earth Spirit,-0.53,56.1702,12779
Storm Spirit,-0.533,50.9073,24136
Medusa,-0.5457,52.5923,15951
Skywrath Mage,-0.5505,47.8489,21152
Abaddon,-0.5581,44.6358,12537
Night Stalker,-0.5669,49.1877,17236
Luna,-0.7476,47.1662,28143
Doom,-0.7779,52.6563,14249
Ember Spirit,-0.8063,52.2157,21911
Queen of Pain,-0.8665,54.1242,24586
Beastmaster,-0.8798,53.7627,6272
Lone Druid,-0.9129,58.7695,7087
Io,-0.931,61.3991,6904
Puck,-0.9928,55.4712,17656
Gyrocopter,-1.094,51.6407,10422
Weaver,-1.1562,47.3139,31961
Oracle,-1.1635,56.6348,7227
Lycan,-1.2133,50.5727,10039
Nature's Prophet,-1.3414,54.6378,25378
Leshrac,-1.3517,52.0322,7184
Ursa,-1.3959,44.6159,28566
Death Prophet,-1.499,51.3554,11915
Meepo,-1.5307,52.3813,11947
Arc Warden,-1.5336,52.0679,9236
Alchemist,-1.5495,53.5255,19699
Bloodseeker,-1.5602,44.889,60634
Broodmother,-1.5976,56.3281,9521
Troll Warlord,-1.6291,45.4035,40140
Morphling,-1.6839,51.1771,19878
Sniper,-1.694,46.6742,69970
Nyx Assassin,-1.8305,47.9399,25897
Enchantress,-1.8367,53.197,9978
Drow Ranger,-2.0313,45.9963,28661
Juggernaut,-2.0454,49.3894,51509
Silencer,-2.0527,44.392,34576
Lina,-2.4459,51.3915,30038
Huskar,-3.5799,47.8774,24782
Anti-Mage,-3.8252,46.3031,50502
Clinkz,-3.8753,46.2712,24968
