Phantom Lancer,3.1493,44.5365,41137
Slark,2.3126,47.2891,72450
Queen of Pain,2.2204,50.6131,61650
Invoker,1.9579,46.3471,185308
Morphling,1.8866,48.1599,34402
Outworld Devourer,1.711,46.3858,37160
Terrorblade,1.5067,45.0272,24061
Lich,1.4397,40.0715,39397
Mirana,1.4339,43.1366,95872
Shadow Demon,1.3609,48.2547,14239
Kunkka,1.31,45.9516,69177
Naga Siren,1.1991,50.1084,10607
Necrophos,1.1821,37.7097,123053
Crystal Maiden,1.1697,39.5941,63032
Phoenix,1.1548,44.5287,17656
Bounty Hunter,1.1507,44.8727,46068
Sand King,1.1455,44.7888,52397
Slardar,1.1379,43.0789,51596
Skywrath Mage,1.0671,42.7526,38414
Ancient Apparition,1.0149,41.532,28053
Windranger,0.9894,44.2373,80111
Pugna,0.9594,45.513,31714
Witch Doctor,0.8252,43.4537,33928
Keeper of the Light,0.8158,45.0842,36800
Spirit Breaker,0.8119,37.8152,92103
Tinker,0.7796,46.28,57904
Dazzle,0.7691,43.3834,27688
Gyrocopter,0.7248,46.9059,17582
Beastmaster,0.7246,48.8587,9507
Juggernaut,0.7207,45.3487,102360
Visage,0.702,43.8543,10243
Phantom Assassin,0.6762,39.6947,146221
Weaver,0.6526,42.3861,57146
Timbersaw,0.6223,47.0045,34118
Winter Wyvern,0.5661,43.7071,19816
Bloodseeker,0.5581,40.1062,116316
Ogre Magi,0.5311,41.2396,52789
Oracle,0.4915,51.8707,11733
Night Stalker,0.4548,43.5502,29226
Earthshaker,0.4493,42.1229,125193
Vengeful Spirit,0.3624,40.5762,34880
Enigma,0.3332,41.9858,30808
Clockwerk,0.3316,41.9783,29732
Chaos Knight,0.3297,37.9763,38919
Omniknight,0.3171,38.7145,29219
Tusk,0.3044,50.3977,23509
Elder Titan,0.2706,41.8666,11668
Centaur Warrunner,0.2704,38.0543,26449
Batrider,0.2425,50.1953,14332
Lina,0.2267,47.4412,55808
Pudge,0.2031,41.1809,173823
Jakiro,0.1939,39.6437,35027
Lycan,0.1936,45.3935,16390
Io,0.1734,56.1819,10749
Magnus,0.1348,48.143,43244
Broodmother,0.128,51.619,14638
Clinkz,0.1143,43.5306,44031
Bane,0.0483,46.5026,15526
Drow Ranger,0.0441,41.3074,59660
Doom,-0.0228,46.8579,22374
Nature's Prophet,-0.0251,49.456,45867
Ursa,-0.0465,39.1971,45909
Zeus,-0.0685,36.0356,56014
Lion,-0.0953,44.9933,61718
Tidehunter,-0.1037,42.0036,27081
Storm Spirit,-0.1038,44.715,47512
Abaddon,-0.1081,38.3211,20276
Meepo,-0.1103,47.2683,23521
Axe,-0.1768,40.0233,82212
Enchantress,-0.2053,48.3257,16604
Faceless Void,-0.2212,42.9125,71620
Shadow Shaman,-0.2242,38.9514,62180
Troll Warlord,-0.2991,39.9432,62371
Earth Spirit,-0.3034,49.946,23167
Nyx Assassin,-0.334,42.7202,46856
Rubick,-0.3399,46.4003,57784
Treant Protector,-0.3952,41.952,19272
Dark Seer,-0.4169,45.1753,14457
Silencer,-0.4243,39.1436,66491
Chen,-0.4419,49.6799,6093
Arc Warden,-0.4526,46.5974,15694
Death Prophet,-0.4549,45.8375,20769
Warlock,-0.4654,39.943,20026
Monkey King,-0.4676,44.9769,75612
Lifestealer,-0.5189,45.4737,41690
Brewmaster,-0.5259,41.9768,10532
Anti-Mage,-0.5285,42.7121,108784
Shadow Fiend,-0.5396,44.1645,91886
Venomancer,-0.5474,40.1346,62993
Undying,-0.6152,40.71,18224
Leshrac,-0.6711,46.1511,11419
Luna,-0.7387,40.4811,51377
Tiny,-0.7436,45.6944,38834
Spectre,-0.8201,34.7365,47011
Razor,-0.8738,45.4371,20864
Legion Commander,-0.8849,43.4616,110272
Riki,-0.9253,37.203,75467
Lone Druid,-0.9437,52.3508,12166
Bristleback,-0.9566,43.1097,59272
Disruptor,-0.9675,42.1349,36376
Sven,-1.0721,38.8243,89753
Viper,-1.1336,40.5142,70780
Medusa,-1.3738,45.2126,26236
Sniper,-1.4435,40.2601,147148
Ember Spirit,-1.4461,45.0155,39142
Techies,-1.4962,42.8563,18205
Underlord,-1.5083,35.0572,17460
Wraith King,-1.5227,35.3116,58114
Huskar,-1.6181,43.1796,45269
Alchemist,-1.7616,46.8059,35410
Dragon Knight,-2.2033,40.5248,31134
Templar Assassin,-3.0334,44.2663,33068
