Underlord,3.1529,47.9373,83947
Zeus,2.7884,46.5744,302561
Spectre,2.4233,45.5137,239587
Necrophos,2.2976,46.4247,668665
Venomancer,1.8649,51.7333,323217
Crystal Maiden,1.7053,48.437,352567
Sniper,1.5937,52.3483,870875
Phantom Assassin,1.552,49.017,838475
Pugna,1.5495,56.7074,160270
Spirit Breaker,1.4255,46.1893,471003
Lich,1.3349,48.4018,204521
Axe,1.0606,50.0649,489638
Troll Warlord,0.9902,50.1015,340355
Bloodseeker,0.9881,49.1653,632120
Jakiro,0.7678,48.8416,177228
Viper,0.7622,51.6558,379990
Centaur Warrunner,0.7111,46.6117,131441
Tinker,0.7075,57.1662,279889
Techies,0.5262,55.3949,106219
Riki,0.4615,46.5643,418767
Luna,0.4132,50.7727,267955
Drow Ranger,0.3823,50.8237,313934
Omniknight,0.3796,46.9934,150968
Dragon Knight,0.3628,52.7108,164137
Mirana,0.2406,51.4101,508026
Silencer,0.2326,48.4085,284638
Ancient Apparition,0.2319,49.6414,147381
Shadow Shaman,0.2079,47.7295,333632
Ogre Magi,0.1783,49.8486,277893
Earthshaker,0.0204,51.0276,642610
Vengeful Spirit,-0.0103,48.9832,172222
Sand King,-0.02,53.6886,268008
Elder Titan,-0.0242,50.814,59275
Faceless Void,-0.043,52.9168,362769
Sven,-0.1307,48.3019,487063
Abaddon,-0.1484,46.491,99503
Wraith King,-0.209,44.1502,320474
Skywrath Mage,-0.2128,50.7457,193285
Nyx Assassin,-0.2906,52.4902,206362
Treant Protector,-0.3248,51.4785,98608
Shadow Fiend,-0.3699,54.7393,500344
Brewmaster,-0.4269,51.5428,49388
Keeper of the Light,-0.4919,54.0052,185467
Enigma,-0.5493,50.2704,168246
Clockwerk,-0.5544,50.2685,157890
Warlock,-0.6359,48.5297,97503
Winter Wyvern,-0.677,52.1159,101138
Bounty Hunter,-0.7991,52.7857,244767
Legion Commander,-0.8046,53.6275,633764
Tidehunter,-0.8207,50.5661,130801
Slark,-0.8348,54.6199,395103
Phantom Lancer,-0.8381,49.6326,208248
Windranger,-0.8459,52.2061,435466
Night Stalker,-0.8742,51.8316,137225
Timbersaw,-0.8963,56.3792,190657
Invoker,-0.9427,54.1902,918757
Huskar,-1.033,53.8583,244302
Disruptor,-1.0356,51.7296,161478
Clinkz,-1.0734,51.9894,227171
Gyrocopter,-1.1077,55.4797,80442
Terrorblade,-1.1398,52.0148,110605
Witch Doctor,-1.1399,50.9091,186705
Razor,-1.1757,55.5233,96372
Ursa,-1.2505,46.2169,259647
Leshrac,-1.2527,56.2739,53714
Medusa,-1.3274,55.7524,127320
Kunkka,-1.341,53.6422,345504
Dark Seer,-1.369,54.5602,66959
Lion,-1.3781,54.0707,310665
Outworld Devourer,-1.3959,53.4065,188458
Chaos Knight,-1.4135,43.9902,208644
Dazzle,-1.4232,50.5347,145860
Slardar,-1.4272,49.6898,266509
Templar Assassin,-1.4509,56.7731,160458
Phoenix,-1.4903,51.4806,92223
Bane,-1.5147,55.539,74607
Anti-Mage,-1.5214,51.33,561628
Tiny,-1.524,55.5354,193896
Lina,-1.5293,56.7413,281192
Enchantress,-1.5337,58.2528,84916
Bristleback,-1.6694,52.1912,345284
Monkey King,-1.8108,54.111,427310
Naga Siren,-1.8659,57.9553,47069
Juggernaut,-1.8731,52.9547,546748
Undying,-1.8889,48.2244,96140
Weaver,-2.1347,48.5954,298960
Storm Spirit,-2.1349,52.7637,230723
Alchemist,-2.1555,57.6686,188026
Morphling,-2.225,54.5443,172940
Ember Spirit,-2.2594,54.7933,196011
Doom,-2.3975,55.078,107493
Arc Warden,-2.4195,55.3012,73832
Rubick,-2.4874,55.8671,371601
Beastmaster,-2.5003,56.4045,43383
Shadow Demon,-2.5226,54.9339,67279
Visage,-2.7066,49.6889,48379
Nature's Prophet,-2.7346,58.5581,247262
Magnus,-2.7426,56.5141,210625
Lycan,-2.8211,52.2197,76088
Death Prophet,-2.9829,53.5329,105649
Queen of Pain,-3.0418,56.7202,236688
Puck,-3.0588,58.819,173823
Tusk,-3.1714,58.5404,113431
Batrider,-3.3188,58.1221,67107
Meepo,-3.5131,54.5971,123023
Broodmother,-3.631,59.2943,68789
Lifestealer,-3.7777,52.5158,243477
Earth Spirit,-3.9782,58.2903,109929
Oracle,-4.0486,59.1256,56796
Chen,-4.1944,57.2566,29745
Lone Druid,-4.7633,60.7894,59461
Io,-6.1608,63.072,54647
