Shadow Demon,5.3414,52.6905,446
Io,4.4484,62.2535,355
Timbersaw,4.4255,51.7183,1193
Beastmaster,3.3663,53.3568,283
Winter Wyvern,2.8177,46.5909,616
Naga Siren,2.6952,53.4435,363
Omniknight,2.6026,42.4714,963
Keeper of the Light,2.4656,47.731,1190
Clockwerk,2.4239,45.283,901
Storm Spirit,2.4081,48.647,1663
Chaos Knight,2.3399,41.1195,1447
Doom,2.2317,50.9516,683
Phoenix,2.1612,47.0817,514
Oracle,2.1345,54.8648,370
Arc Warden,2.0123,51.1982,459
Phantom Assassin,1.9076,41.9029,5360
Sniper,1.8473,44.3615,5631
Lifestealer,1.8417,48.8275,1450
Pugna,1.8126,47.7249,989
Enigma,1.8122,45.2574,1107
Razor,1.7676,49.0616,746
Slark,1.7576,47.9108,2513
Troll Warlord,1.6843,42.5263,2375
Spectre,1.671,38.2731,1633
Bounty Hunter,1.5409,47.4343,1676
Phantom Lancer,1.4455,44.5287,1581
Morphling,1.4139,49.6632,1188
Broodmother,1.3883,54.2483,459
Shadow Shaman,1.2272,41.3589,2031
Nature's Prophet,1.2191,52.378,1619
Brewmaster,1.1373,44.4108,331
Luna,1.0895,43.449,1786
Slardar,1.0363,44.1421,1801
Batrider,1.0307,51.2448,482
Axe,0.999,42.1987,2929
Visage,0.9578,45.5782,294
Pudge,0.8269,42.6937,5947
Zeus,0.7578,38.512,1828
Invoker,0.7271,46.5776,6516
Vengeful Spirit,0.724,41.9945,1093
Necrophos,0.6101,38.3496,4193
Mirana,0.6096,43.2531,3283
Sand King,0.6059,45.2643,1721
Lion,0.5832,46.3425,2160
Lich,0.5801,40.5,1200
Earth Spirit,0.5746,52.9085,722
Windranger,0.573,45.0557,2599
Tiny,0.5,47.8832,1370
Dragon Knight,0.4926,44.4958,1081
Spirit Breaker,0.4048,38.4074,2700
Treant Protector,0.3883,44.3902,615
Magnus,0.3743,49.8995,1493
Monkey King,0.3643,46.9404,2484
Bristleback,0.3408,45.3654,2244
Shadow Fiend,0.3378,45.9965,3472
Meepo,0.3119,48.4848,924
Crystal Maiden,0.2875,39.2647,2040
Centaur Warrunner,0.2483,39.0539,909
Warlock,0.2475,41.1671,634
Night Stalker,0.1783,44.1458,1042
Silencer,0.0795,40.5491,1894
Rubick,0.06,47.9228,2022
Juggernaut,0.0456,45.9887,3727
Abaddon,-0.0323,39.5588,680
Weaver,-0.0454,43.0722,1992
Ancient Apparition,-0.1049,41.5116,860
Alchemist,-0.115,49.3956,1241
Viper,-0.142,42.6404,2439
Bane,-0.1778,47.651,447
Lina,-0.2093,48.2077,1925
Anti-Mage,-0.3774,44.322,4086
Earthshaker,-0.3887,42.2101,4416
Legion Commander,-0.3894,44.8549,4033
Leshrac,-0.3916,47.5884,311
Bloodseeker,-0.3989,40.6806,4378
Terrorblade,-0.4116,44.3141,853
Riki,-0.4757,39.009,2866
Undying,-0.476,41.6666,588
Death Prophet,-0.5103,46.9973,766
Puck,-0.5448,50.5437,1747
Clinkz,-0.5518,44.5472,1513
Drow Ranger,-0.5589,42.2733,2129
Witch Doctor,-0.6102,43.0066,1051
Jakiro,-0.613,39.8058,1133
Medusa,-0.6251,46.4646,990
Templar Assassin,-0.6943,47.4747,1188
Tusk,-0.835,50.6666,750
Dazzle,-0.8886,42.9208,897
Ursa,-0.9435,39.1406,1699
Lone Druid,-0.9462,53.4403,436
Sven,-0.9527,39.9293,3396
Disruptor,-0.9673,42.4297,1103
Ember Spirit,-0.9832,47.0671,1415
Underlord,-0.985,35.5731,506
Tidehunter,-1.0793,42.3787,866
Venomancer,-1.1313,40.2956,2097
Dark Seer,-1.1369,45.6375,447
Gyrocopter,-1.2372,45.8262,587
Tinker,-1.2869,45.5219,1887
Ogre Magi,-1.2991,40.2031,1674
Enchantress,-1.4557,47.95,561
Chen,-1.5426,51.2077,207
Skywrath Mage,-1.6286,41.2739,1146
Nyx Assassin,-1.9994,42.0492,1503
Kunkka,-2.0323,44.067,2208
Faceless Void,-2.0458,42.0261,2596
Lycan,-2.5515,44.5561,597
Wraith King,-2.5614,35.2403,2080
Outworld Devourer,-3.7744,41.7147,1213
Techies,-3.791,41.9354,558
Huskar,-3.9899,42.1538,1625
Elder Titan,-4.1063,38.1355,354
