Visage,4.1066,51.0528,7171
Phantom Assassin,2.9883,45.5186,109643
Chen,2.7234,56.535,4560
Oracle,2.5915,57.5734,8028
Earth Spirit,2.2117,56.0467,11808
Rubick,2.067,52.4619,29631
Lifestealer,2.055,51.6597,35246
Riki,1.8633,43.6797,56351
Skywrath Mage,1.84,47.2892,25860
Lion,1.7973,50.554,36638
Bounty Hunter,1.7879,49.1916,36309
Io,1.773,61.3079,7707
Sven,1.7323,45.2348,72831
Broodmother,1.6736,56.8149,13551
Omniknight,1.6521,43.854,21868
Night Stalker,1.5848,48.4118,22699
Shadow Demon,1.5551,52.1145,9671
Juggernaut,1.4775,49.764,66536
Templar Assassin,1.4564,52.4007,25679
Death Prophet,1.4472,51.4236,18087
Tiny,1.4286,51.5055,30620
Arc Warden,1.379,52.1229,10740
Abaddon,1.3335,43.5592,17296
Nyx Assassin,1.2787,48.0732,30310
Pugna,1.2552,49.5171,21851
Slardar,1.1516,46.8537,34533
Ursa,1.0966,44.0771,45375
Spirit Breaker,0.999,41.8482,60349
Puck,0.9603,54.5628,20864
Silencer,0.9042,44.3024,34497
Windranger,0.8888,47.8779,52097
Clinkz,0.8797,47.9877,36153
Tidehunter,0.84,46.7012,20599
Lone Druid,0.8212,57.7495,10220
Beastmaster,0.7855,52.5933,8117
Storm Spirit,0.7241,49.2589,28204
Axe,0.7201,44.6463,59044
Bane,0.6981,50.845,11775
Leshrac,0.6586,51.1927,9558
Ogre Magi,0.6052,45.1125,31980
Dragon Knight,0.6004,47.0304,28405
Magnus,0.588,52.2502,25975
Vengeful Spirit,0.5773,44.5792,27109
Lycan,0.5725,49.4761,15082
Lina,0.5378,51.4066,38141
Ancient Apparition,0.5285,44.8497,17572
Tusk,0.4701,54.1792,17826
Batrider,0.4615,54.0388,10498
Troll Warlord,0.4185,44.4134,51633
Kunkka,0.4134,48.8277,40350
Timbersaw,0.4024,50.4546,26063
Legion Commander,0.4021,48.3594,74730
Zeus,0.395,40.3545,40216
Tinker,0.3629,49.6084,30140
Shadow Shaman,0.3127,43.2951,39762
Centaur Warrunner,0.2369,41.8383,21313
Invoker,0.2092,48.7271,82375
Phoenix,0.1881,47.2906,12254
Disruptor,0.1849,47.0748,20153
Brewmaster,0.0851,46.3403,8867
Alchemist,0.0837,52.2723,28055
Outworld Devourer,0.0503,48.4482,25970
Meepo,0.0374,51.0806,14759
Monkey King,-0.0003,49.1231,51147
Morphling,-0.0177,49.9436,23955
Dazzle,-0.0717,46.2955,18626
Doom,-0.1483,50.4093,16491
Winter Wyvern,-0.1548,46.726,13363
Undying,-0.2155,44.8723,15163
Warlock,-0.2248,43.9782,15112
Treant Protector,-0.2845,45.818,14706
Pudge,-0.3076,44.4766,96372
Lich,-0.3376,42.1435,26386
Nature's Prophet,-0.3944,52.721,29749
Queen of Pain,-0.4473,51.6786,31245
Earthshaker,-0.4474,45.0793,65682
Witch Doctor,-0.4616,45.9225,24415
Elder Titan,-0.4825,44.8585,9472
Crystal Maiden,-0.502,41.8089,39348
Spectre,-0.5749,38.872,32378
Luna,-0.5885,44.4019,39782
Dark Seer,-0.5934,48.707,10596
Techies,-0.6036,47.4813,13420
Bristleback,-0.6407,47.1179,48421
Wraith King,-0.679,39.9898,45479
Terrorblade,-0.7053,46.5317,20068
Huskar,-0.7317,47.7448,39154
Naga Siren,-0.7396,51.8193,10361
Drow Ranger,-0.7491,44.3195,46009
Enchantress,-0.7719,51.4182,14736
Keeper of the Light,-0.8476,47.1751,21382
Medusa,-0.8673,49.3989,23375
Gyrocopter,-0.8753,48.9826,16906
Jakiro,-0.904,42.3859,23135
Clockwerk,-0.9052,44.5302,20339
Phantom Lancer,-1.0572,44.1391,35925
Anti-Mage,-1.1263,45.9076,64290
Underlord,-1.1381,39.2987,13461
Ember Spirit,-1.2055,48.9497,26946
Faceless Void,-1.2379,45.6998,46068
Sand King,-1.2793,46.1645,34338
Enigma,-1.3145,44.1274,20434
Chaos Knight,-1.4641,40.0305,32033
Slark,-1.5617,47.2867,50291
Bloodseeker,-1.7593,41.8041,81468
Shadow Fiend,-1.9908,46.5357,56159
Weaver,-2.0539,43.5359,44616
Mirana,-2.0692,43.6289,54881
Viper,-2.1079,43.3784,63633
Sniper,-2.5053,43.1012,102396
Necrophos,-2.5263,38.0979,69043
Venomancer,-2.7508,41.822,41086
