Elder Titan,2.6657,55.9726,586
Wraith King,2.3678,50.542,4151
Brewmaster,2.1392,56.3868,548
Witch Doctor,1.8585,56.4255,1673
Arc Warden,1.7927,62.2929,785
Puck,1.7759,64.3258,2136
Medusa,1.7408,60.1086,1657
Shadow Demon,1.5749,59.882,678
Enigma,1.3836,55.6938,1607
Ember Spirit,1.3642,60.6392,2190
Jakiro,1.2942,52.4705,1700
Silencer,1.2941,52.4666,2777
Huskar,1.2501,58.5833,3600
Pudge,1.0418,53.6036,10531
Phantom Lancer,0.9945,54.9397,2905
Ursa,0.9529,51.6455,3160
Nyx Assassin,0.8884,55.8909,2385
Lich,0.8179,51.3695,1935
Skywrath Mage,0.7777,54.5733,1957
Rubick,0.7617,59.6518,2528
Meepo,0.6394,60.0666,1500
Invoker,0.6115,57.5404,9880
Weaver,0.5789,54.5552,3721
Undying,0.5731,53.5253,1007
Shadow Shaman,0.5506,51.3321,3378
Storm Spirit,0.5488,57.8791,2697
Dark Seer,0.5476,58.4507,710
Outworld Devourer,0.5395,57.0774,2183
Juggernaut,0.5219,57.4596,6810
Vengeful Spirit,0.4915,52.4731,1860
Warlock,0.4711,52.1186,944
Morphling,0.4569,59.8732,1894
Gyrocopter,0.4508,58.7771,1014
Anti-Mage,0.4471,56.0107,7054
Pugna,0.4399,57.3547,1618
Centaur Warrunner,0.4172,49.8189,1381
Sven,0.3192,51.7643,6518
Luna,0.3151,53.4517,3433
Lina,0.2488,59.8904,3104
Phoenix,0.2119,56.005,791
Clinkz,0.1691,56.3218,3219
Mirana,0.1678,53.6266,5046
Legion Commander,0.1663,56.4158,8744
Visage,0.1405,55.684,519
Axe,0.128,52.0199,5619
Kunkka,0.1225,57.2145,3389
Drow Ranger,0.0868,53.7413,4036
Tusk,0.0583,62.966,1207
Spirit Breaker,0.0267,48.4427,5330
Lion,0.0091,56.7551,3279
Magnus,0.0072,60.6817,2083
Windranger,-0.0527,55.3754,4688
Ancient Apparition,-0.0809,52.248,1290
Clockwerk,-0.1835,53.4208,1447
Chaos Knight,-0.2186,49.0287,2574
Slark,-0.2492,56.9967,4595
Faceless Void,-0.3285,54.5956,4167
Monkey King,-0.3492,57.3194,4611
Queen of Pain,-0.3634,60.9909,2866
Lifestealer,-0.4268,57.6399,2644
Abaddon,-0.5164,49.6713,1065
Viper,-0.5581,53.0034,4628
Treant Protector,-0.6253,54.2483,1071
Keeper of the Light,-0.6713,55.4798,1907
Templar Assassin,-0.673,58.7151,2008
Crystal Maiden,-0.7303,48.7456,3428
Slardar,-0.7404,53.4437,5735
Earthshaker,-0.8992,52.4392,6703
Bloodseeker,-0.9673,50.8172,8627
Sniper,-1.0039,52.6288,11469
Troll Warlord,-1.0217,50.488,4405
Leshrac,-1.0262,58.0919,587
Zeus,-1.0514,46.9778,4070
Tiny,-1.0748,57.3843,2248
Spectre,-1.1079,45.8239,2658
Sand King,-1.1649,54.3646,2715
Nature's Prophet,-1.222,61.2725,2719
Tinker,-1.2248,56.6303,3122
Dazzle,-1.2521,53.3664,1411
Dragon Knight,-1.2948,53.5117,2093
Terrorblade,-1.3678,54.2469,1401
Shadow Fiend,-1.4052,55.3413,5757
Death Prophet,-1.4153,57.1653,1270
Doom,-1.4282,58.3706,1117
Necrophos,-1.4429,46.7823,6744
Naga Siren,-1.6516,60.31,645
Disruptor,-1.6637,52.5379,1517
Phantom Assassin,-1.7449,49.1783,9919
Ogre Magi,-1.7562,50.3802,2761
Batrider,-1.7642,59.5006,721
Venomancer,-1.8849,50.1972,3295
Tidehunter,-1.8931,52.3109,1428
Bane,-1.9232,56.923,715
Underlord,-2.0493,44.7338,883
Earth Spirit,-2.1134,61.3006,938
Omniknight,-2.2312,48.0519,1617
Broodmother,-2.2886,61.9797,889
Night Stalker,-2.4455,52.293,1679
Winter Wyvern,-2.5196,51.8518,972
Techies,-2.5316,54.2577,1327
Lycan,-2.7103,55.4484,1037
Beastmaster,-2.9502,57.971,483
Enchantress,-3.0319,57.6481,1046
Timbersaw,-3.5092,54.6523,2042
Alchemist,-3.6972,56.9175,2219
Bounty Hunter,-3.7768,53.7744,6226
Io,-4.0725,64.9819,554
Bristleback,-4.1709,51.7978,4728
Lone Druid,-4.2132,61.374,655
Oracle,-4.3277,59.4076,574
Razor,-4.6532,53.4985,1372
Chen,-6.4208,57.4018,331
